feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Otu00020	status	colonized	-6.57350478752537	0.132316212394249	413	145	7.84082318289386e-176	1.5368013438472e-173
Otu00043	status	colonized	-5.9047487060723	0.121568486078599	413	142	2.18068370957309e-172	2.13707003538163e-170
Otu00022	status	colonized	-6.54091294455054	0.148097004416342	413	142	3.83647332521514e-158	2.50649590580723e-156
Otu00012	status	colonized	-6.86200258916534	0.163991297384694	413	143	2.99414088095226e-150	1.46712903166661e-148
Otu00009	status	colonized	-7.63376174451727	0.20571628591572	413	148	2.71139154665141e-133	1.06286548628735e-131
Otu00018	status	colonized	-5.41875928826557	0.177903741497459	413	152	1.91370879912755e-107	6.25144874381667e-106
Otu00034	status	colonized	-4.85554197591409	0.163299266638964	413	126	1.74804343928112e-104	4.89452162998712e-103
Otu00023	status	colonized	-5.68069009063252	0.194187897089451	413	123	1.65733628979468e-102	4.06047390999696e-101
Otu00021	status	colonized	-5.53816371020519	0.202644583131487	413	129	1.77660952621388e-94	3.86906074597689e-93
Otu00075	status	colonized	-3.32256256499551	0.127575277068294	413	146	5.11396195520218e-89	1.00233654321963e-87
Otu00074	status	colonized	-3.75907819141838	0.151257892726963	413	116	6.76506420340469e-84	1.20541143987938e-82
Otu00053	status	colonized	-3.51874458591646	0.150221276184676	413	121	1.08057258943015e-77	1.76493522940259e-76
Otu00070	status	colonized	-3.28121270487897	0.140525015823549	413	105	2.27525012110654e-77	3.43037710566832e-76
Otu00044	status	colonized	-3.96292743744096	0.17031482146557	413	116	5.16007568946545e-77	7.22410596525163e-76
Otu00033	status	colonized	-4.43238849698496	0.197278079316528	413	105	1.65143755033476e-73	2.15787839910409e-72
Otu00129	status	colonized	-2.67964701220847	0.134045474424631	413	99	1.3471959030709e-62	1.65031498126185e-61
Otu00086	status	colonized	-2.82261508025533	0.153729000719175	413	95	2.03848440541122e-55	2.35025260859176e-54
Otu00029	status	colonized	-3.36486748217602	0.19221025846824	413	92	1.13590778114874e-51	1.23250335722011e-50
Otu00134	status	colonized	-2.46463560260309	0.140826997661477	413	105	1.19477366261133e-51	1.23250335722011e-50
Otu00146	status	colonized	-2.35248196854345	0.138605239942693	413	89	2.40811811298168e-49	2.35995575072205e-48
Otu00186	status	colonized	-2.12257870788718	0.125164436144981	413	91	2.77633951367358e-49	2.59125021276201e-48
Otu00206	status	colonized	-1.56865300921688	0.0928742558790146	413	86	5.49673296788627e-49	4.89708937138959e-48
Otu00078	status	colonized	-2.80838013199954	0.166390890571716	413	97	6.18947789924676e-49	5.27451160109724e-48
Otu00192	status	colonized	-2.02944702834395	0.12140863656437	413	103	3.13652678507939e-48	2.5614968744815e-47
Otu00121	status	colonized	-2.50200548557794	0.150244618284428	413	90	5.88022801997977e-48	4.61009876766414e-47
Otu00175	status	colonized	-1.91884345510912	0.115784709913756	413	88	1.31079279740077e-47	9.88136108809811e-47
Otu00163	status	colonized	-1.91730843926458	0.117903741480383	413	86	2.89097571281846e-46	2.0986342211571e-45
Otu00141	status	colonized	-1.59125033089365	0.10133814520721	413	83	7.31376995382772e-44	5.11963896767941e-43
Otu00119	status	colonized	-2.60295702500607	0.174431889028433	413	96	1.51378891597902e-40	1.02311250873065e-39
Otu00159	status	colonized	-1.90845073354633	0.130050825969784	413	87	1.67434037448233e-39	1.09390237799512e-38
Otu00174	status	colonized	-1.52933155166379	0.106428216806994	413	77	3.17130465811088e-38	2.00508294512817e-37
Otu00215	status	colonized	-1.29345317518083	0.0906878196650683	413	77	8.84879531347341e-38	5.41988712950246e-37
Otu00224	status	colonized	-1.95125799889161	0.137339675682229	413	75	1.501153950309e-37	8.91594467456254e-37
Otu00204	status	colonized	-1.22985367382948	0.0877894606966666	413	77	9.98839112146164e-37	5.75801370531318e-36
Otu00108	status	colonized	-2.00829616096636	0.145970097163725	413	69	1.08243252902949e-35	6.06162216256516e-35
Otu00097	status	colonized	-2.11435845069907	0.154277495209765	413	112	1.79350563138844e-35	9.76464177089261e-35
Otu00302	status	colonized	-0.889237233224095	0.0649349803723636	413	69	1.98319476863804e-35	1.05055722879204e-34
Otu00190	status	colonized	-1.63016078500426	0.119632032159401	413	88	3.76283052924113e-35	1.94082837824016e-34
Otu00052	status	colonized	-1.98858402464146	0.147682178941533	413	78	1.71592675722893e-34	8.6236319081249e-34
Otu00376	status	colonized	-1.00248363167712	0.0789260440876659	413	66	2.06675682552923e-31	1.01271084450932e-30
Otu00017	status	colonized	-2.37659127874094	0.187906319117502	413	71	3.38499486644327e-31	1.61819266786069e-30
Otu00047	status	colonized	3.16390560651668	0.251225111619323	413	167	5.54045690050936e-31	2.58554655357104e-30
Otu00036	status	colonized	-2.33023505937316	0.185451773712578	413	66	7.20375230625542e-31	3.28357081866526e-30
Otu00127	status	colonized	-1.78499949481563	0.143084294059059	413	67	1.63725978038277e-30	7.29324811261416e-30
Otu00309	status	colonized	-1.04301670529297	0.0837818041262915	413	67	2.07358301288906e-30	9.03160601169455e-30
Otu00069	status	colonized	-2.10158821553823	0.169413269223101	413	137	3.09632103595632e-30	1.31930200662487e-29
Otu00059	status	colonized	-2.20627093167541	0.178038457842341	413	67	3.48415128407527e-30	1.45296521633777e-29
Otu00225	status	colonized	-1.49966933440092	0.121961954187882	413	73	8.30935646853179e-30	3.39298722465048e-29
Otu00160	status	colonized	-1.64145781906503	0.134947362043853	413	69	2.74790808732038e-29	1.09916323492815e-28
Otu00246	status	colonized	-1.01478948222421	0.0839669503967122	413	67	5.54573544797831e-29	2.1739282956075e-28
Otu00227	status	colonized	-1.1772724854553	0.0974725647139508	413	75	5.93690902166665e-29	2.28163562401307e-28
Otu00167	status	colonized	-1.49944107913901	0.125309248187583	413	93	1.6194622079202e-28	6.10412678369921e-28
Otu00207	status	colonized	-1.20390501655238	0.101530883559106	413	69	4.25710947556889e-28	1.57432727775755e-27
Otu00004	status	colonized	3.9585776846261	0.343234668261553	413	359	7.48359311703145e-27	2.71626713136697e-26
Otu00076	status	colonized	-2.37039594860553	0.207298767882531	413	133	1.77285133672978e-26	6.31779749089159e-26
