feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Otu00129	status	colonized	-4.2457738948069	0.155220748389672	98	38	4.12204907485603e-47	1.10883120113627e-44
Otu00034	status	colonized	-5.914400894306	0.242929721891557	98	36	7.31282451134479e-43	9.83574896775874e-41
Otu00086	status	colonized	-4.91519346735383	0.217225945271326	98	40	2.93968904831762e-40	2.63592117999146e-38
Otu00186	status	colonized	-3.32308600886075	0.15360121348304	98	36	1.08390530437993e-38	7.28926317195501e-37
Otu00166	status	colonized	-3.69132405441649	0.20350908073842	98	36	8.91876187080008e-33	4.79829388649044e-31
Otu00192	status	colonized	-4.21822910970465	0.25317846650347	98	35	4.43190460652926e-30	1.98697056526062e-28
Otu00215	status	colonized	-3.31256938535759	0.200125082411205	98	36	7.07195576482851e-30	2.7176515724841e-28
Otu00020	status	colonized	-6.5652905992671	0.398871698422019	98	35	1.0557487408293e-29	3.54995514103852e-28
Otu00127	status	colonized	-4.35361394278267	0.273537545874614	98	35	1.12772671395801e-28	3.37064984505228e-27
Otu00146	status	colonized	-4.06083098368632	0.263135946252503	98	36	9.56379717108637e-28	2.57266143902223e-26
Otu00052	status	colonized	-5.54927094213504	0.367504105269456	98	39	4.23216245056525e-27	1.03495609018368e-25
Otu00141	status	colonized	-3.75996566028957	0.251551805980215	98	35	8.42086356311294e-27	1.88767691539782e-25
Otu00159	status	colonized	-3.52509835321585	0.241557079922243	98	36	4.18839808664074e-26	8.66676219466431e-25
Otu00175	status	colonized	-3.15140414898139	0.220149755099673	98	37	1.49566877707413e-25	2.87382072166386e-24
Otu00022	status	colonized	-6.45715638092382	0.452047324979427	98	33	1.720999551487e-25	3.08632586233336e-24
Otu00206	status	colonized	-2.13808962814253	0.151767614655785	98	35	4.24930713784909e-25	7.14414762550879e-24
Otu00043	status	colonized	-5.13581610280172	0.3671118378405	98	30	6.68736662731951e-25	1.05817742514644e-23
Otu00163	status	colonized	-3.28643221256106	0.240936827841119	98	32	3.39395743047661e-24	5.07208082665671e-23
Otu00174	status	colonized	-3.18112134181982	0.233632418657977	98	32	3.80162571932589e-24	5.38230167630876e-23
Otu00134	status	colonized	-3.76633189089475	0.278715186024858	98	41	6.14554783465334e-24	8.26576183760874e-23
Otu00217	status	colonized	-3.1115730894439	0.232846419781457	98	31	1.24172909863152e-23	1.5905958453899e-22
Otu00044	status	colonized	-4.9105603364442	0.403667134808438	98	33	3.72456180048839e-21	4.55412329241535e-20
Otu00121	status	colonized	-3.28110639097031	0.279568448395119	98	29	2.95927861107937e-20	3.46106933208848e-19
Otu00246	status	colonized	-2.50350855483647	0.215123202035386	98	40	4.78151690330747e-20	5.35928352912379e-19
Otu00023	status	colonized	-5.62144628015994	0.488763639429483	98	31	9.27780918354869e-20	9.98292268149839e-19
Otu00156	status	colonized	-2.3908385007522	0.210121399308725	98	31	1.69013293748903e-19	1.74863753917134e-18
