feature	Otu00001	Otu00002	Otu00003	Otu00004	Otu00005	Otu00006	Otu00007	Otu00008	Otu00009	Otu00010	Otu00012	Otu00013	Otu00014	Otu00015	Otu00016	Otu00017	Otu00018	Otu00019	Otu00020	Otu00021	Otu00022	Otu00023	Otu00025	Otu00027	Otu00028	Otu00029	Otu00032	Otu00033	Otu00034	Otu00036	Otu00037	Otu00038	Otu00039	Otu00040	Otu00041	Otu00042	Otu00043	Otu00044	Otu00045	Otu00047	Otu00048	Otu00049	Otu00052	Otu00053	Otu00056	Otu00057	Otu00058	Otu00059	Otu00060	Otu00061	Otu00062	Otu00063	Otu00064	Otu00065	Otu00066	Otu00067	Otu00069	Otu00070	Otu00071	Otu00073	Otu00074	Otu00075	Otu00076	Otu00077	Otu00078	Otu00079	Otu00084	Otu00086	Otu00092	Otu00097	Otu00103	Otu00104	Otu00105	Otu00108	Otu00110	Otu00111	Otu00113	Otu00114	Otu00117	Otu00119	Otu00120	Otu00121	Otu00124	Otu00125	Otu00127	Otu00129	Otu00132	Otu00133	Otu00134	Otu00139	Otu00141	Otu00143	Otu00146	Otu00148	Otu00150	Otu00151	Otu00153	Otu00154	Otu00155	Otu00156	Otu00157	Otu00158	Otu00159	Otu00160	Otu00161	Otu00162	Otu00163	Otu00164	Otu00166	Otu00167	Otu00168	Otu00169	Otu00170	Otu00172	Otu00173	Otu00174	Otu00175	Otu00176	Otu00177	Otu00178	Otu00179	Otu00182	Otu00183	Otu00184	Otu00185	Otu00186	Otu00187	Otu00188	Otu00189	Otu00190	Otu00191	Otu00192	Otu00194	Otu00197	Otu00201	Otu00203	Otu00204	Otu00206	Otu00207	Otu00208	Otu00210	Otu00211	Otu00212	Otu00213	Otu00215	Otu00217	Otu00219	Otu00220	Otu00223	Otu00224	Otu00225	Otu00227	Otu00228	Otu00229	Otu00232	Otu00233	Otu00234	Otu00236	Otu00237	Otu00239	Otu00240	Otu00243	Otu00245	Otu00246	Otu00248	Otu00251	Otu00253	Otu00254	Otu00257	Otu00261	Otu00263	Otu00264	Otu00271	Otu00272	Otu00274	Otu00280	Otu00282	Otu00283	Otu00284	Otu00286	Otu00287	Otu00292	Otu00293	Otu00300	Otu00301	Otu00302	Otu00304	Otu00305	Otu00309	Otu00310	Otu00312	Otu00316	Otu00319	Otu00324	Otu00326	Otu00330	Otu00335	Otu00336	Otu00337	Otu00341	Otu00343	Otu00350	Otu00351	Otu00352	Otu00355	Otu00356	Otu00360	Otu00361	Otu00362	Otu00365	Otu00368	Otu00369	Otu00370	Otu00375	Otu00376	Otu00378	Otu00382	Otu00383	Otu00385	Otu00388	Otu00391	Otu00395	Otu00398	Otu00399	Otu00400	Otu00403	Otu00406	Otu00408	Otu00411	Otu00419	Otu00425	Otu00426	Otu00432	Otu00434	Otu00437	Otu00445	Otu00446	Otu00447	Otu00448	Otu00454	Otu00457	Otu00475	Otu00476	Otu00483	Otu00487	Otu00488	Otu00493	Otu00494	Otu00495	Otu00496	Otu00504	Otu00506	Otu00513	Otu00521	Otu00537	Otu00539	Otu00560	Otu00561	Otu00569	Otu00581	Otu00584	Otu00599	Otu00600	Otu00606	Otu00618	Otu00626	Otu00696	Otu00747	Otu00957
c21_1835_1	4.58496250072116	-1	8.13955135239879	4	5.95419631038687	9.34651373316563	5.93073733756289	6.70043971814109	-1	0.584962500721156	0.584962500721156	1.58496250072116	0	-1	6.97727992349992	2.16992500144231	-1	-1	-1	-1	-1	-1	6.35755200461808	6.62935662007961	-1	-1	4.90689059560852	2.58496250072116	-1	-1	1	-1	-1	-1	1.58496250072116	4	-1	-1	7.04439411935845	5.93073733756289	6.62935662007961	6.49185309632967	-1	-1	4	6.83289001416474	5.55458885167764	1	-1	-1	-1	3.39231742277876	-1	6.83289001416474	3.4594316186373	-1	0	-1	5.52356195605701	0	-1	-1	-1	3.58496250072116	-1	3.16992500144231	1.32192809488736	-1	2.8073549220576	-1	5.04439411935845	-1	4.24792751344359	-1	-1	-1	-1	5.70043971814109	3.90689059560852	-1	0	-1	-1	3.58496250072116	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	0	-1	0.584962500721156	-1	-1	-1	3.58496250072116	-1	0	-1	-1	-1	-1	2	1	1.58496250072116	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	1	-1	-1	0	-1	-1	-1	-1	2.58496250072116	-1	-1	-1	-1	0	-1	-1	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.584962500721156	-1	-1	2.58496250072116	0.584962500721156	-1	-1	0	-1	-1	-1	-1	-1	4.32192809488736	-1	-1	-1	-1	-1	-1	-1	1.58496250072116	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.58496250072116	1.58496250072116	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2.32192809488736	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
c21_1835_3	4	-1	8.37937836707126	3.58496250072116	5.58496250072116	8.97441458980553	7.09803208296053	6.76818432477693	-1	0.584962500721156	0.584962500721156	-1	-1	-1	6.94251450533924	2.16992500144231	-1	2	-1	-1	-1	-1	6.4757334309664	6.32192809488736	-1	-1	4	2.58496250072116	-1	-1	1	-1	-1	-1	2	3.4594316186373	-1	-1	7.8008998999203	6.59991284218713	5.78135971352466	6.33985000288462	-1	-1	3.70043971814109	7.22881869049588	5.93073733756289	1	-1	-1	-1	3.39231742277876	-1	7.05528243550119	4.4594316186373	-1	0	-1	5.6724253419715	3	-1	-1	-1	3.90689059560852	-1	1	1.32192809488736	-1	4.24792751344359	-1	5.04439411935845	-1	2.32192809488736	-1	-1	-1	-1	3.16992500144231	4	-1	0	-1	-1	3.70043971814109	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	4.16992500144231	-1	0.584962500721156	-1	-1	-1	2.8073549220576	-1	-1	-1	-1	-1	-1	1	0	2.8073549220576	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	3.4594316186373	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	2.58496250072116	-1	-1	-1	-1	-1	-1	-1	0	-1	2.32192809488736	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.584962500721156	-1	-1	3.4594316186373	0.584962500721156	-1	-1	0	-1	-1	-1	-1	-1	4.52356195605701	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	2.58496250072116	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	-1	-1	-1	-1	-1	1.58496250072116	-1	-1	-1	-1	1.58496250072116	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
c21_1836_2	5.32192809488736	9.3037807481771	7.75488750216347	5.4594316186373	6.08746284125034	9.19475685442225	6.4757334309664	6.52356195605701	-1	0.584962500721156	0.584962500721156	2.58496250072116	-1	-1	5.93073733756289	2.16992500144231	-1	2	-1	-1	-1	-1	-1	5.95419631038687	0	-1	3.32192809488736	2.58496250072116	-1	-1	1	7.18982455888002	-1	-1	-1	3.16992500144231	-1	-1	7.4262647547021	4.08746284125034	-1	2.32192809488736	-1	-1	2	6.94251450533924	5.28540221886225	1	4.90689059560852	-1	-1	3.39231742277876	-1	6.44294349584873	4.08746284125034	-1	0	-1	3.70043971814109	0	-1	2.8073549220576	-1	1.58496250072116	-1	2	1.32192809488736	-1	1.58496250072116	-1	4.39231742277876	5.93073733756289	4	-1	-1	-1	-1	-1	3.4594316186373	-1	0	-1	-1	4.39231742277876	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	0.584962500721156	-1	-1	-1	2.32192809488736	-1	-1	1.58496250072116	-1	-1	-1	1.58496250072116	1	0	-1	4.16992500144231	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	0	-1	-1	-1	2.32192809488736	1.58496250072116	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.58496250072116	-1	-1	-1	0.584962500721156	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.58496250072116	1.58496250072116	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
c21_1836_3	4.32192809488736	9.24079133216196	7.15987133677839	5	6.8703647195834	8.68299458368168	5.78135971352466	6.10852445677817	0	0.584962500721156	0.584962500721156	2	-1	-1	6.4262647547021	2.16992500144231	-1	3.32192809488736	-1	-1	-1	-1	-1	5.61470984411521	-1	-1	3.8073549220576	2.58496250072116	-1	-1	1	8.29462074889163	-1	-1	-1	2.58496250072116	-1	-1	6.97727992349992	5.4262647547021	-1	3.90689059560852	-1	-1	2.32192809488736	7.4262647547021	4.4594316186373	1	6.20945336562895	-1	-1	3.39231742277876	-1	6.4093909361377	2.8073549220576	-1	0	-1	4.58496250072116	0	-1	2.8073549220576	-1	0.584962500721156	-1	2	1.32192809488736	-1	4	-1	4.16992500144231	2	5.39231742277876	-1	-1	-1	-1	-1	3.4594316186373	-1	0	-1	-1	3	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	0.584962500721156	-1	-1	-1	2.58496250072116	-1	-1	1	-1	-1	-1	-1	-1	0	-1	2.8073549220576	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	2	2	-1	-1	-1	-1	1	-1	-1	0	-1	1.58496250072116	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	3	0.584962500721156	-1	-1	0	-1	-1	-1	-1	-1	3.58496250072116	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1.58496250072116	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
c21_1836_4	5.61470984411521	9.28540221886225	7.61470984411521	5.88264304936184	6.04439411935845	9.28540221886225	4.90689059560852	6.24792751344359	-1	0.584962500721156	0.584962500721156	3.4594316186373	-1	-1	5.4262647547021	2.16992500144231	-1	2.8073549220576	-1	-1	-1	-1	-1	5.61470984411521	-1	-1	3.8073549220576	2.58496250072116	-1	-1	1	7.17990909001493	-1	-1	-1	2.32192809488736	-1	-1	7.04439411935845	5.04439411935845	-1	3.4594316186373	-1	-1	2.8073549220576	7.15987133677839	5.61470984411521	1	5.16992500144231	-1	-1	3.39231742277876	-1	5.75488750216347	3.16992500144231	-1	0	-1	4.95419631038687	0	-1	2.58496250072116	-1	2.32192809488736	-1	1	1.32192809488736	-1	3.58496250072116	-1	4.70043971814109	4.32192809488736	4.08746284125034	-1	-1	-1	-1	-1	4.58496250072116	-1	0	-1	-1	3.58496250072116	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	5.61470984411521	-1	-1	-1	-1	0.584962500721156	-1	-1	-1	3	-1	-1	0	-1	-1	-1	1	2.32192809488736	1	-1	2.32192809488736	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.16992500144231	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	4	1.58496250072116	-1	-1	-1	-1	-1	-1	-1	0	1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3.58496250072116	-1	-1	2.32192809488736	0.584962500721156	-1	-1	0	-1	-1	-1	-1	-1	3.70043971814109	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	2.32192809488736	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
c21_1837_1	2	0	6.61470984411521	-1	7.78135971352466	9.57175264350355	4.70043971814109	-1	-1	8.36194377373524	0.584962500721156	0	-1	-1	5.61470984411521	2.16992500144231	-1	-1	-1	-1	-1	-1	-1	3.8073549220576	-1	-1	2	2.58496250072116	-1	-1	1	-1	-1	-1	0	4.8073549220576	-1	-1	-1	2.58496250072116	-1	-1	-1	-1	6.95419631038687	0.584962500721156	-1	1	-1	-1	-1	3.39231742277876	-1	0	-1	-1	0	-1	0	-1	-1	-1	-1	0.584962500721156	-1	-1	1.32192809488736	-1	3.16992500144231	-1	2	1	1.58496250072116	-1	-1	-1	-1	3.16992500144231	-1	-1	0	-1	-1	4.4594316186373	-1	-1	2.8073549220576	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.58496250072116	-1	0	-1	-1	0	-1	-1	-1	-1	0.584962500721156	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	2.58496250072116	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5.35755200461808	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	2.8073549220576	-1	-1	-1	-1	-1	-1	-1	-1	4.24792751344359	-1	2.32192809488736	-1	-1	-1	-1	-1	-1	-1	0.584962500721156	-1	-1	3.32192809488736	4.70043971814109	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	2.32192809488736	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
c21_1837_2	6.10852445677817	-1	6.39231742277876	-1	5.95419631038687	9.96866679319521	5.39231742277876	-1	-1	8.53138146051631	0.584962500721156	4.70043971814109	-1	-1	6.58496250072116	2.16992500144231	-1	-1	-1	-1	-1	-1	-1	3.8073549220576	-1	-1	6.35755200461808	2.58496250072116	-1	-1	1	-1	-1	-1	3.4594316186373	6	-1	-1	-1	6.18982455888002	-1	-1	-1	-1	5.78135971352466	0.584962500721156	-1	1	-1	-1	-1	3.39231742277876	-1	0	-1	-1	0	-1	0	-1	-1	-1	-1	0.584962500721156	-1	-1	1.32192809488736	-1	2.58496250072116	-1	2	-1	4.16992500144231	-1	-1	-1	-1	4.39231742277876	3.32192809488736	-1	0	-1	-1	4.70043971814109	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.58496250072116	-1	0	-1	-1	0	-1	-1	-1	-1	0.584962500721156	-1	-1	-1	4.16992500144231	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.16992500144231	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	2.58496250072116	2.32192809488736	-1	-1	-1	-1	-1	-1	-1	-1	3.8073549220576	-1	0	-1	-1	-1	-1	-1	-1	-1	0.584962500721156	-1	-1	1	3.16992500144231	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	2	-1	1	2.32192809488736	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
c21_1837_3	5.28540221886225	-1	6.6724253419715	-1	6.68650052718322	9.98299357469431	5.16992500144231	-1	-1	8.64385618977473	0.584962500721156	4.08746284125034	-1	-1	6.58496250072116	2.16992500144231	-1	-1	-1	-1	-1	-1	-1	3.8073549220576	-1	-1	3.90689059560852	2.58496250072116	-1	-1	1	-1	-1	-1	1	5.8073549220576	-1	-1	-1	5.4594316186373	-1	-1	-1	-1	7.16992500144231	0.584962500721156	-1	1	-1	-1	-1	3.39231742277876	-1	0	-1	-1	0	-1	0	-1	-1	-1	-1	0.584962500721156	-1	-1	1.32192809488736	-1	3.4594316186373	-1	2	1	3.70043971814109	-1	-1	-1	-1	3.58496250072116	2.58496250072116	-1	0	-1	-1	3.8073549220576	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1	0	-1	-1	-1	-1	0.584962500721156	-1	-1	-1	2.8073549220576	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3.16992500144231	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	2	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	0	-1	-1	-1	-1	-1	-1	-1	0.584962500721156	-1	-1	2.8073549220576	3.90689059560852	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	2.32192809488736	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
c21_1839_1	4.85798099512757	8.88569637333939	7.38370429247405	-1	4.4594316186373	0	7.53138146051631	-1	-1	9.39660478118186	0.584962500721156	2	4.58496250072116	-1	8.65463602852797	2.16992500144231	-1	4.95419631038687	-1	-1	-1	-1	8.54303182025524	3.8073549220576	-1	-1	6.35755200461808	2.58496250072116	-1	-1	1	-1	-1	-1	2.58496250072116	5.52356195605701	-1	-1	-1	3.16992500144231	-1	-1	-1	-1	5.12928301694497	0.584962500721156	-1	1	-1	-1	-1	3.39231742277876	-1	0	-1	-1	0	-1	0	-1	-1	4.52356195605701	-1	0.584962500721156	2.8073549220576	-1	1.32192809488736	-1	4.08746284125034	4.95419631038687	2	1.58496250072116	4.70043971814109	-1	-1	-1	-1	3.58496250072116	2.32192809488736	-1	0	-1	-1	-1	-1	-1	1.58496250072116	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2.8073549220576	-1	0	-1	-1	0	-1	-1	4.58496250072116	-1	0.584962500721156	-1	-1	-1	2.8073549220576	-1	-1	5.04439411935845	-1	-1	-1	3	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3.4594316186373	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	2.32192809488736	-1	-1	-1	4.39231742277876	-1	-1	-1	-1	3.90689059560852	-1	2.58496250072116	-1	-1	-1	-1	-1	-1	-1	0.584962500721156	-1	-1	3	2.32192809488736	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
c21_1839_2	5.16992500144231	9.01680828768655	7.38370429247405	-1	5.90689059560852	-1	7	-1	0	9.37503943134693	0.584962500721156	3.70043971814109	3.4594316186373	-1	8.14465824283188	2.16992500144231	-1	1.58496250072116	-1	-1	-1	-1	3.16992500144231	3.8073549220576	-1	-1	4.85798099512757	2.58496250072116	-1	-1	1	-1	-1	-1	3	4.70043971814109	-1	0	-1	4.70043971814109	-1	-1	-1	-1	7.62935662007961	0.584962500721156	-1	1	-1	-1	-1	3.39231742277876	-1	0	0	-1	0	-1	0	-1	-1	4.95419631038687	-1	0.584962500721156	7.94251450533924	-1	1.32192809488736	-1	6.85798099512757	7.20945336562895	2	-1	5.32192809488736	-1	-1	-1	-1	2.8073549220576	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2.58496250072116	-1	0	-1	-1	0	-1	-1	2.32192809488736	-1	0.584962500721156	-1	-1	-1	-1	-1	-1	5.12928301694497	-1	-1	-1	0	-1	-1	-1	-1	-1	4.16992500144231	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	0	2	0	-1	-1	-1	-1	-1	-1	-1	1	1	2	-1	-1	-1	-1	-1	-1	-1	0.584962500721156	-1	-1	1	2.8073549220576	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
