feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Otu00034	group	hFMT	-6.38220499178616	0.296858807369966	98	36	4.61532157063529e-38	3.72456450750268e-35
Otu00129	group	hFMT	-3.93339654648723	0.189311787844435	98	38	6.58289688824271e-37	2.65619889440593e-34
Otu00086	group	hFMT	-5.26784294350657	0.269287082300898	98	40	6.62521480969316e-35	1.3366370878556e-32
Otu00186	group	hFMT	-3.64719585043296	0.1858044102731	98	36	5.1135028132576e-35	1.3366370878556e-32
Otu00034	group	noFMT	-6.38220499178616	0.34704136218602	98	36	6.69658778980641e-33	1.08082926927476e-30
Otu00215	group	hFMT	-3.96633786230381	0.220363104607641	98	36	3.24744770318655e-32	4.36781716078591e-30
Otu00129	group	noFMT	-3.95778679038967	0.221314035832278	98	38	5.20483418905269e-32	6.00043027223646e-30
Otu00047	group	hFMT	3.5517761762589	0.209354817332823	98	42	2.31006075605229e-30	2.33027378766775e-28
Otu00186	group	noFMT	-3.64719585043297	0.217213752937386	98	36	4.80960923882934e-30	4.31261628415031e-28
Otu00086	group	noFMT	-5.26662343131146	0.31480876949133	98	40	6.22620199982184e-30	5.02454501385623e-28
Otu00215	group	noFMT	-3.96633786230382	0.257614428475648	98	36	1.93647972638182e-27	1.4206719447183e-25
Otu00166	group	hFMT	-3.83060412148361	0.259147238618636	98	36	2.9470363828562e-26	1.9818819674708e-24
Otu00020	group	hFMT	-7.06579201866024	0.503328185736267	98	35	8.43235011871626e-25	5.23454349677233e-23
Otu00023	group	hFMT	-7.28268401256833	0.534293497198325	98	31	5.45426688453951e-24	3.14399526844528e-22
Otu00207	group	hFMT	-4.23716447518539	0.323649116659885	98	28	6.61698644471576e-23	3.55993870725708e-21
Otu00004	group	noFMT	8.31801964035744	0.648469735935752	98	62	2.2821197032986e-22	1.15104412535123e-20
Otu00013	group	noFMT	6.95355115860522	0.546740550441481	98	51	3.80712052494555e-22	1.70685903535059e-20
Otu00166	group	noFMT	-3.85499436538605	0.302954833962108	98	36	3.69323772288313e-22	1.70685903535059e-20
Otu00192	group	hFMT	-4.0874047371938	0.323554767373505	98	35	5.69031277524775e-22	2.41688547874997e-20
Otu00127	group	hFMT	-4.39001570012976	0.350520945108322	98	35	9.49465559125074e-22	3.83109353106968e-20
Otu00206	group	hFMT	-2.3007748103749	0.191464140147312	98	35	1.05592287159001e-20	4.05776074939589e-19
Otu00021	group	hFMT	-6.4401684000159	0.539822824126741	98	28	1.59640829259678e-20	5.69033019459078e-19
Otu00175	group	hFMT	-3.31649745515339	0.278069813939973	98	37	1.62177936153145e-20	5.69033019459078e-19
Otu00316	group	hFMT	-2.04471391784815	0.171865364184635	98	28	1.8688171707537e-20	6.28389773665932e-19
Otu00248	group	hFMT	-3.86103268020186	0.328748939615048	98	42	3.87903345283134e-20	1.25215199857396e-18
Otu00020	group	noFMT	-6.86579201866026	0.588413396766227	98	35	5.59347213141842e-20	1.73612769617487e-18
Otu00134	group	hFMT	-4.00294109321945	0.344192295348329	98	41	6.72450976730306e-20	2.00988125267169e-18
Otu00052	group	hFMT	-5.45537569425662	0.469970503977253	98	39	7.47564431464564e-20	2.15458748639965e-18
Otu00053	group	hFMT	-3.3530904666193	0.289190863884749	98	22	7.96434315399866e-20	2.21628445699204e-18
Otu00022	group	hFMT	-6.67517362185574	0.578241088171399	98	33	1.01676066748372e-19	2.64685760857858e-18
Otu00163	group	hFMT	-3.52356187509552	0.305119224848784	98	32	9.96336104879993e-20	2.64685760857858e-18
Otu00023	group	noFMT	-7.18146450037322	0.624613245325593	98	31	1.27150245372995e-19	3.20657025050023e-18
Otu00146	group	hFMT	-3.65769176040524	0.320104740313923	98	36	1.78904993396553e-19	4.37504029306115e-18
Otu00207	group	noFMT	-4.2371644751854	0.37836044451923	98	28	5.37182773866101e-19	1.27501911326454e-17
Otu00033	group	hFMT	-2.54347728014992	0.228057072598689	98	17	6.70831555417309e-19	1.54674590063362e-17
Otu00141	group	hFMT	-3.51761742608642	0.318955699086062	98	35	1.22437904632684e-18	2.744649695516e-17
Otu00159	group	hFMT	-3.39842061070366	0.308868439530319	98	36	1.38703294002711e-18	3.02523130432941e-17
Otu00326	group	hFMT	-2.72631400109802	0.24904675654432	98	27	1.81813950933462e-18	3.861154168508e-17
Otu00192	group	noFMT	-4.11179498109625	0.378250145939388	98	35	2.63457260247314e-18	5.45153869280981e-17
Otu00009	group	hFMT	-6.32468106362215	0.589512225638995	98	23	5.25029681884326e-18	1.05924738320163e-16
Otu00127	group	noFMT	-4.39001570012977	0.409774826432961	98	35	5.6594526578083e-18	1.11394592557349e-16
Otu00174	group	hFMT	-3.19059202163194	0.299419690143254	98	32	7.47993054519218e-18	1.43721522618335e-16
Otu00059	group	hFMT	-3.03570564489075	0.286559633800795	98	16	1.01300373038204e-17	1.90114886143792e-16
Otu00006	group	hFMT	7.31729868333941	0.692714633743514	98	43	1.17470115408447e-17	2.15450870760493e-16
Otu00070	group	hFMT	-4.08541301089906	0.391766529325174	98	22	2.26888504200453e-17	4.06886717532812e-16
Otu00206	group	noFMT	-2.32516505427735	0.223830232948719	98	35	2.75924774248147e-17	4.84068027865772e-16
Otu00017	group	hFMT	-2.62879800815947	0.254946120310283	98	16	4.01570683406011e-17	6.89505407465215e-16
Otu00043	group	hFMT	-4.79728145540507	0.465821567999168	98	30	4.27158962251935e-17	7.18161005286065e-16
Otu00316	group	noFMT	-2.04471391784815	0.200918378092449	98	28	7.7406139433809e-17	1.27483172496089e-15
Otu00021	group	noFMT	-6.34016840001591	0.631077278399801	98	28	1.46333866649726e-16	2.36182860772657e-15
Otu00153	group	hFMT	-3.95523796283537	0.398111243125979	98	30	2.52578558982044e-16	3.99668425683352e-15
Otu00121	group	hFMT	-3.52477875392882	0.354970592622003	98	29	2.5912639048458e-16	4.02144225232799e-15
Otu00163	group	noFMT	-3.52356187509552	0.356698163543784	98	32	3.33411738880537e-16	5.07666553352063e-15
Otu00159	group	noFMT	-3.53536475324306	0.361081164950195	98	36	5.10989853568431e-16	7.63645947832822e-15
Otu00018	group	hFMT	-4.90666803336524	0.501688180478286	98	39	5.38575150743762e-16	7.9023663027312e-15
Otu00053	group	noFMT	-3.30309046661931	0.338077189703314	98	22	5.65846327056093e-16	8.15424974882619e-15
Otu00336	group	hFMT	-2.15781581979257	0.222001577956319	98	29	7.24246396009294e-16	1.02538042382368e-14
Otu00052	group	noFMT	-5.31256308604435	0.549416759207859	98	39	9.26827346273198e-16	1.28956839386633e-14
Otu00022	group	noFMT	-6.47031574072212	0.67598996536032	98	33	1.49665689311953e-15	2.0471222249957e-14
Otu00033	group	noFMT	-2.54347728014992	0.266609024781835	98	17	1.74645627409965e-15	2.34898368866404e-14
Otu00141	group	noFMT	-3.54200766998887	0.372873627259005	98	35	2.13368135038765e-15	2.82275549141449e-14
Otu00211	group	hFMT	-3.09077998766875	0.327396995722027	98	34	2.84518276181321e-15	3.70332659481171e-14
Otu00326	group	noFMT	-2.72631400109802	0.2911469139315	98	27	4.13675064307747e-15	5.29898058565638e-14
Otu00018	group	noFMT	-5.45827007026519	0.586496156500512	98	39	5.48158148371226e-15	6.91193165211842e-14
Otu00248	group	noFMT	-3.56913116498003	0.384322368037509	98	42	6.03847939759622e-15	7.49700442132331e-14
Otu00170	group	hFMT	-3.30921315899544	0.356476157468003	98	19	6.14858386206647e-15	7.51804117679945e-14
Otu00217	group	hFMT	-2.59952096667893	0.28017103146072	98	31	6.29451886597101e-15	7.58160705199792e-14
Otu00075	group	noFMT	-4.43372472176067	0.480014372616991	98	40	7.7199048201814e-15	9.16171057336233e-14
Otu00475	group	hFMT	-1.45112784107299	0.157431767410621	98	19	8.47862730910055e-15	9.91630759194803e-14
Otu00174	group	noFMT	-3.21498226553438	0.350035149885683	98	32	9.9537261697078e-15	1.14752243127917e-13
Otu00075	group	hFMT	-3.76336409899632	0.410603777249876	98	40	1.09401172577575e-14	1.24347529957892e-13
Otu00369	group	hFMT	-1.67416832269156	0.183651558675314	98	21	1.39351228369495e-14	1.56189501797476e-13
Otu00009	group	noFMT	-6.26860367029342	0.689166434452799	98	23	1.53743045229501e-14	1.69959777397544e-13
Otu00225	group	hFMT	-3.56670139810342	0.392376231843115	98	41	1.58260464588206e-14	1.72589452598219e-13
Otu00059	group	noFMT	-3.03570564489076	0.335001162818174	98	16	1.81702134271946e-14	1.95511496476613e-13
Otu00044	group	hFMT	-4.6224236559265	0.512989188319192	98	33	2.33212467897589e-14	2.47634817885993e-13
Otu00146	group	noFMT	-3.34529538473307	0.374216908384661	98	36	3.30527711656122e-14	3.46410212086351e-13
