seqID	sampleID	mouse	percent_weight	CageID	Group	CageID_Assigned	BD	ExpStart	sex	Gavaged_fecal_material	Mb_input	FMT	Cdiff_infection	Cdiff_day_infected	ABX	clinda35	FMT_day	Harvest_pi	FMT_input	FMT_type	Model	Experiment	Mouse_genotype	Mouse_status	ExpDay	day	type	CFU	sampleType	simpsoneven	simpson	simpson_lci	simpson_hci	invsimpson	invsimpson_lci	invsimpson_hci	shannon	shannon_lci	shannon_hci	npshannon	sobs	chao	chao_lci	chao_hci	nseqs	group	NMDS.axis1	NMDS.axis2	NMDS.axis3	pcoa.axis1	pcoa.axis2	pcoa.axis3	GROUP	TYPE	Bacteroides	Porphyromonadaceae_unclassified	Alistipes	Parabacteroides	Bacteroidales_unclassified	Barnesiella	Bacteroidetes_unclassified	Prevotella	Odoribacter	Alloprevotella	Lactobacillus	Blautia	Lachnospiraceae_unclassified	Turicibacter	Firmicutes_unclassified	Clostridium_XlVa	Ruminococcaceae_unclassified	Peptostreptococcaceae_unclassified	Clostridiales_unclassified	Erysipelotrichaceae_unclassified	Clostridium_sensu_stricto	Enterococcus	Staphylococcus	Faecalicoccus	Hungatella	Clostridium_XVIII	Anaerostipes	Flavonifractor	Faecalibacterium	Oscillibacter	Clostridium_IV	Ruminococcus2	Ruminococcus	Terrisporobacter	Eisenbergiella	Fusicatenibacter	Streptococcus	Bacillus	Roseburia	Listeria	Phascolarctobacterium	Romboutsia	Acetatifactor	Coprobacillus	Intestinibacter	Pseudoflavonifractor	Clostridium_XlVb	Dorea	Butyricicoccus	Veillonella	Dialister	Coprococcus	Lactonifactor	Murimonas	Veillonellaceae_unclassified	Holdemania	Pediococcus	Holdemanella	Megasphaera	Bacillales_unclassified	Acidaminococcus	Anaerofilum	Enterobacteriaceae_unclassified	Burkholderiales_unclassified	Bilophila	Parasutterella	Salmonella	Pseudomonas	Pasteurellaceae_unclassified	Helicobacter	Desulfovibrionaceae_unclassified	Sutterella	Neisseria	Campylobacter	Cronobacter	Acinetobacter	Proteobacteria_unclassified	Rhodobacter	Gammaproteobacteria_unclassified	Bifidobacterium	Collinsella	Enterorhabdus	Coriobacteriaceae_unclassified	Olsenella	Akkermansia	Fusobacterium	Anaeroplasma	Pyramidobacter	Bacteria_unclassified	Streptophyta_unclassified	Bacillariophyta_unclassified	Deinococcus	Methanobrevibacter	other
AMS01	AMS01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AMS001	NA	NA	human	NA	NA	NA	NA	fecal	NA	human	0.083805	0.048309	0.047137	0.049481	20.69991	20.209587	21.214617	3.635821	3.616944	3.654699	3.653923	247	302.857143	277.501624	349.290306	20827	hFMT	-0.080054	0.359568	0.651225	0.142423	-0.111649	-0.100601	AMS001	FMTinput	40.0047984644914	0	3.48848368522073	0.31190019193858	0	1.98656429942418	0.00959692898272553	0	1.94817658349328	0	0.105566218809981	5.43666026871401	7.48560460652591	0.0575815738963532	0.446257197696737	0.0239923224568138	1.2763915547025	0	0.446257197696737	0.911708253358925	0.00479846449136276	0	0	0	0.00959692898272553	0.0191938579654511	2.63915547024952	0.0383877159309021	8.9299424184261	0.0767754318618042	0.0575815738963532	0.623800383877159	4.38579654510557	0	0	1.36756238003839	0.532629558541267	0	4.6785028790787	0	1.42514395393474	0.283109404990403	0	0.00479846449136276	0.287907869481766	0	0.148752399232246	1.80902111324376	0.59021113243762	0.393474088291747	0	0.398272552783109	0	0	0	0	0	0	0	0	0	0	0.0527831094049904	0.249520153550864	0.124760076775432	0.0383877159309021	0	0	2.49520153550864	0	0	1.34836852207294	0	0	0	0	0	0	0	2.04414587332054	0.374280230326296	0	0	0	0.00959692898272553	0	0	0	0.00479846449136276	0	0	0	0	0.614203454894437
AMS05	AMS05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AMS005	NA	NA	human	NA	NA	NA	NA	fecal	NA	human	0.038811	0.104741	0.101048	0.108434	9.547393	9.222223	9.896332	3.203722	3.171437	3.236007	3.236366	246	273.098361	259.8929	298.855858	11984	hFMT	-0.418405	-0.029758	-0.672806	0.009468	-0.091706	0.042366	AMS005	FMTinput	8.92708159519439	0	0.225262806607709	0.00834306691139663	0	0	0	0.0166861338227933	0	0	0.750876022025697	9.76138828633406	8.47655598197898	0.00834306691139663	0.725846821291507	0.0584014683797764	2.76989821458368	0	1.86050392124145	0.200233605873519	0.0417153345569831	0	0.00834306691139663	0	0	0.0166861338227933	2.45286167195061	0.0500584014683798	26.5059235775071	0.00834306691139663	0.191890538962122	3.17036542633072	0.0166861338227933	0.0166861338227933	0.0166861338227933	4.09644585349574	1.77707325212748	0	15.5765059235775	0.00834306691139663	0.00834306691139663	0.0917737360253629	0	0	0.283664274987485	0	0.0584014683797764	6.54096445853496	0.108459869848156	0	1.50175204405139	1.81878858668447	0	0	0	0	0	0	0	0	0	0	0.0166861338227933	0	0.0750876022025697	0	0	0	0	0	0	0.066744535291173	0	0	0	0	0	0	0	0.892708159519439	0	0	0.0417153345569831	0	0.108459869848156	0	0	0	0.0917737360253629	0	0	0	0	0.550642416152186
c21_1835_1	d21_1835_1	1835_1	98.96193772	1835	NA	NA	6/5/2018	8/20/2018	M	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	1290000000	mouse	0.099282	0.075732	0.072715	0.078749	13.204481	12.698542	13.752408	3.209821	3.183653	3.23599	3.229188	133	166.681818	148.224739	207.51457	10018	hFMT	-0.305616	0.312464	0.554443	0.201167	-0.119709	-0.192974	AMS001	cecal	49.5857870046911	0.0199620720630801	2.17586585487574	3.80277472801677	0	1.68679508933027	0	0	0.758558738397046	0	1.1677812156901901	5.30991116877932	5.36979738496856	1.91635891805569	0	6.11837508733406	4.47150414212995	0.0698672522207805	0.00998103603154007	0.0199620720630801	0	0	0	1.03802774728017	0	0.758558738397046	3.52330571913365	2.19582792693882	0.00998103603154007	0.469108693482383	0.129753468410021	0.578900089829324	0	0	0	0	0	0	0	0	0	0	0	0.718634594270885	0	0	0	0	0	0	0	0	0	0	0	0.0499051801577004	0	0	0	0	0	0	0.359317297135443	2.79469008883122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0499051801577004	4.51142828625611	0	0.00998103603154007	0	0	0	0	0	0	0	0	0	0	0.319393153009287
c21_1835_3	d21_1835_3	1835_3	103.5335689	1835	NA	NA	6/5/2018	8/20/2018	M	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	190000000	mouse	0.098883	0.064827	0.062948	0.066706	15.425688	14.991203	15.88611	3.293301	3.27243	3.314172	3.309706	156	201.12	177.900735	248.956443	14973	hFMT	-0.337621	0.330087	0.511711	0.220317	-0.132287	-0.184493	AMS001	cecal	49.6495093130383	0	2.49682889378463	2.98417784898858	0	2.11629614794045	0	0	0.707657387008479	0	0.781093530943321	5.35416249415849	4.11910007343614	4.40616863609053	0.0200280392549569	3.81867948461179	5.44762667734829	0.0200280392549569	0.0133520261699713	0.0133520261699713	0	0	0	0.627545229988651	0	0.52072902062888	5.00700981373924	3.18445824153815	0	0.707657387008479	0.113492222444756	0.494024968288938	0	0	0	0	0	0	0	0	0	0	0	0.353828693504239	0	0	0	0	0	0	0	0	0	0	0	0.100140196274785	0	0	0	0	0	0	0.620869216903665	2.68375726016423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126844248614727	3.0709660190934	0	0.00667601308498565	0	0	0	0	0	0	0	0	0	0	0.433940850524067
c21_1836_2	d21_1836_2	1836_2	98.63636364	1836	NA	NA	6/5/2018	8/20/2018	F	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	730000000	mouse	0.066039	0.107394	0.104725	0.110062	9.311536	9.085789	9.548787	2.86128	2.839271	2.883288	2.876511	141	182.25	160.59776	227.824338	16522	hFMT	-0.094637	-0.067987	0.567928	0.225256	0.228406	-0.087461	AMS001	cecal	43.5290556900726	0.00605326876513317	0.889830508474576	2.45762711864407	0	1.04116222760291	0	0	0	0	1.26513317191283	2.34866828087167	2.5544794188862	3.07506053268765	0	0.883777239709443	0.605326876513317	0.169491525423729	0.00605326876513317	0	0	0	0	0.460048426150121	4.8365617433414	0.38135593220339	4.13438256658596	0.823244552058111	0.00605326876513317	0.0726392251815981	0.036319612590799	0.0302663438256659	0	0	0	0	0	0	0	0	0	0	0	0.617433414043584	0	2.14891041162228	0.00605326876513317	0	0	0	0	0	0.0968523002421307	0	0	0.0242130750605327	0	0	0	0	0	0	1.3680387409201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.139225181598063	3.60774818401937	0.308716707021792	0.0242130750605327	0.326876513317191	21.319612590799	0	0	0	0.230024213075061	0	0	0	0	0.169491525423723
c21_1836_3	d21_1836_3	1836_3	94.24778761	1836	NA	NA	6/5/2018	8/20/2018	F	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	470000000	mouse	0.073826	0.091523	0.089413	0.093632	10.926272	10.680072	11.18409	2.960396	2.940919	2.979873	2.974134	148	221.666667	183.85657	299.34682	19109	hFMT	-0.033105	-0.069355	0.600954	0.201148	0.247026	-0.035859	AMS001	cecal	34.4183369093098	0.0156994086556073	1.13035742320373	1.18268878538908	0	0.607043801350149	0	0	0.303521900675075	0	0.549479302946256	4.18650897482862	6.26929718980585	1.7844994505207	0.0104662724370715	0.690773980846721	1.29258464597833	0.151760950337537	0.00523313621853577	0.0156994086556073	0	0	0	0.376785807734575	10.1051860379926	0.230257993615574	5.3691977602177	1.50191009471977	0	0.6436757548799	0.0261656810926788	0.0366319535297504	0	0	0	0	0	0	0	0	0	0	0	1.5804071379978	0	0.240724266052645	0	0	0	0	0	0	0.115128996807787	0	0	0.0837301794965723	0	0	0	0	0	0	1.25071955623005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.329687581767753	3.68936103406772	0.209325448741431	0.0209325448741431	0.151760950337537	21.0529070071694	0	0	0	0.298288764456539	0	0	0	0	0.0732639070594985
c21_1836_4	d21_1836_4	1836_4	103.6866359	1836	NA	NA	6/5/2018	8/20/2018	F	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	1030000000	mouse	0.077847	0.107948	0.104628	0.111268	9.263737	8.987334	9.557681	2.94124	2.914531	2.967949	2.955769	119	161	137.176263	216.049653	12062	hFMT	-0.069074	-0.091075	0.574735	0.203541	0.252771	-0.070655	AMS001	cecal	39.6784619209414	0	1.43366205353443	1.67398690643905	0	1.34250435070854	0	0	0.488936769702494	0	1.58282920361316	2.41982265683268	5.52747161680617	1.0856053700174	0	1.25963371177592	1.55796801193337	0.314908427943979	0	0	0	0	0	0.339769619623767	5.24571144443524	0.298334300157454	4.70705229137317	1.48338443689401	0	0.497223833595757	0.0497223833595757	0.0828706389326262	0	0	0	0.00828706389326262	0	0	0	0	0	0	0	0.480649705809232	0	0.629816855887959	0	0	0	0	0	0	0.0331482555730505	0	0	0.116018894505677	0	0	0	0	0	0	1.7071351620121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.339769619623767	2.461257976299	0.198889533438303	0.0580094472528383	0.364630811303555	22.1098864672247	0	0	0	0.323195491837242	0	0	0	0	0.0994447667191594
c21_1837_1	d21_1837_1	1837_1	99.61832061	1837	NA	NA	6/11/2018	8/20/2018	M	NA	NA	hFMT7	CDI	0	cef	no	11	d21	AMS005	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	1150000000	mouse	0.059138	0.159524	0.157159	0.161889	6.268637	6.17706	6.36297	2.260534	2.242971	2.278097	2.27072	106	141	121.293165	186.101141	21955	hFMT	-0.501906	-0.205611	-0.526716	0.078595	-0.087605	-0.072201	AMS005	cecal	42.4738041002278	0	5.09794988610478	0	0	0	0	0	0	0	0.255125284738041	6.73348519362187	15.5535307517084	0.83371298405467	0.00911161731207289	0.250569476082005	1.53075170842825	0.0318906605922551	0.0546697038724374	0	0.0501138952164009	0	0	0.132118451025057	0	0.911161731207289	0	0.209567198177677	0.00911161731207289	0.255125284738041	0.20501138952164	0	0	0	0	0	0	0	0	0	0	0	0	0.132118451025057	0	0	0	0.00455580865603645	1.18451025056948	0	0	0	0	0	0	0.127562642369021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.5535307517084	0	0	0	0	0	0	0	0	0.400911161731216
c21_1837_2	d21_1837_2	1837_2	98.45559846	1837	NA	NA	6/11/2018	8/20/2018	M	NA	NA	hFMT7	CDI	0	cef	no	11	d21	AMS005	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	350000000	mouse	0.059065	0.161243	0.157903	0.164583	6.201829	6.075964	6.333019	2.439223	2.420096	2.45835	2.44746	105	143.153846	120.743025	197.467362	22261	hFMT	-0.488451	-0.230459	-0.489995	0.07173	-0.085665	-0.107422	AMS005	cecal	53.4042935417228	0	1.85035480104195	0	0	0	0	0	0	0	2.78002335399263	2.15575316626246	11.1245845684003	1.60783256983742	0	0.561394053714183	1.41471301535974	0.606305578011318	0.211084164196533	0.0404203718674212	0.0314380670079943	0	0.00449115242971346	2.59139495194467	0	2.52402766549897	0	2.54199227521782	0.00449115242971346	0.206593011766819	0.247013383634241	0	0	0.0808407437348424	0	0	0	0	0	0	0	0	0	0.709602083894727	0	0.00449115242971346	0	0	0.799425132488997	0	0	0	0	0	0	0.11227881074283701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0763495913051289	0	14.0528159525734	0	0	0	0.0179646097188539	0	0	0	0	0.238031078774824
c21_1837_3	d21_1837_3	1837_3	101.8315018	1837	NA	NA	6/11/2018	8/20/2018	M	NA	NA	hFMT7	CDI	0	cef	no	11	d21	AMS005	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	60000000	mouse	0.049953	0.188855	0.185539	0.192172	5.295059	5.203681	5.389703	2.238277	2.219155	2.257398	2.246766	106	131.375	116.208047	169.07677	22840	hFMT	0.077486	0.302499	0.687192	0.081486	-0.086142	-0.099809	AMS005	cecal	55.4368762038172	0	4.72771843810191	0	0	0	0	0	0	0	1.44020311679216	3.55454386272106	3.44510593591315	0.914901068114166	0.00437751707231658	0.446506741376291	0.910523551041849	0.630362458413588	0.109437926807915	0.0131325512169497	0.0306426195062161	0	0	0.814218175450884	0	2.00052530204868	0	1.7159866923481	0	0.319558746279111	0.188233234109613	0	0	0.0350201365785327	0	0	0	0	0	0	0	0	0	0.367711434074593	0	0	0	0	0.52530204867799	0	0	0	0	0	0	0.118192960952548	0	0	0	0	0	0	0.00875503414463316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00437751707231658	0	0.0175100682892663	0	22.0364209420417	0	0	0	0.00875503414463316	0	0	0	0	0.175100682892662
