seqID	sampleID	mouse	percent_weight	CageID	Group	CageID_Assigned	BD	ExpStart	sex	Gavaged_fecal_material	Mb_input	FMT	Cdiff_infection	Cdiff_day_infected	ABX	clinda35	FMT_day	Harvest_pi	FMT_input	FMT_type	Model	Experiment	Mouse_genotype	Mouse_status	ExpDay	day	type	CFU	sampleType	simpsoneven	simpson	simpson_lci	simpson_hci	invsimpson	invsimpson_lci	invsimpson_hci	shannon	shannon_lci	shannon_hci	npshannon	sobs	chao	chao_lci	chao_hci	nseqs	group	NMDS.axis1	NMDS.axis2	NMDS.axis3	pcoa.axis1	pcoa.axis2	pcoa.axis3	GROUP	TYPE
AMS01	AMS01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AMS001	NA	NA	human	NA	NA	NA	NA	fecal	NA	human	0.083805	0.048309	0.047137	0.049481	20.69991	20.209587	21.214617	3.635821	3.616944	3.654699	3.653923	247	302.857143	277.501624	349.290306	20827	hFMT	-0.080054	0.359568	0.651225	0.142423	-0.111649	-0.100601	AMS001	FMTinput
AMS05	AMS05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AMS005	NA	NA	human	NA	NA	NA	NA	fecal	NA	human	0.038811	0.104741	0.101048	0.108434	9.547393	9.222223	9.896332	3.203722	3.171437	3.236007	3.236366	246	273.098361	259.8929	298.855858	11984	hFMT	-0.418405	-0.029758	-0.672806	0.009468	-0.091706	0.042366	AMS005	FMTinput
c21_1835_1	d21_1835_1	1835_1	98.96193772	1835	NA	NA	6/5/2018	8/20/2018	M	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	1290000000	mouse	0.099282	0.075732	0.072715	0.078749	13.204481	12.698542	13.752408	3.209821	3.183653	3.23599	3.229188	133	166.681818	148.224739	207.51457	10018	hFMT	-0.305616	0.312464	0.554443	0.201167	-0.119709	-0.192974	AMS001	cecal
c21_1835_3	d21_1835_3	1835_3	103.5335689	1835	NA	NA	6/5/2018	8/20/2018	M	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	190000000	mouse	0.098883	0.064827	0.062948	0.066706	15.425688	14.991203	15.88611	3.293301	3.27243	3.314172	3.309706	156	201.12	177.900735	248.956443	14973	hFMT	-0.337621	0.330087	0.511711	0.220317	-0.132287	-0.184493	AMS001	cecal
c21_1836_2	d21_1836_2	1836_2	98.63636364	1836	NA	NA	6/5/2018	8/20/2018	F	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	730000000	mouse	0.066039	0.107394	0.104725	0.110062	9.311536	9.085789	9.548787	2.86128	2.839271	2.883288	2.876511	141	182.25	160.59776	227.824338	16522	hFMT	-0.094637	-0.067987	0.567928	0.225256	0.228406	-0.087461	AMS001	cecal
c21_1836_3	d21_1836_3	1836_3	94.24778761	1836	NA	NA	6/5/2018	8/20/2018	F	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	470000000	mouse	0.073826	0.091523	0.089413	0.093632	10.926272	10.680072	11.18409	2.960396	2.940919	2.979873	2.974134	148	221.666667	183.85657	299.34682	19109	hFMT	-0.033105	-0.069355	0.600954	0.201148	0.247026	-0.035859	AMS001	cecal
c21_1836_4	d21_1836_4	1836_4	103.6866359	1836	NA	NA	6/5/2018	8/20/2018	F	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	1030000000	mouse	0.077847	0.107948	0.104628	0.111268	9.263737	8.987334	9.557681	2.94124	2.914531	2.967949	2.955769	119	161	137.176263	216.049653	12062	hFMT	-0.069074	-0.091075	0.574735	0.203541	0.252771	-0.070655	AMS001	cecal
c21_1837_1	d21_1837_1	1837_1	99.61832061	1837	NA	NA	6/11/2018	8/20/2018	M	NA	NA	hFMT7	CDI	0	cef	no	11	d21	AMS005	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	1150000000	mouse	0.059138	0.159524	0.157159	0.161889	6.268637	6.17706	6.36297	2.260534	2.242971	2.278097	2.27072	106	141	121.293165	186.101141	21955	hFMT	-0.501906	-0.205611	-0.526716	0.078595	-0.087605	-0.072201	AMS005	cecal
c21_1837_2	d21_1837_2	1837_2	98.45559846	1837	NA	NA	6/11/2018	8/20/2018	M	NA	NA	hFMT7	CDI	0	cef	no	11	d21	AMS005	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	350000000	mouse	0.059065	0.161243	0.157903	0.164583	6.201829	6.075964	6.333019	2.439223	2.420096	2.45835	2.44746	105	143.153846	120.743025	197.467362	22261	hFMT	-0.488451	-0.230459	-0.489995	0.07173	-0.085665	-0.107422	AMS005	cecal
c21_1837_3	d21_1837_3	1837_3	101.8315018	1837	NA	NA	6/11/2018	8/20/2018	M	NA	NA	hFMT7	CDI	0	cef	no	11	d21	AMS005	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	60000000	mouse	0.049953	0.188855	0.185539	0.192172	5.295059	5.203681	5.389703	2.238277	2.219155	2.257398	2.246766	106	131.375	116.208047	169.07677	22840	hFMT	0.077486	0.302499	0.687192	0.081486	-0.086142	-0.099809	AMS005	cecal
