seqID	sampleID	mouse	percent_weight	CageID	Group	CageID_Assigned	BD	ExpStart	sex	Gavaged_fecal_material	Mb_input	FMT	Cdiff_infection	Cdiff_day_infected	ABX	clinda35	FMT_day	Harvest_pi	FMT_input	FMT_type	Model	Experiment	Mouse_genotype	Mouse_status	ExpDay	day	type	CFU	sampleType	simpsoneven	simpson	simpson_lci	simpson_hci	invsimpson	invsimpson_lci	invsimpson_hci	shannon	shannon_lci	shannon_hci	npshannon	sobs	chao	chao_lci	chao_hci	nseqs	group
dn7_1199_1	dn7_1199_1	1199_1	90.58823529	1199	NA	NA	5/7/2015	6/11/2015	F	NA	NA	hFMT1	CDI	0	cef	no	11	d21	D2_A	hFMT	Rc	HF1	BL6	SPF-Young	-7	-7	fecal	NA	mouse	0.053315	0.073267	0.071487	0.075046	13.648768	13.325122	13.988526	3.408523	3.383838	3.433207	3.424845	256	288.757576	271.856078	323.674916	18112	hFMT
dn7_1199_2	dn7_1199_2	1199_2	89.41798942	1199	NA	NA	5/7/2015	6/11/2015	F	NA	NA	hFMT1	CDI	0	cef	no	11	d21	D2_A	hFMT	Rc	HF1	BL6	SPF-Young	-7	-7	NA	NA	mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hFMT
dn7_1199_3	dn7_1199_3	1199_3	93.49112426	1199	NA	NA	5/7/2015	6/11/2015	F	NA	NA	hFMT1	CDI	0	cef	no	11	d21	D2_A	hFMT	Rc	HF1	BL6	SPF-Young	-7	-7	NA	NA	mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hFMT
dn7_1199_4	dn7_1199_4	1199_4	89.50276243	1199	NA	NA	5/7/2015	6/11/2015	F	NA	NA	hFMT1	CDI	0	cef	no	11	d21	D2_A	hFMT	Rc	HF1	BL6	SPF-Young	-7	-7	NA	NA	mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hFMT
dn7_1200_1	dn7_1200_1	1200_1	88.82681564	1200	NA	NA	5/3/2015	6/11/2015	M	NA	NA	hFMT1	CDI	0	cef	no	11	d21	D2_A	hFMT	Rc	HF1	BL6	SPF-Young	-7	-7	fecal	NA	mouse	0.059302	0.067183	0.065862	0.068504	14.884702	14.597749	15.183163	3.308641	3.286428	3.330855	3.32671	251	308.30303	281.223606	359.64479	19053	hFMT
dn7_1200_2	dn7_1200_2	1200_2	85.26315789	1200	NA	NA	5/3/2015	6/11/2015	M	NA	NA	hFMT1	CDI	0	cef	no	11	d21	D2_A	hFMT	Rc	HF1	BL6	SPF-Young	-7	-7	NA	NA	mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hFMT
dn7_1200_3	dn7_1200_3	1200_3	87.24279835	1200	NA	NA	5/3/2015	6/11/2015	M	NA	NA	hFMT1	CDI	0	cef	no	11	d21	D2_A	hFMT	Rc	HF1	BL6	SPF-Young	-7	-7	NA	NA	mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hFMT
dn7_1200_4	dn7_1200_4	1200_4	86.99186992	1200	NA	NA	5/3/2015	6/11/2015	M	NA	NA	hFMT1	CDI	0	cef	no	11	d21	D2_A	hFMT	Rc	HF1	BL6	SPF-Young	-7	-7	NA	NA	mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hFMT
dn7_1223_3	dn7_1223_3	1223_3	92.39130435	1223	NA	NA	5/22/2015	6/29/2015	F	NA	NA	hFMT1	CDI	0	cef	no	11	d42	D2_A	hFMT	Rc	HF2	BL6	SPF-Young	-7	-7	fecal	NA	mouse	0.081931	0.050228	0.048828	0.051628	19.90927	19.369365	20.480138	3.766258	3.743302	3.789214	3.779433	243	269	254.877092	299.916287	17654	hFMT
dn7_1223_4	dn7_1223_4	1223_4	92.81767956	1223	NA	NA	5/22/2015	6/29/2015	F	NA	NA	hFMT1	CDI	0	cef	no	11	d42	D2_A	hFMT	Rc	HF2	BL6	SPF-Young	-7	-7	NA	NA	mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hFMT
dn7_1223_5	dn7_1223_5	1223_5	NA	1223	NA	NA	5/22/2015	6/29/2015	F	NA	NA	hFMT1	CDI	0	cef	no	11	d42	D2_A	hFMT	Rc	HF2	BL6	SPF-Young	-7	-7	NA	NA	mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hFMT
dn7_1225_1	dn7_1225_1	1225_1	95.14563107	1225	NA	NA	5/22/2015	6/29/2015	M	NA	NA	hFMT1	CDI	0	cef	no	11	d42	D2_A	hFMT	Rc	HF2	BL6	SPF-Young	-7	-7	fecal	NA	mouse	0.091951	0.045504	0.044213	0.046795	21.976288	21.369978	22.618007	3.763881	3.736621	3.791142	3.783959	239	281	259.582221	324.705036	11984	hFMT
dn7_1225_2	dn7_1225_2	1225_2	91.85520362	1225	NA	NA	5/22/2015	6/29/2015	M	NA	NA	hFMT1	CDI	0	cef	no	11	d42	D2_A	hFMT	Rc	HF2	BL6	SPF-Young	-7	-7	fecal	NA	mouse	0.057525	0.073041	0.07106	0.075022	13.690966	13.329412	14.072682	3.438562	3.412145	3.46498	3.453959	238	255.5	245.600815	278.291734	15897	hFMT
dn7_1225_3	dn7_1225_3	1225_3	92.55813953	1225	NA	NA	5/22/2015	6/29/2015	M	NA	NA	hFMT1	CDI	0	cef	no	11	d42	D2_A	hFMT	Rc	HF2	BL6	SPF-Young	-7	-7	NA	NA	mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hFMT
dn7_1225_4	dn7_1225_4	1225_4	91.06382979	1225	NA	NA	5/22/2015	6/29/2015	M	NA	NA	hFMT1	CDI	0	cef	no	11	d42	D2_A	hFMT	Rc	HF2	BL6	SPF-Young	-7	-7	NA	NA	mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hFMT
dn7_1225_5	dn7_1225_5	1225_5	91.41414141	1225	NA	NA	5/22/2015	6/29/2015	M	NA	NA	hFMT1	CDI	0	cef	no	11	d42	D2_A	hFMT	Rc	HF2	BL6	SPF-Young	-7	-7	NA	NA	mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hFMT
dn7_1291_1	dn7_1291_1	1291_1	92.55319149	1291	NA	NA	9/26/2015	11/2/2015	F	NA	NA	hFMT3	CDI	0	cef	yes	11	d42	R4_F	hFMT	Rc	HF4	BL6	SPF-Young	-7	-7	fecal	NA	mouse	0.099904	0.040038	0.03937	0.040707	24.976045	24.565907	25.40011	3.782571	3.767652	3.79749	3.791775	250	275.384615	262.054652	303.454774	32542	hFMT
dn7_1291_2	dn7_1291_2	1291_2	94.93670886	1291	NA	NA	9/26/2015	11/2/2015	F	NA	NA	hFMT3	CDI	0	cef	yes	11	d42	R4_F	hFMT	Rc	HF4	BL6	SPF-Young	-7	-7	fecal	NA	mouse	0.056999	0.077287	0.075802	0.078772	12.938706	12.694787	13.192182	3.31496	3.297369	3.33255	3.323862	227	245.5	235.204231	268.716282	31735	hFMT
dn7_1291_3	dn7_1291_3	1291_3	93.08510638	1291	NA	NA	9/26/2015	11/2/2015	F	NA	NA	hFMT3	CDI	0	cef	yes	11	d42	R4_F	hFMT	Rc	HF4	BL6	SPF-Young	-7	-7	NA	NA	mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hFMT
dn7_1291_4	dn7_1291_4	1291_4	97.82608696	1291	NA	NA	9/26/2015	11/2/2015	F	NA	NA	hFMT3	CDI	0	cef	yes	11	d42	R4_F	hFMT	Rc	HF4	BL6	SPF-Young	-7	-7	NA	NA	mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hFMT
dn7_1292_1	dn7_1292_1	1292_1	85	1292	NA	NA	9/28/2015	11/2/2015	F	NA	NA	hFMT4	CDI	0	cef	yes	11	d42	D4_A	hFMT	Rc	HF4	BL6	SPF-Young	-7	-7	fecal	NA	mouse	0.073976	0.05322	0.051775	0.054666	18.789844	18.292952	19.314483	3.728187	3.706248	3.750126	3.74279	254	270.840909	261.482374	291.904576	19651	hFMT
dn7_1292_2	dn7_1292_2	1292_2	88.94736842	1292	NA	NA	9/28/2015	11/2/2015	F	NA	NA	hFMT4	CDI	0	cef	yes	11	d42	D4_A	hFMT	Rc	HF4	BL6	SPF-Young	-7	-7	fecal	NA	mouse	0.046838	0.066099	0.064412	0.067786	15.128808	14.752321	15.525015	3.598239	3.577083	3.619396	3.615629	323	364.716981	345.577713	400.080726	25003	hFMT
dn7_1292_3	dn7_1292_3	1292_3	89.56043956	1292	NA	NA	9/28/2015	11/2/2015	F	NA	NA	hFMT4	CDI	0	cef	yes	11	d42	D4_A	hFMT	Rc	HF4	BL6	SPF-Young	-7	-7	NA	NA	mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hFMT
dn7_1292_4	dn7_1292_4	1292_4	89.20454545	1292	NA	NA	9/28/2015	11/2/2015	F	NA	NA	hFMT4	CDI	0	cef	yes	11	d42	D4_A	hFMT	Rc	HF4	BL6	SPF-Young	-7	-7	NA	NA	mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hFMT
dn7_1293_1	dn7_1293_1	1293_1	93.8547486	1293	NA	NA	9/28/2015	11/2/2015	F	NA	NA	hFMT5	CDI	0	cef	yes	11	d42	D5_A	hFMT	Rc	HF4	BL6	SPF-Young	-7	-7	fecal	NA	mouse	0.060655	0.054055	0.053087	0.055023	18.499764	18.174354	18.837039	3.641685	3.625739	3.65763	3.65289	305	328.758621	316.800424	352.834894	36522	hFMT
dn7_1293_2	dn7_1293_2	1293_2	90.79754601	1293	NA	NA	9/28/2015	11/2/2015	F	NA	NA	hFMT5	CDI	0	cef	yes	11	d42	D5_A	hFMT	Rc	HF4	BL6	SPF-Young	-7	-7	fecal	NA	mouse	0.060515	0.050075	0.049276	0.050875	19.96992	19.656032	20.293995	3.69374	3.679081	3.708399	3.703063	330	358.62	344.423373	386.790074	43202	hFMT
dn7_1293_3	dn7_1293_3	1293_3	92.07317073	1293	NA	NA	9/28/2015	11/2/2015	F	NA	NA	hFMT5	CDI	0	cef	yes	11	d42	D5_A	hFMT	Rc	HF4	BL6	SPF-Young	-7	-7	NA	NA	mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hFMT
dn7_1293_4	dn7_1293_4	1293_4	85.05154639	1293	NA	NA	9/28/2015	11/2/2015	F	NA	NA	hFMT5	CDI	0	cef	yes	11	d42	D5_A	hFMT	Rc	HF4	BL6	SPF-Young	-7	-7	fecal	NA	mouse	0.084046	0.052647	0.051393	0.053902	18.994301	18.552339	19.457835	3.673663	3.654643	3.692683	3.681664	226	246.714286	234.467665	276.672959	24318	hFMT
dn7_1295_1	dn7_1295_1	1295_1	91.44144144	1295	NA	NA	9/28/2015	11/2/2015	M	NA	NA	hFMT3	CDI	0	cef	yes	11	d42	R4_F	hFMT	Rc	HF4	BL6	SPF-Young	-7	-7	fecal	NA	mouse	0.044125	0.06384	0.062841	0.064839	15.664199	15.422897	15.913172	3.546124	3.532714	3.559535	3.555842	355	404.59322	382.942063	443.02097	56028	hFMT
dn7_1295_2	dn7_1295_2	1295_2	90.69767442	1295	NA	NA	9/28/2015	11/2/2015	M	NA	NA	hFMT3	CDI	0	cef	yes	11	d42	R4_F	hFMT	Rc	HF4	BL6	SPF-Young	-7	-7	fecal	NA	mouse	0.033918	0.086461	0.085527	0.087396	11.565873	11.442172	11.692279	3.202025	3.19197	3.212079	3.207184	341	395.886364	371.108064	441.05668	101446	hFMT
dn7_1295_3	dn7_1295_3	1295_3	94.80519481	1295	NA	NA	9/28/2015	11/2/2015	M	NA	NA	hFMT3	CDI	0	cef	yes	11	d42	R4_F	hFMT	Rc	HF4	BL6	SPF-Young	-7	-7	NA	NA	mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hFMT
dn7_1295_4	dn7_1295_4	1295_4	91.96428571	1295	NA	NA	9/28/2015	11/2/2015	M	NA	NA	hFMT3	CDI	0	cef	yes	11	d42	R4_F	hFMT	Rc	HF4	BL6	SPF-Young	-7	-7	NA	NA	mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hFMT
dn7_1296_1	dn7_1296_1	1296_1	91.46919431	1296	NA	NA	9/29/2015	11/2/2015	M	NA	NA	hFMT4	CDI	0	cef	yes	11	d42	D4_A	hFMT	Rc	HF4	BL6	SPF-Young	-7	-7	fecal	NA	mouse	0.039051	0.087999	0.086292	0.089706	11.363764	11.147509	11.588575	3.429658	3.415114	3.444203	3.436504	291	342.483871	317.471819	391.128705	54059	hFMT
dn7_1296_2	dn7_1296_2	1296_2	92.69406393	1296	NA	NA	9/29/2015	11/2/2015	M	NA	NA	hFMT4	CDI	0	cef	yes	11	d42	D4_A	hFMT	Rc	HF4	BL6	SPF-Young	-7	-7	fecal	NA	mouse	0.054519	0.048912	0.048104	0.049721	20.444709	20.112388	20.788197	3.831879	3.820996	3.842763	3.838415	375	414.06	395.752888	448.516687	74609	hFMT
dn7_1296_3	dn7_1296_3	1296_3	91.82692308	1296	NA	NA	9/29/2015	11/2/2015	M	NA	NA	hFMT4	CDI	0	cef	yes	11	d42	D4_A	hFMT	Rc	HF4	BL6	SPF-Young	-7	-7	NA	NA	mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hFMT
dn7_1296_4	dn7_1296_4	1296_4	90.04524887	1296	NA	NA	9/29/2015	11/2/2015	M	NA	NA	hFMT4	CDI	0	cef	yes	11	d42	D4_A	hFMT	Rc	HF4	BL6	SPF-Young	-7	-7	NA	NA	mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hFMT
dn7_1297_1	dn7_1297_1	1297_1	92.76595745	1297	NA	NA	9/28/2015	11/2/2015	M	NA	NA	hFMT5	CDI	0	cef	yes	11	d42	D5_A	hFMT	Rc	HF4	BL6	SPF-Young	-7	-7	fecal	NA	mouse	0.050836	0.05163	0.050763	0.052498	19.368503	19.048442	19.699504	3.847267	3.835453	3.859081	3.854555	381	432.333333	409.932209	472.078808	71518	hFMT
dn7_1297_2	dn7_1297_2	1297_2	87.85046729	1297	NA	NA	9/28/2015	11/2/2015	M	NA	NA	hFMT5	CDI	0	cef	yes	11	d42	D5_A	hFMT	Rc	HF4	BL6	SPF-Young	-7	-7	NA	NA	mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hFMT
dn7_1297_3	dn7_1297_3	1297_3	94.7826087	1297	NA	NA	9/28/2015	11/2/2015	M	NA	NA	hFMT5	CDI	0	cef	yes	11	d42	D5_A	hFMT	Rc	HF4	BL6	SPF-Young	-7	-7	NA	NA	mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hFMT
dn7_1297_4	dn7_1297_4	1297_4	96.56862745	1297	NA	NA	9/28/2015	11/2/2015	M	NA	NA	hFMT5	CDI	0	cef	yes	11	d42	D5_A	hFMT	Rc	HF4	BL6	SPF-Young	-7	-7	NA	NA	mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hFMT
dn7_1835_1	dn7_1835_1	1835_1	95.84775087	1835	NA	NA	6/5/2018	8/20/2018	M	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	-7	-7	fecal	NA	mouse	0.099387	0.026831	0.026159	0.027504	37.270243	36.358952	38.22839	4.258447	4.239357	4.277537	4.279626	375	550.777778	481.169072	666.024746	21136	hFMT
dn7_1835_2	dn7_1835_2	1835_2	97.17314488	1835	NA	NA	6/5/2018	8/20/2018	M	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	-7	-7	fecal	NA	mouse	0.121326	0.022097	0.021495	0.0227	45.254511	44.05336	46.522999	4.400399	4.380043	4.420754	4.425909	373	530.813953	470.02461	629.689967	16839	hFMT
dn7_1835_3	dn7_1835_3	1835_3	93.28621908	1835	NA	NA	6/5/2018	8/20/2018	M	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	-7	-7	fecal	NA	mouse	0.087725	0.032384	0.031602	0.033166	30.879285	30.150974	31.643654	4.111081	4.090928	4.131234	4.131416	352	420.06	391.122435	470.40172	20816	hFMT
dn7_1836_1	dn7_1836_1	1836_1	96.36363636	1836	NA	NA	6/5/2018	8/20/2018	F	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	-7	-7	fecal	NA	mouse	0.097887	0.033061	0.031987	0.034135	30.247177	29.29554	31.262716	4.092871	4.066694	4.119049	4.123916	309	372.529412	345.299031	420.187161	12169	hFMT
dn7_1836_2	dn7_1836_2	1836_2	94.09090909	1836	NA	NA	6/5/2018	8/20/2018	F	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	-7	-7	fecal	NA	mouse	0.097819	0.02778	0.026981	0.028579	35.997214	34.990762	37.063278	4.271098	4.249226	4.29297	4.297409	368	518.666667	459.930846	614.929573	16871	hFMT
dn7_1836_3	dn7_1836_3	1836_3	96.01769912	1836	NA	NA	6/5/2018	8/20/2018	F	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	-7	-7	fecal	NA	mouse	0.093862	0.029269	0.028175	0.030363	34.165874	32.934935	35.492398	4.294595	4.270021	4.319168	4.32784	364	616.394737	522.123896	766.868288	13715	hFMT
dn7_1836_4	dn7_1836_4	1836_4	94.93087558	1836	NA	NA	6/5/2018	8/20/2018	F	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	-7	-7	fecal	NA	mouse	0.076418	0.036862	0.035754	0.03797	27.128345	26.336673	27.969086	4.048717	4.024424	4.07301	4.080004	355	470.054545	426.074043	541.250111	15533	hFMT
