mouse	sampleID	percent_weight	CageID	Group	CageID_Assigned	BD	ExpStart	sex	Gavaged_fecal_material	Mb_input	FMT	Cdiff_infection	Cdiff_day_infected	ABX	clinda35	FMT_day	Harvest_pi	FMT_input	FMT_type	Model	Experiment	Mouse_genotype	Mouse_status	ExpDay	day	type	CFU
176	d0_176	108.1632653	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	0	-14	NA	NA
176	d1_176	102.0408163	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	1	-13	NA	NA
176	d11_176	102.0408163	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	11	-3	fecal	0
176	d14_176	100	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	14	0	fecal	0
176	d15_176	106.122449	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	15	1	fecal	0
176	d16_176	106.122449	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	16	2	fecal	0
176	d17_176	106.122449	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	17	3	fecal	0
176	d18_176	102.0408163	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	18	4	cecal	0
176	d19_176	NA	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	19	5	NA	NA
176	d21_176	NA	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	21	7	NA	NA
176	d22_176	NA	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	22	8	NA	NA
176	d23_176	NA	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	23	9	NA	NA
176	d24_176	NA	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	24	10	NA	NA
176	d25_176	NA	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	25	11	NA	NA
176	d4_176	97.95918367	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	4	-10	fecal	0
176	d7_176	100	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	7	-7	NA	NA
176	d9_176	100	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	9	-5	NA	NA
177	d0_177	102.0408163	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	0	-14	NA	NA
177	d1_177	97.95918367	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	1	-13	NA	NA
177	d11_177	93.87755102	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	11	-3	fecal	0
177	d14_177	100	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	14	0	fecal	0
177	d15_177	100	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	15	1	fecal	0
177	d16_177	96.73469388	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	16	2	fecal	0
177	d17_177	97.95918367	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	17	3	fecal	0
177	d18_177	93.87755102	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	18	4	cecal	0
177	d19_177	NA	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	19	5	NA	NA
177	d21_177	NA	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	21	7	NA	NA
177	d22_177	NA	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	22	8	NA	NA
177	d23_177	NA	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	23	9	NA	NA
177	d24_177	NA	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	24	10	NA	NA
177	d25_177	NA	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	25	11	NA	NA
177	d4_177	79.59183673	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	4	-10	fecal	0
177	d7_177	91.83673469	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	7	-7	NA	NA
177	d9_177	100	1101	1002A	1101A	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	9	-5	NA	NA
178	d0_178	112.7659574	1101	1002B	1101B	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	0	-21	NA	NA
178	d1_178	104.2553191	1101	1002B	1101B	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	1	-20	NA	NA
178	d11_178	100	1101	1002B	1101B	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	11	-10	fecal	0
178	d14_178	100	1101	1002B	1101B	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	14	-7	NA	NA
178	d15_178	NA	1101	1002B	1101B	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	15	-6	NA	NA
178	d16_178	NA	1101	1002B	1101B	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	16	-5	NA	NA
178	d17_178	NA	1101	1002B	1101B	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	17	-4	NA	NA
178	d18_178	104.2553191	1101	1002B	1101B	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	18	-3	NA	NA
178	d19_178	NA	1101	1002B	1101B	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	19	-2	NA	NA
178	d21_178	100	1101	1002B	1101B	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	21	0	fecal	0
178	d22_178	103.4042553	1101	1002B	1101B	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	22	1	fecal	0
178	d23_178	100	1101	1002B	1101B	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	23	2	fecal	0
178	d24_178	89.36170213	1101	1002B	1101B	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	24	3	fecal	0
178	d25_178	101.7021277	1101	1002B	1101B	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	25	4	cecal	0
178	d4_178	87.23404255	1101	1002B	1101B	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	4	-17	fecal	0
178	d7_178	102.1276596	1101	1002B	1101B	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	7	-14	NA	NA
178	d9_178	93.61702128	1101	1002B	1101B	1/3/18	2/12/18	F	AMS005	hFMT7	NA	CDI	21	cef	no	NA	d11	NA	NA	Pi	GF1	Swiss	GF	9	-12	NA	NA
185	d0_185	83.05084746	1103	1001A	1103A	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	0	-14	NA	NA
185	d1_185	88.13559322	1103	1001A	1103A	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	1	-13	NA	NA
185	d11_185	91.52542373	1103	1001A	1103A	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	11	-3	fecal	0
185	d14_185	100	1103	1001A	1103A	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	14	0	fecal	0
185	d15_185	98.30508475	1103	1001A	1103A	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	15	1	fecal	0
185	d16_185	94.91525424	1103	1001A	1103A	1/6/18	2/12/18	F	AMS001	hFMT6	NA	CDI	14	no	no	NA	d4	NA	NA	DC	GF1	Swiss	GF	16	2	fecal	0
