seqID	sampleID	mouse	percent_weight	CageID	Group	CageID_Assigned	BD	ExpStart	sex	Gavaged_fecal_material	Mb_input	FMT	Cdiff_infection	Cdiff_day_infected	ABX	clinda35	FMT_day	Harvest_pi	FMT_input	FMT_type	Model	Experiment	Mouse_genotype	Mouse_status	ExpDay	day	type	CFU	sampleType	simpsoneven	simpson	simpson_lci	simpson_hci	invsimpson	invsimpson_lci	invsimpson_hci	shannon	shannon_lci	shannon_hci	npshannon	sobs	chao	chao_lci	chao_hci	nseqs
AMS01	AMS01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	human	NA	NA	NA	NA	fecal	NA	human	0.083805	0.048309	0.047137	0.049481	20.69991	20.209587	21.214617	3.635821	3.616944	3.654699	3.653923	247	302.857143	277.501624	349.290306	20827
AMS02	AMS02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	human	NA	NA	NA	NA	fecal	NA	human	0.060133	0.04342	0.042532	0.044307	23.031064	22.569706	23.511677	3.812718	3.792554	3.832882	3.838244	383	475.230769	439.882994	532.544075	23104
AMS03	AMS03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	human	NA	NA	NA	NA	fecal	NA	human	0.105139	0.071513	0.067427	0.075599	13.98349	13.227766	14.830799	3.385637	3.34298	3.428293	3.417733	133	145.037037	137.554009	164.815979	4669
AMS04	AMS04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	human	NA	NA	NA	NA	fecal	NA	human	0.036776	0.159014	0.153796	0.164232	6.288754	6.088941	6.502126	2.787534	2.757896	2.817173	2.80353	171	190.555556	179.282409	217.172529	14012
AMS05	AMS05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	human	NA	NA	NA	NA	fecal	NA	human	0.038811	0.104741	0.101048	0.108434	9.547393	9.222223	9.896332	3.203722	3.171437	3.236007	3.236366	246	273.098361	259.8929	298.855858	11984
ApoE_1	ApoE_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF3	NA	NA	NA	NA	fecal	NA	mouse_survey	0.0609	0.055662	0.054102	0.057223	17.96551	17.475572	18.483711	3.737683	3.714466	3.7609	3.757298	295	364.375	333.687183	419.405301	19230
ApoE_2	ApoE_2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF3	NA	NA	NA	NA	fecal	NA	mouse_survey	0.105039	0.029844	0.02916	0.030528	33.507558	32.75716	34.293142	4.100915	4.081929	4.119901	4.118485	319	368.914894	346.279411	410.332494	20819
Blank_1	Blank_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF4	NA	NA	NA	NA	fecal	NA	control_neg	0.025914	0.332664	0.326	0.339327	3.006039	2.947009	3.067483	1.655376	1.6332	1.677553	1.67521	116	167	141.205963	219.189867	17275
c21_1835_1	d21_1835_1	1835_1	98.96193772	1835	NA	NA	6/5/2018	8/20/2018	M	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	1290000000	mouse	0.099282	0.075732	0.072715	0.078749	13.204481	12.698542	13.752408	3.209821	3.183653	3.23599	3.229188	133	166.681818	148.224739	207.51457	10018
c21_1835_3	d21_1835_3	1835_3	103.5335689	1835	NA	NA	6/5/2018	8/20/2018	M	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	190000000	mouse	0.098883	0.064827	0.062948	0.066706	15.425688	14.991203	15.88611	3.293301	3.27243	3.314172	3.309706	156	201.12	177.900735	248.956443	14973
c21_1836_2	d21_1836_2	1836_2	98.63636364	1836	NA	NA	6/5/2018	8/20/2018	F	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	730000000	mouse	0.066039	0.107394	0.104725	0.110062	9.311536	9.085789	9.548787	2.86128	2.839271	2.883288	2.876511	141	182.25	160.59776	227.824338	16522
c21_1836_3	d21_1836_3	1836_3	94.24778761	1836	NA	NA	6/5/2018	8/20/2018	F	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	470000000	mouse	0.073826	0.091523	0.089413	0.093632	10.926272	10.680072	11.18409	2.960396	2.940919	2.979873	2.974134	148	221.666667	183.85657	299.34682	19109
c21_1836_4	d21_1836_4	1836_4	103.6866359	1836	NA	NA	6/5/2018	8/20/2018	F	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	1030000000	mouse	0.077847	0.107948	0.104628	0.111268	9.263737	8.987334	9.557681	2.94124	2.914531	2.967949	2.955769	119	161	137.176263	216.049653	12062
c21_1837_1	d21_1837_1	1837_1	99.61832061	1837	NA	NA	6/11/2018	8/20/2018	M	NA	NA	hFMT7	CDI	0	cef	no	11	d21	AMS005	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	1150000000	mouse	0.059138	0.159524	0.157159	0.161889	6.268637	6.17706	6.36297	2.260534	2.242971	2.278097	2.27072	106	141	121.293165	186.101141	21955
