seqID	sampleID	mouse	percent_weight	CageID	Group	CageID_Assigned	BD	ExpStart	sex	Gavaged_fecal_material	Mb_input	FMT	Cdiff_infection	Cdiff_day_infected	ABX	clinda35	FMT_day	Harvest_pi	FMT_input	FMT_type	Model	Experiment	Mouse_genotype	Mouse_status	ExpDay	day	type	CFU	sampleType
gavage_PBS_exp3.4	gavage_PBS_exp3.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF4	NA	NA	NA	NA	NA	NA	control_FMTinput
GF2_PBS2_extraction	GF2_PBS2_extraction	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GF2	NA	NA	NA	NA	NA	NA	control_neg
GF2_PBS3_extraction	GF2_PBS3_extraction	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GF2	NA	NA	NA	NA	NA	NA	control_neg
GF3_PBS_plateA	GF3_PBS_plateA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GF3	NA	NA	NA	NA	NA	NA	control_neg
GF3_PBS_plateB	GF3_PBS_plateB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GF3	NA	NA	NA	NA	NA	NA	control_neg
GF3HF10_Water_NEG_PlateC	GF3HF10_Water_NEG_PlateC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GF3	NA	NA	NA	NA	NA	NA	control_neg
extraction_PBS_p1_exp1	extraction_PBS_p1_exp1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF1	NA	NA	NA	NA	NA	NA	control_neg
extraction_PBS_p2_exp1	extraction_PBS_p2_exp1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF1	NA	NA	NA	NA	NA	NA	control_neg
extraction_PBS_P3_exp1	extraction_PBS_P3_exp1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF1	NA	NA	NA	NA	NA	NA	control_neg
PBS_exp1	PBS_exp1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF1	NA	NA	NA	NA	NA	NA	control_neg
HF10_PBS_plateD	HF10_PBS_plateD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF10	NA	NA	NA	NA	NA	NA	control_neg
PBS_EXP2	PBS_EXP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF2	NA	NA	NA	NA	NA	NA	control_neg
PBS1_exp2	PBS1_exp2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF2	NA	NA	NA	NA	NA	NA	control_neg
PBS2_exp2	PBS2_exp2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF2	NA	NA	NA	NA	NA	NA	control_neg
waterD_10052015	waterD_10052015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF2	NA	NA	NA	NA	NA	NA	control_neg
Blank_1	Blank_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF4	NA	NA	NA	NA	NA	NA	control_neg
WaterB_04272016	WaterB_04272016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF4	NA	NA	NA	NA	NA	NA	control_neg
EMPTY1	EMPTY1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF5	NA	NA	NA	NA	NA	NA	control_neg
EMPTY2	EMPTY2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF5	NA	NA	NA	NA	NA	NA	control_neg
EMPTY3	EMPTY3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF5	NA	NA	NA	NA	NA	NA	control_neg
PBS_exp5	PBS_exp5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF5	NA	NA	NA	NA	NA	NA	control_neg
PBS2_exp5	PBS2_exp5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF5	NA	NA	NA	NA	NA	NA	control_neg
PCRwater_c_exp5	PCRwater_c_exp5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF5	NA	NA	NA	NA	NA	NA	control_neg
PCRwater_exp5	PCRwater_exp5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF5	NA	NA	NA	NA	NA	NA	control_neg
