seqID	sampleID	sampleType
d0_176	d0_176	mouse
d0_177	d0_177	mouse
d0_178	d0_178	mouse
d0_185	d0_185	mouse
d0_187	d0_187	mouse
d0_189	d0_189	mouse
d0_190	d0_190	mouse
d0_195	d0_195	mouse
d0_196	d0_196	mouse
d0_199	d0_199	mouse
d0_5415	d0_5415	mouse
d0_5419	d0_5419	mouse
d0_5420	d0_5420	mouse
d0_5423	d0_5423	mouse
d1_176	d1_176	mouse
d1_177	d1_177	mouse
d1_178	d1_178	mouse
d1_185	d1_185	mouse
d1_187	d1_187	mouse
d1_189	d1_189	mouse
d1_190	d1_190	mouse
d1_195	d1_195	mouse
d1_196	d1_196	mouse
d1_199	d1_199	mouse
d1_5415	d1_5415	mouse
d1_5419	d1_5419	mouse
d1_5420	d1_5420	mouse
d1_5423	d1_5423	mouse
d11_176	d11_176	mouse
d11_177	d11_177	mouse
d11_178	d11_178	mouse
d11_185	d11_185	mouse
d11_187	d11_187	mouse
d11_189	d11_189	mouse
d11_190	d11_190	mouse
d11_195	d11_195	mouse
d11_196	d11_196	mouse
d11_199	d11_199	mouse
d11_5415	d11_5415	mouse
d11_5419	d11_5419	mouse
d11_5420	d11_5420	mouse
d11_5423	d11_5423	mouse
d14_176	d14_176	mouse
d14_177	d14_177	mouse
d14_178	d14_178	mouse
d14_185	d14_185	mouse
d14_187	d14_187	mouse
d14_189	d14_189	mouse
d14_190	d14_190	mouse
d14_195	d14_195	mouse
d14_196	d14_196	mouse
d14_199	d14_199	mouse
d14_5415	d14_5415	mouse
d14_5419	d14_5419	mouse
d14_5420	d14_5420	mouse
d14_5423	d14_5423	mouse
d15_176	d15_176	mouse
d15_177	d15_177	mouse
d15_178	d15_178	mouse
d15_185	d15_185	mouse
d15_187	d15_187	mouse
d15_189	d15_189	mouse
d15_190	d15_190	mouse
d15_195	d15_195	mouse
d15_196	d15_196	mouse
d15_199	d15_199	mouse
d15_5415	d15_5415	mouse
d15_5419	d15_5419	mouse
d15_5420	d15_5420	mouse
d15_5423	d15_5423	mouse
d16_176	d16_176	mouse
d16_177	d16_177	mouse
d16_178	d16_178	mouse
d16_185	d16_185	mouse
d16_187	d16_187	mouse
d16_189	d16_189	mouse
d16_190	d16_190	mouse
d16_195	d16_195	mouse
d16_196	d16_196	mouse
d16_199	d16_199	mouse
d16_5415	d16_5415	mouse
d16_5419	d16_5419	mouse
d16_5420	d16_5420	mouse
d16_5423	d16_5423	mouse
d17_176	d17_176	mouse
d17_177	d17_177	mouse
d17_178	d17_178	mouse
d17_185	d17_185	mouse
d17_187	d17_187	mouse
d17_189	d17_189	mouse
d17_190	d17_190	mouse
d17_195	d17_195	mouse
d17_196	d17_196	mouse
d17_199	d17_199	mouse
