seqID	SRA_ID	BioProjectID	BioSampleID	sampleID	mouse	percent_weight	sex	FMT_input	FMT_type	Experiment	day	type	CFU	sampleType	group	shannon	nseqs	propionate	succinate	acetate	butyrate	DCA	HDCA_UDCA	CDCA	aMCA	bMCA	CA	HCA	wMCA	GLCA	GCDCA	GDCA	GHDCA	GUDCA	GCA	GHCA	TLCA	TCDCA	TDCA	THDCA_TUDCA	THCA	TaMCA_TbMCA	TCA	Acetate_nmol	Propionate_nmol	Butyrate_nmol	Isovalerate_nmol	Valerate_nmol	Hexanoate_nmol	Heptanoate_nmol	Octanoate_nmol
dn7_1199_1	dn7_1199_1	PRJNA1168499	SAMN44422661	dn7_1199_1	1199_1	90.58823529	F	D2_A	hFMT	HF1	-7	fecal	NA	mouse	hFMT	3.408523	18112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dn7_1200_1	dn7_1200_1	PRJNA1168499	SAMN44422662	dn7_1200_1	1200_1	88.82681564	M	D2_A	hFMT	HF1	-7	fecal	NA	mouse	hFMT	3.308641	19053	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dn7_1223_3	dn7_1223_3	PRJNA1168499	SAMN44422663	dn7_1223_3	1223_3	92.39130435	F	D2_A	hFMT	HF2	-7	fecal	NA	mouse	hFMT	3.766258	17654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dn7_1225_1	dn7_1225_1	PRJNA1168499	SAMN44422664	dn7_1225_1	1225_1	95.14563107	M	D2_A	hFMT	HF2	-7	fecal	NA	mouse	hFMT	3.763881	11984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dn7_1225_2	dn7_1225_2	PRJNA1168499	SAMN44422665	dn7_1225_2	1225_2	91.85520362	M	D2_A	hFMT	HF2	-7	fecal	NA	mouse	hFMT	3.438562	15897	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dn7_1291_1	dn7_1291_1	PRJNA1168499	SAMN44422666	dn7_1291_1	1291_1	92.55319149	F	R4_F	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.782571	32542	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dn7_1291_2	dn7_1291_2	PRJNA1168499	SAMN44422667	dn7_1291_2	1291_2	94.93670886	F	R4_F	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.31496	31735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dn7_1292_1	dn7_1292_1	PRJNA1168499	SAMN44422668	dn7_1292_1	1292_1	85	F	D4_A	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.728187	19651	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dn7_1292_2	dn7_1292_2	PRJNA1168499	SAMN44422669	dn7_1292_2	1292_2	88.94736842	F	D4_A	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.598239	25003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dn7_1293_1	dn7_1293_1	PRJNA1168499	SAMN44422670	dn7_1293_1	1293_1	93.8547486	F	D5_A	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.641685	36522	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
