seqID	BioProjectID	BioSampleID	sampleID	mouse	percent_weight	sex	FMT_input	FMT_type	Experiment	day	type	CFU	sampleType	group	shannon	nseqs
dn7_1199_1	PRJNA1168499	SAMN44422661	dn7_1199_1	1199_1	90.58823529	F	D2_A	hFMT	HF1	-7	fecal	NA	mouse	hFMT	3.408523	18112
dn7_1200_1	PRJNA1168499	SAMN44422662	dn7_1200_1	1200_1	88.82681564	M	D2_A	hFMT	HF1	-7	fecal	NA	mouse	hFMT	3.308641	19053
dn7_1223_3	PRJNA1168499	SAMN44422663	dn7_1223_3	1223_3	92.39130435	F	D2_A	hFMT	HF2	-7	fecal	NA	mouse	hFMT	3.766258	17654
dn7_1225_1	PRJNA1168499	SAMN44422664	dn7_1225_1	1225_1	95.14563107	M	D2_A	hFMT	HF2	-7	fecal	NA	mouse	hFMT	3.763881	11984
dn7_1225_2	PRJNA1168499	SAMN44422665	dn7_1225_2	1225_2	91.85520362	M	D2_A	hFMT	HF2	-7	fecal	NA	mouse	hFMT	3.438562	15897
dn7_1291_1	PRJNA1168499	SAMN44422666	dn7_1291_1	1291_1	92.55319149	F	R4_F	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.782571	32542
dn7_1291_2	PRJNA1168499	SAMN44422667	dn7_1291_2	1291_2	94.93670886	F	R4_F	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.31496	31735
dn7_1292_1	PRJNA1168499	SAMN44422668	dn7_1292_1	1292_1	85	F	D4_A	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.728187	19651
dn7_1292_2	PRJNA1168499	SAMN44422669	dn7_1292_2	1292_2	88.94736842	F	D4_A	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.598239	25003
dn7_1293_1	PRJNA1168499	SAMN44422670	dn7_1293_1	1293_1	93.8547486	F	D5_A	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.641685	36522
dn7_1293_2	PRJNA1168499	SAMN44422671	dn7_1293_2	1293_2	90.79754601	F	D5_A	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.69374	43202
dn7_1293_4	PRJNA1168499	SAMN44422672	dn7_1293_4	1293_4	85.05154639	F	D5_A	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.673663	24318
dn7_1295_1	PRJNA1168499	SAMN44422673	dn7_1295_1	1295_1	91.44144144	M	R4_F	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.546124	56028
dn7_1295_2	PRJNA1168499	SAMN44422674	dn7_1295_2	1295_2	90.69767442	M	R4_F	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.202025	101446
dn7_1296_1	PRJNA1168499	SAMN44422675	dn7_1296_1	1296_1	91.46919431	M	D4_A	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.429658	54059
dn7_1296_2	PRJNA1168499	SAMN44422676	dn7_1296_2	1296_2	92.69406393	M	D4_A	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.831879	74609
dn7_1297_1	PRJNA1168499	SAMN44422677	dn7_1297_1	1297_1	92.76595745	M	D5_A	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.847267	71518
dn7_1835_1	PRJNA1168499	SAMN44422678	dn7_1835_1	1835_1	95.84775087	M	AMS001	hFMT	HF9	-7	fecal	NA	mouse	hFMT	4.258447	21136
dn7_1835_2	PRJNA1168499	SAMN44422679	dn7_1835_2	1835_2	97.17314488	M	AMS001	hFMT	HF9	-7	fecal	NA	mouse	hFMT	4.400399	16839
dn7_1835_3	PRJNA1168499	SAMN44422680	dn7_1835_3	1835_3	93.28621908	M	AMS001	hFMT	HF9	-7	fecal	NA	mouse	hFMT	4.111081	20816
dn7_1836_1	PRJNA1168499	SAMN44422681	dn7_1836_1	1836_1	96.36363636	F	AMS001	hFMT	HF9	-7	fecal	NA	mouse	hFMT	4.092871	12169
dn7_1836_2	PRJNA1168499	SAMN44422682	dn7_1836_2	1836_2	94.09090909	F	AMS001	hFMT	HF9	-7	fecal	NA	mouse	hFMT	4.271098	16871
dn7_1836_3	PRJNA1168499	SAMN44422683	dn7_1836_3	1836_3	96.01769912	F	AMS001	hFMT	HF9	-7	fecal	NA	mouse	hFMT	4.294595	13715
dn7_1836_4	PRJNA1168499	SAMN44422684	dn7_1836_4	1836_4	94.93087558	F	AMS001	hFMT	HF9	-7	fecal	NA	mouse	hFMT	4.048717	15533
dn7_1837_1	PRJNA1168499	SAMN44422685	dn7_1837_1	1837_1	94.65648855	M	AMS005	hFMT	HF9	-7	fecal	NA	mouse	hFMT	4.269304	21550
dn7_1837_2	PRJNA1168499	SAMN44422686	dn7_1837_2	1837_2	95.36679537	M	AMS005	hFMT	HF9	-7	fecal	NA	mouse	hFMT	4.21872	17967
dn7_1837_3	PRJNA1168499	SAMN44422687	dn7_1837_3	1837_3	92.67399267	M	AMS005	hFMT	HF9	-7	fecal	NA	mouse	hFMT	3.929016	20778
dn7_1839_1	PRJNA1168499	SAMN44422688	dn7_1839_1	1839_1	89.62264151	F	AMS005	hFMT	HF9	-7	fecal	NA	mouse	hFMT	3.999454	17377
dn7_1839_2	PRJNA1168499	SAMN44422689	dn7_1839_2	1839_2	90.7079646	F	AMS005	hFMT	HF9	-7	fecal	NA	mouse	hFMT	3.829171	17881
dn7_1839_3	PRJNA1168499	SAMN44422690	dn7_1839_3	1839_3	90.56603774	F	AMS005	hFMT	HF9	-7	fecal	NA	mouse	hFMT	4.01454	21131
d0_1199_1	PRJNA1168499	SAMN44422691	d0_1199_1	1199_1	100	F	D2_A	hFMT	HF1	0	fecal	NA	mouse	hFMT	0.050762	17847
d0_1200_1	PRJNA1168499	SAMN44422692	d0_1200_1	1200_1	100	M	D2_A	hFMT	HF1	0	fecal	NA	mouse	hFMT	0.015724	23094
d0_1223_3	PRJNA1168499	SAMN44422693	d0_1223_3	1223_3	100	F	D2_A	hFMT	HF2	0	fecal	NA	mouse	hFMT	0.042803	16267
d0_1225_1	PRJNA1168499	SAMN44422694	d0_1225_1	1225_1	100	M	D2_A	hFMT	HF2	0	fecal	NA	mouse	hFMT	0.031528	15980
d0_1225_3	PRJNA1168499	SAMN44422695	d0_1225_3	1225_3	100	M	D2_A	hFMT	HF2	0	fecal	NA	mouse	hFMT	0.042079	20057
d0_1292_1	PRJNA1168499	SAMN44422696	d0_1292_1	1292_1	100	F	D4_A	hFMT	HF4	0	fecal	NA	mouse	hFMT	0.049648	18700
d0_1293_1	PRJNA1168499	SAMN44422697	d0_1293_1	1293_1	100	F	D5_A	hFMT	HF4	0	fecal	NA	mouse	hFMT	0.371187	44437
d0_1295_1	PRJNA1168499	SAMN44422698	d0_1295_1	1295_1	100	M	R4_F	hFMT	HF4	0	fecal	NA	mouse	hFMT	0.04951	21906
d0_1835_1	PRJNA1168499	SAMN44422699	d0_1835_1	1835_1	100	M	AMS001	hFMT	HF9	0	fecal	0	mouse	hFMT	0.027402	22471
d0_1835_2	PRJNA1168499	SAMN44422700	d0_1835_2	1835_2	100	M	AMS001	hFMT	HF9	0	fecal	0	mouse	hFMT	0.03747	19307
d0_1835_3	PRJNA1168499	SAMN44422701	d0_1835_3	1835_3	100	M	AMS001	hFMT	HF9	0	fecal	0	mouse	hFMT	0.025776	19797
d0_1836_1	PRJNA1168499	SAMN44422702	d0_1836_1	1836_1	100	F	AMS001	hFMT	HF9	0	fecal	0	mouse	hFMT	0.032479	12519
d0_1836_2	PRJNA1168499	SAMN44422703	d0_1836_2	1836_2	100	F	AMS001	hFMT	HF9	0	fecal	0	mouse	hFMT	0.026948	23882
d0_1836_3	PRJNA1168499	SAMN44422704	d0_1836_3	1836_3	100	F	AMS001	hFMT	HF9	0	fecal	0	mouse	hFMT	0.01486	23304
d0_1836_4	PRJNA1168499	SAMN44422705	d0_1836_4	1836_4	100	F	AMS001	hFMT	HF9	0	fecal	0	mouse	hFMT	0.033069	18055
d0_1837_1	PRJNA1168499	SAMN44422706	d0_1837_1	1837_1	100	M	AMS005	hFMT	HF9	0	fecal	0	mouse	hFMT	0.036228	19798
d0_1837_2	PRJNA1168499	SAMN44422707	d0_1837_2	1837_2	100	M	AMS005	hFMT	HF9	0	fecal	0	mouse	hFMT	0.015633	18619
d0_1837_3	PRJNA1168499	SAMN44422708	d0_1837_3	1837_3	100	M	AMS005	hFMT	HF9	0	fecal	0	mouse	hFMT	0.047134	13785
d0_1839_1	PRJNA1168499	SAMN44422709	d0_1839_1	1839_1	100	F	AMS005	hFMT	HF9	0	fecal	0	mouse	hFMT	0.039212	16216
d0_1839_2	PRJNA1168499	SAMN44422710	d0_1839_2	1839_2	100	F	AMS005	hFMT	HF9	0	fecal	0	mouse	hFMT	0.257592	27752
d0_1839_3	PRJNA1168499	SAMN44422711	d0_1839_3	1839_3	100	F	AMS005	hFMT	HF9	0	fecal	0	mouse	hFMT	0.123789	28232
d1_1199_1	PRJNA1168499	SAMN44422712	d1_1199_1	1199_1	101.1764706	F	D2_A	hFMT	HF1	1	fecal	65000000	mouse	hFMT	0.59646	12165
d1_1199_2	PRJNA1168499	SAMN44422713	d1_1199_2	1199_2	101.0582011	F	D2_A	hFMT	HF1	1	fecal	21000000	mouse	hFMT	0.540242	13814
d1_1200_1	PRJNA1168499	SAMN44422714	d1_1200_1	1200_1	103.3519553	M	D2_A	hFMT	HF1	1	fecal	86000000	mouse	hFMT	0.674295	12926
d1_1200_2	PRJNA1168499	SAMN44422715	d1_1200_2	1200_2	105.2631579	M	D2_A	hFMT	HF1	1	fecal	59000000	mouse	hFMT	0.48505	11981
d1_1223_4	PRJNA1168499	SAMN44422716	d1_1223_4	1223_4	99.44751381	F	D2_A	hFMT	HF2	1	fecal	7000000	mouse	hFMT	0.853408	17167
d1_1223_5	PRJNA1168499	SAMN44422717	d1_1223_5	1223_5	98.88268156	F	D2_A	hFMT	HF2	1	fecal	17000000	mouse	hFMT	1.028115	16221
d1_1225_1	PRJNA1168499	SAMN44422718	d1_1225_1	1225_1	97.57281553	M	D2_A	hFMT	HF2	1	fecal	9000000	mouse	hFMT	0.674934	13344
d1_1225_2	PRJNA1168499	SAMN44422719	d1_1225_2	1225_2	95.92760181	M	D2_A	hFMT	HF2	1	fecal	12000000	mouse	hFMT	0.650233	15584
d1_1291_1	PRJNA1168499	SAMN44422720	d1_1291_1	1291_1	NA	F	R4_F	hFMT	HF4	1	fecal	16600000	mouse	hFMT	0.640675	3301
d1_1291_2	PRJNA1168499	SAMN44422721	d1_1291_2	1291_2	100.6329114	F	R4_F	hFMT	HF4	1	fecal	39000000	mouse	hFMT	0.49345	3351
d1_1292_1	PRJNA1168499	SAMN44422722	d1_1292_1	1292_1	100	F	D4_A	hFMT	HF4	1	fecal	80000000	mouse	hFMT	0.74358	9548
d1_1292_2	PRJNA1168499	SAMN44422723	d1_1292_2	1292_2	98.42105263	F	D4_A	hFMT	HF4	1	fecal	29900000	mouse	hFMT	0.432444	10196
d1_1293_1	PRJNA1168499	SAMN44422724	d1_1293_1	1293_1	98.88268156	F	D5_A	hFMT	HF4	1	fecal	5000000	mouse	hFMT	0.360504	17672
d1_1293_2	PRJNA1168499	SAMN44422725	d1_1293_2	1293_2	98.77300613	F	D5_A	hFMT	HF4	1	fecal	19000000	mouse	hFMT	0.504673	27442
d1_1295_1	PRJNA1168499	SAMN44422726	d1_1295_1	1295_1	100.4504505	M	R4_F	hFMT	HF4	1	fecal	64000000	mouse	hFMT	0.678579	15975
d1_1295_2	PRJNA1168499	SAMN44422727	d1_1295_2	1295_2	100	M	R4_F	hFMT	HF4	1	fecal	29000000	mouse	hFMT	0.408578	19053
d1_1296_1	PRJNA1168499	SAMN44422728	d1_1296_1	1296_1	102.3696682	M	D4_A	hFMT	HF4	1	fecal	9000000	mouse	hFMT	0.601325	5884
d1_1296_2	PRJNA1168499	SAMN44422729	d1_1296_2	1296_2	101.369863	M	D4_A	hFMT	HF4	1	fecal	5000000	mouse	hFMT	0.498099	5657
d1_1297_1	PRJNA1168499	SAMN44422730	d1_1297_1	1297_1	101.7021277	M	D5_A	hFMT	HF4	1	fecal	13600000	mouse	hFMT	0.67052	18103
d1_1297_2	PRJNA1168499	SAMN44422731	d1_1297_2	1297_2	95.79439252	M	D5_A	hFMT	HF4	1	fecal	17600000	mouse	hFMT	0.302489	43516
d1_1835_1	PRJNA1168499	SAMN44422732	d1_1835_1	1835_1	96.19377163	M	AMS001	hFMT	HF9	1	fecal	610000000	mouse	hFMT	0.053198	18791
d1_1835_3	PRJNA1168499	SAMN44422733	d1_1835_3	1835_3	98.58657244	M	AMS001	hFMT	HF9	1	fecal	520000000	mouse	hFMT	0.269377	14732
d1_1836_1	PRJNA1168499	SAMN44422734	d1_1836_1	1836_1	98.18181818	F	AMS001	hFMT	HF9	1	fecal	110000000	mouse	hFMT	0.298232	17696
d1_1836_2	PRJNA1168499	SAMN44422735	d1_1836_2	1836_2	99.09090909	F	AMS001	hFMT	HF9	1	fecal	130000000	mouse	hFMT	0.393835	24998
d1_1836_3	PRJNA1168499	SAMN44422736	d1_1836_3	1836_3	99.11504425	F	AMS001	hFMT	HF9	1	fecal	30000000	mouse	hFMT	0.409256	24413
d1_1836_4	PRJNA1168499	SAMN44422737	d1_1836_4	1836_4	99.07834101	F	AMS001	hFMT	HF9	1	fecal	30000000	mouse	hFMT	0.233528	18635
d1_1837_1	PRJNA1168499	SAMN44422738	d1_1837_1	1837_1	99.23664122	M	AMS005	hFMT	HF9	1	fecal	0	mouse	hFMT	0.313303	26094
d1_1837_2	PRJNA1168499	SAMN44422739	d1_1837_2	1837_2	98.84169884	M	AMS005	hFMT	HF9	1	fecal	0	mouse	hFMT	0.439363	18248
d1_1839_1	PRJNA1168499	SAMN44422740	d1_1839_1	1839_1	98.11320755	F	AMS005	hFMT	HF9	1	fecal	310000000	mouse	hFMT	0.478872	17079
d1_1839_2	PRJNA1168499	SAMN44422741	d1_1839_2	1839_2	99.55752212	F	AMS005	hFMT	HF9	1	fecal	50000000	mouse	hFMT	0.363181	17492
d1_1839_3	PRJNA1168499	SAMN44422742	d1_1839_3	1839_3	97.16981132	F	AMS005	hFMT	HF9	1	fecal	0	mouse	hFMT	0.650601	21895
d4_1199_1	PRJNA1168499	SAMN44422743	d4_1199_1	1199_1	92.35294118	F	D2_A	hFMT	HF1	4	fecal	2900000	mouse	hFMT	1.102256	19531
