seqID	sampleID	mouse	percent_weight	sex	FMT_input	FMT_type	Experiment	day	type	CFU	sampleType	group	shannon	nseqs	fastq_file1	seqname	fastq_file2	move_command	missing_transfer	Dates
dn7_1199_1	dn7_1199_1	1199_1	90.58823529	F	D2_A	hFMT	HF1	-7	fecal	NA	mouse	hFMT	3.408523	18112	dn7-1199-1_S89_L001_R1_001.fastq.gz	dn7-1199-1	dn7-1199-1_S89_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name dn7-1199-1_* | xargs cp -t /home/aseekat/forSRA	no	2015
dn7_1200_1	dn7_1200_1	1200_1	88.82681564	M	D2_A	hFMT	HF1	-7	fecal	NA	mouse	hFMT	3.308641	19053	dn7-1200-1_S88_L001_R1_001.fastq.gz	dn7-1200-1	dn7-1200-1_S88_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name dn7-1200-1_* | xargs cp -t /home/aseekat/forSRA	no	2015
dn7_1223_3	dn7_1223_3	1223_3	92.39130435	F	D2_A	hFMT	HF2	-7	fecal	NA	mouse	hFMT	3.766258	17654	d16-1209-4_S323_L001_R1_001.fastq.gz	d16-1209-4	d16-1209-4_S323_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d16-1209-4_* | xargs cp -t /home/aseekat/forSRA	no	2015
dn7_1225_1	dn7_1225_1	1225_1	95.14563107	M	D2_A	hFMT	HF2	-7	fecal	NA	mouse	hFMT	3.763881	11984	dn7-1225-1_S246_L001_R1_001.fastq.gz	dn7-1225-1	dn7-1225-1_S246_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name dn7-1225-1_* | xargs cp -t /home/aseekat/forSRA	no	2015
dn7_1225_2	dn7_1225_2	1225_2	91.85520362	M	D2_A	hFMT	HF2	-7	fecal	NA	mouse	hFMT	3.438562	15897	d12-1203-1_S304_L001_R1_001.fastq.gz	d12-1203-1	d12-1203-1_S304_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d12-1203-1_* | xargs cp -t /home/aseekat/forSRA	no	2015
dn7_1291_1	dn7_1291_1	1291_1	92.55319149	F	R4_F	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.782571	32542	dn7-1291-1_S326_L001_R1_001.fastq.gz	dn7-1291-1	dn7-1291-1_S326_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name dn7-1291-1_* | xargs cp -t /home/aseekat/forSRA	no	2015
dn7_1291_2	dn7_1291_2	1291_2	94.93670886	F	R4_F	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.31496	31735	dn7-1291-2_S334_L001_R1_001.fastq.gz	dn7-1291-2	dn7-1291-2_S334_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name dn7-1291-2_* | xargs cp -t /home/aseekat/forSRA	no	2015
dn7_1292_1	dn7_1292_1	1292_1	85	F	D4_A	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.728187	19651	dn7-1292-1_S78_L001_R1_001.fastq.gz	dn7-1292-1	dn7-1292-1_S78_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name dn7-1292-1_* | xargs cp -t /home/aseekat/forSRA	no	2015
dn7_1292_2	dn7_1292_2	1292_2	88.94736842	F	D4_A	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.598239	25003	dn7-1292-2_S79_L001_R1_001.fastq.gz	dn7-1292-2	dn7-1292-2_S79_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name dn7-1292-2_* | xargs cp -t /home/aseekat/forSRA	no	2015
dn7_1293_1	dn7_1293_1	1293_1	93.8547486	F	D5_A	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.641685	36522	dn7-1293-1_S94_L001_R1_001.fastq.gz	dn7-1293-1	dn7-1293-1_S94_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name dn7-1293-1_* | xargs cp -t /home/aseekat/forSRA	no	2015
dn7_1293_2	dn7_1293_2	1293_2	90.79754601	F	D5_A	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.69374	43202	dn7-1293-2_S93_L001_R1_001.fastq.gz	dn7-1293-2	dn7-1293-2_S93_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name dn7-1293-2_* | xargs cp -t /home/aseekat/forSRA	no	2015
dn7_1293_4	dn7_1293_4	1293_4	85.05154639	F	D5_A	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.673663	24318	dn7-1293-4_S327_L001_R1_001.fastq.gz	dn7-1293-4	dn7-1293-4_S327_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name dn7-1293-4_* | xargs cp -t /home/aseekat/forSRA	no	2015
dn7_1295_1	dn7_1295_1	1295_1	91.44144144	M	R4_F	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.546124	56028	dn7-1295-1_S319_L001_R1_001.fastq.gz	dn7-1295-1	dn7-1295-1_S319_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name dn7-1295-1_* | xargs cp -t /home/aseekat/forSRA	no	2015
dn7_1295_2	dn7_1295_2	1295_2	90.69767442	M	R4_F	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.202025	101446	dn7-1295-2_S320_L001_R1_001.fastq.gz	dn7-1295-2	dn7-1295-2_S320_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name dn7-1295-2_* | xargs cp -t /home/aseekat/forSRA	no	2015
dn7_1296_1	dn7_1296_1	1296_1	91.46919431	M	D4_A	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.429658	54059	dn7-1296-1_S329_L001_R1_001.fastq.gz	dn7-1296-1	dn7-1296-1_S329_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name dn7-1296-1_* | xargs cp -t /home/aseekat/forSRA	no	2015
