compound	run	Data_Filename	Sample_ID	Sample_Type	Level	Ret_Time	Area	Height	ISTD_Area	ISTD_Height	Area_Ratio	Height_Ratio	Conc	Std_Conc	Deviation	percDev	Accuracy	QC_Check_Results	Mark	Peak_Start	Peak_End	TPlatenum	HETP	meter	Tailing_F	Tailing_F10perc	Resolution	k	Separation_F	Areaperc	Heightperc	USP_Width	Width5perc	Width10perc	Width50perc	Relative_Retention_Time
raffinose	2	2016-03-02_061.lcd	STD-0016	Standard	1	7.462	9024	538	NA	NA	NA	NA	0.08271	0.1	-0.01729	-17.29	82.7	NA	NA	7.275	7.858	4467.243	33.578	29781.621	NA	NA	NA	0.244	0	14.2068	17.2724	0.447	0	0.495	0.262	0.449
raffinose	2	2016-03-02_060.lcd	STD-0015	Standard	2	7.471	26983	1518	NA	NA	NA	NA	0.2473	0.25	-0.0027	-1.08	98.9	NA	NA	7.25	7.875	4035.598	37.169	26903.99	NA	NA	NA	0.245	0	19.4299	22.2497	0.47	0	0.553	0.273	0.449
raffinose	2	2016-03-02_059.lcd	STD-0014	Standard	3	7.491	56785	3131	NA	NA	NA	NA	0.52045	0.5	0.02045	4.09	104.1	NA	NA	7.25	7.892	3919.068	38.274	26127.119	NA	NA	NA	0.249	0	21.5932	24.1156	0.479	0	0.584	0.277	0.449
raffinose	2	2016-03-02_058.lcd	STD-0013	Standard	4	7.515	108005	5885	NA	NA	NA	NA	0.98988	1	-0.01012	-1.01	99	NA	NA	7.258	7.917	3868.559	38.774	25790.396	NA	NA	NA	0.252	0	22.6494	25.09	0.483	0	0	0.28	0.449
raffinose	2	2016-03-02_057.lcd	STD-0012	Standard	5	7.524	272634	14671	NA	NA	NA	NA	2.49873	2.5	-0.00127	-0.05	99.9	NA	NA	7.258	7.933	3814.877	39.32	25432.513	NA	NA	NA	0.254	0	23.4121	25.6939	0.487	0	0	0.282	0.449
raffinose	2	2016-03-02_056.lcd	STD-0011	Standard	6	7.508	592412	31940	NA	NA	NA	NA	5.42955	5	0.42955	8.59	108.6	NA	NA	7.242	7.917	3829.238	39.172	25528.251	NA	NA	NA	0.251	0	23.7919	26.0837	0.485	0	0	0.281	0.449
raffinose	2	2016-03-02_055.lcd	STD-0010	Standard	7	7.476	1130001	61065	NA	NA	NA	NA	10.35663	10	0.35663	3.57	103.6	NA	NA	7.208	7.883	3819.26	39.275	25461.731	NA	NA	NA	0.246	0	23.6696	26.018	0.484	0	0	0.28	0.449
raffinose	2	2016-03-02_054.lcd	STD-0009	Standard	8	7.45	2163332	117178	NA	NA	NA	NA	19.82726	20	-0.17274	-0.86	99.1	NA	NA	7.175	7.85	3806.261	39.409	25375.074	NA	NA	NA	0.242	0	23.6846	26.0617	0.483	0	0	0.279	0.449
raffinose	2	2016-03-02_001.lcd	BLANK	Control	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_002.lcd	STD-0017	Unknown	NA	7.455	1060159	48948	NA	NA	NA	NA	9.71652	NA	NA	NA	NA	NA	NA	7.208	7.858	2576.18	58.226	17174.535	NA	NA	NA	0.242	0	21.6941	25.9919	0.588	0	0	0.342	0.45
