grp	r2	slope	intercept
propionate	0.996951240715681	8.57195236040549e-05	0.188259157737751
fructose_mannitol_sorbitol	0.979632443942551	9.03882514042852e-06	-0.18532033184603
glucose	0.983162419942093	1.56494114943179e-05	-0.220141148858149
lactate	0.985541565085756	5.26032068566247e-05	-0.224242520469193
succinate	0.985488486874991	3.94418284419466e-05	-0.145750864831106
butyrate	0.976523902904789	4.90659905695189e-05	-0.0666674375530043
sialic_acid	0.98235597286202	6.56755259424248e-05	-0.0548456967751667
valerate	0.977807152995949	4.68807850965309e-05	-0.0706049450268802
pre_sialic_acid	0.999663211105857	8.31860394503901e-05	-0.0876902571570864
formate	0.989655236928736	0.000258867102687358	0.217132575329809
raffinose	0.974819847503531	8.22068344323563e-06	-0.127613638453367
methanol	0.115975821944317	0.00032116254901771	-2.78198514771207
trehalose	0.973830630819095	7.96310199646967e-06	-0.197045338856983
acetate	0.992372681318625	0.000105227659005264	-0.0992084913405975
