lcm_sampleID	sample_name	seqID	DNA_plate	fecal_weight	dilution	PBS_added	dilution_material	injection	concentration_mM	sample_type
S_A01	d0_1268_1	d0_1268_1	HUMO34_1	0.0708	0.1	637.2	PBS	0.02	NA	unknown
S_A02	d0_1275_1	d0_1275_1	HUMO34_1	0.0433	0.1	389.7	PBS	0.02	NA	unknown
S_A03	d0_1273_1	d0_1273_1	HUMO34_1	0.0563	0.1	506.7	PBS	0.02	NA	unknown
S_A04	dn7_1275_1	dn7_1275_1	HUMO34_1	0.017	0.1	153	PBS	0.02	NA	unknown
S_A05	dn7_1275_2	dn7_1275_2	HUMO34_1	0.0387	0.1	348.3	PBS	0.02	NA	unknown
S_A06	dn7_1273_1	dn7_1273_1	HUMO34_1	0.0422	0.1	379.8	PBS	0.02	NA	unknown
S_A07	d1_1191_2	d1_1191_2	HUMO34_1	0.051	0.1	456	PBS	0.02	NA	unknown
S_A08	d1_1275_1	d1_1275_1	HUMO34_1	0.0516	0.1	464.4	PBS	0.02	NA	unknown
S_A09	d1_1273_1	d1_1273_1	HUMO34_1	0.0347	0.1	312.3	PBS	0.02	NA	unknown
S_A10	d4_1273_1	d4_1273_1	HUMO34_1	0.0262	0.1	235.8	PBS	0.02	NA	unknown
S_A11	d4_1275_1	d4_1275_1	HUMO34_1	0.545	0.1	490.5	PBS	0.02	NA	unknown
S_A12	d4_1271_3	d4_1271_3	HUMO34_1	0.0239	0.1	215.1	PBS	0.02	NA	unknown
S_B01	d11_1273_1	d11_1273_1	HUMO34_1	0.0239	0.1	215.1	PBS	0.02	NA	unknown
S_B02	d11_1275_1	d11_1275_1	HUMO34_1	0.0357	0.1	321.3	PBS	0.02	NA	unknown
S_B03	d11_1269_1	d11_1269_1	HUMO34_1	0.0511	0.1	459.9	PBS	0.02	NA	unknown
S_B04	d16_1191_1	d16_1191_1	HUMO34_1	0.0257	0.1	231.3	PBS	0.02	NA	unknown
S_B05	d16_1191_2	d16_1191_2	HUMO34_1	0.0297	0.1	267.3	PBS	0.02	NA	unknown
S_B06	d16_1191_3	d16_1191_3	HUMO34_1	0.022	0.1	198	PBS	0.02	NA	unknown
S_B07	d16_1275_1	d16_1275_1	HUMO34_1	0.0454	0.1	408.6	PBS	0.02	NA	unknown
S_B08	d16_1275_2	d16_1275_2	HUMO34_1	0.0222	0.1	199.8	PBS	0.02	NA	unknown
S_B09	d16_1275_3	d16_1275_3	HUMO34_1	0.0297	0.1	267.3	PBS	0.02	NA	unknown
S_B10	d19_1191_1	d19_1191_1	HUMO34_1	0.0465	0.1	418.5	PBS	0.02	NA	unknown
S_B11	d19_1191_2	d19_1191_2	HUMO34_1	0.0232	0.1	208.8	PBS	0.02	NA	unknown
S_B12	d19_1191_3	d19_1191_3	HUMO34_1	0.0175	0.0666	157.5	PBS	0.02	NA	unknown
S_C01	d19_1275_1	d19_1275_1	HUMO34_1	0.0181	0.1	162.9	PBS	0.02	NA	unknown
S_C02	d19_1275_2	d19_1275_2	HUMO34_1	0.0153	0.0333	137.7	PBS	0.02	NA	unknown
S_C03	d19_1275_3	d19_1275_3	HUMO34_1	0.0341	0.1	306.9	PBS	0.02	NA	unknown
S_C04	d32_1191_3	d32_1191_1	HUMO34_1	0.045	0.1	405	PBS	0.02	NA	unknown
S_C05	d32_1191_2	d32_1191_2	HUMO34_1	0.0532	0.1	478.8	PBS	0.02	NA	unknown
S_C06	d32_1275_1	d32_1275_1	HUMO34_1	0.0417	0.1	375.3	PBS	0.02	NA	unknown
S_C07	d32_1275_2	d32_1275_2	HUMO34_1	0.0155	0.0333	139.5	PBS	0.02	NA	unknown
