compound	DataFilename	SampleName	SampleID	SampleType	Level	Ret.Time	Area	Height	ISTDArea	ISTDHeight	AreaRatio	HeightRatio	Conc.	Std.Conc.	Deviation	%Dev	Accuracy	QCCheckResults	Mark	PeakStart	PeakEnd	T.Plate#	HETP	meter	TailingF.	TailingF(10%)	Resolution	k'	SeparationF.	Area%	Height%	USPWidth	Width(5%)	Width(10%)	Width(50%)	RelativeRetentionTime	Statistic
acetate	2017-10-05_000.lcd	No injection	BLANK	Unknown	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	*
acetate	2017-10-05_001.lcd	40 mM Mix	STD-0111	Unknown	-----	15.685	312989	14874	-----	-----	-----	-----	134.23144	-----	-----	-----	-----	Quant.Range(High)	 V 	14.958	16.95	14000.464	10.714	93336.429	0.973	1.003	2.638	1.48	1.167	1.6001	1.7298	0.53	0.771	0.629	0.306	1	*
acetate	2017-10-05_002.lcd	20 mM Mix	STD-0112	Unknown	-----	15.693	150083	7138	-----	-----	-----	-----	64.3659	-----	-----	-----	-----	Quant.Range(High)	 V 	14.983	16.8	13853.626	10.827	92357.508	0.973	1.001	2.631	1.461	1.169	1.5639	1.6902	0.533	0.77	0.631	0.308	1	*
acetate	2017-10-05_003.lcd	10 mM Mix	STD-0113	Unknown	-----	15.692	72758	3503	-----	-----	-----	-----	31.20355	-----	-----	-----	-----	Quant.Range(High)	 V 	14.967	16.508	14078.049	10.655	93853.663	0.967	0.994	2.657	1.468	1.169	1.522	1.6412	0.529	0.76	0.624	0.305	1	*
acetate	2017-10-05_004.lcd	5 mM Mix	STD-0114	Unknown	-----	15.693	37003	1790	-----	-----	-----	-----	15.86952	-----	-----	-----	-----	Quant.Range(High)	 V 	14.958	16.342	14128.105	10.617	94187.367	0.965	0.993	2.659	1.474	1.169	1.5092	1.6382	0.528	0.754	0.622	0.305	1	*
acetate	2017-10-05_005.lcd	2.5 mM Mix	STD-0115	Unknown	-----	15.693	17805	870	-----	-----	-----	-----	7.6361	-----	-----	-----	-----	Quant.Range(High)	NA	15.042	16.292	14256.101	10.522	95040.674	0.968	0.995	2.685	1.225	1.185	1.4759	1.6084	0.526	0.741	0.615	0.304	1	*
acetate	2017-10-05_006.lcd	1 mM Mix	STD-0116	Unknown	-----	15.695	7195	349	-----	-----	-----	-----	3.08553	-----	-----	-----	-----	NA	NA	15.058	16.292	13884.502	10.803	92563.344	0.961	0.994	2.659	1.225	1.185	1.4098	1.516	0.533	0.751	0.622	0.307	1	*
acetate	2017-10-05_007.lcd	0.5 mM Mix	STD-0117	Unknown	-----	15.692	3325	165	-----	-----	-----	-----	1.42584	-----	-----	-----	-----	NA	NA	15.208	16.25	14346.984	10.455	95646.557	0.994	1.017	2.695	1.226	1.186	1.3868	1.4619	0.524	0.711	0.608	0.303	1	*
acetate	2017-10-05_008.lcd	0.25 mM Mix	STD-0118	Unknown	-----	15.701	1823	90	-----	-----	-----	-----	0.78168	-----	-----	-----	-----	NA	NA	15.242	16.217	14544.425	10.313	96962.832	1.009	1.003	2.75	1.226	1.186	1.3422	1.4235	0.521	0.744	0.597	0.304	1	*
acetate	2017-10-05_009.lcd	0.1 mM Mix	STD-0119	Unknown	-----	15.7	695	36	-----	-----	-----	-----	0.2981	-----	-----	-----	-----	NA	NA	15.325	16.108	14281.319	10.503	95208.792	1.029	1.013	2.844	1.226	1.188	1.0629	1.1738	0.526	0.655	0.573	0.299	1	*
acetate	2017-10-05_010.lcd	Water	BLANK	Unknown	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	*
acetate	2017-10-05_011.lcd	HPLC_HF5.PlateA	HF5.PlateA-A01	Unknown	-----	15.689	12003	580	-----	-----	-----	-----	5.14769	-----	-----	-----	-----	Quant.Range(High)	NA	15.075	16.183	13841.697	10.837	92277.981	0.929	0.959	5.341	1.758	1.375	0.3732	0.2484	0.533	0.754	0.631	0.308	1	*
acetate	2017-10-05_012.lcd	HPLC_HF5.PlateA	HF5.PlateA-A02	Unknown	-----	15.68	13694	569	-----	-----	-----	-----	5.87286	-----	-----	-----	-----	Quant.Range(High)	 V 	14.908	16.167	11846.071	12.662	78973.807	0.838	0.83	1.29	1.762	1.12	0.4546	0.2505	0.576	0.908	0.784	0.332	1	*
acetate	2017-10-05_013.lcd	HPLC_HF5.PlateA	HF5.PlateA-A03	Unknown	-----	15.662	6060	326	-----	-----	-----	-----	2.59914	-----	-----	-----	-----	NA	 V 	15.533	16.167	1993.832	75.232	13292.21	--	--	0.129	2.244	1.022	0.1782	0.1399	1.403	0	0	0	1	*
acetate	2017-10-05_014.lcd	HPLC_HF5.PlateA	HF5.PlateA-A04	Unknown	-----	15.675	6103	301	-----	-----	-----	-----	2.61727	-----	-----	-----	-----	NA	 V 	15.5	16.233	7886.248	19.02	52574.989	--	--	--	2.254	1.017	0.1714	0.1276	0.706	0	0	0	1	*
acetate	2017-10-05_015.lcd	HPLC_HF5.PlateA	HF5.PlateA-A05	Unknown	-----	15.674	6834	315	-----	-----	-----	-----	2.93092	-----	-----	-----	-----	NA	 V 	15.442	16.208	8531.416	17.582	56876.105	--	--	--	2.289	1.023	0.2024	0.1364	0.679	0	0	0	1	*
acetate	2017-10-05_016.lcd	HPLC_HF5.PlateA	HF5.PlateA-A06	Unknown	-----	15.673	6418	326	-----	-----	-----	-----	2.7524	-----	-----	-----	-----	NA	 V 	15.5	16.175	8074.709	18.577	53831.394	--	--	--	2.282	1.017	0.1859	0.1415	0.698	0	0	0	1	*
acetate	2017-10-05_017.lcd	HPLC_HF5.PlateA	HF5.PlateA-A07	Unknown	-----	15.693	24133	1164	-----	-----	-----	-----	10.35007	-----	-----	-----	-----	Quant.Range(High)	NA	15.017	16.258	13829.12	10.847	92194.131	0.952	0.985	2.054	1.368	1.129	0.8218	0.5126	0.534	0.753	0.625	0.308	1	*
acetate	2017-10-05_018.lcd	HPLC_HF5.PlateA	HF5.PlateA-A08	Unknown	-----	15.689	28174	1296	-----	-----	-----	-----	12.083	-----	-----	-----	-----	Quant.Range(High)	 V 	14.933	16.242	13224.382	11.343	88162.546	0.963	0.992	1.595	1.813	1.12	0.8985	0.5741	0.546	0.814	0.656	0.315	1	*
acetate	2017-10-05_019.lcd	HPLC_HF5.PlateA	HF5.PlateA-A09	Unknown	-----	15.684	12812	598	-----	-----	-----	-----	5.49464	-----	-----	-----	-----	Quant.Range(High)	NA	14.933	16.258	13465.385	11.14	89769.235	0.889	0.936	4.581	1.371	1.304	0.4703	0.2779	0.541	0.818	0.662	0.311	1	*
acetate	2017-10-05_020.lcd	HPLC_HF5.PlateA	HF5.PlateA-A10	Unknown	-----	15.688	41758	1974	-----	-----	-----	-----	17.90874	-----	-----	-----	-----	Quant.Range(High)	NA	14.967	16.242	13451.455	11.151	89676.369	0.972	0.999	4.201	1.371	1.299	1.3655	0.89	0.541	0.773	0.637	0.312	1	*
acetate	2017-10-05_021.lcd	HPLC_HF5.PlateA	HF5.PlateA-A11	Unknown	-----	15.68	35747	1512	-----	-----	-----	-----	15.33089	-----	-----	-----	-----	Quant.Range(High)	NA	14.892	16.275	12019.85	12.479	80132.333	0.842	0.842	3.856	2.264	1.239	1.0493	0.6379	0.572	0.9	0.773	0.33	1	*
acetate	2017-10-05_022.lcd	HPLC_HF5.PlateA	HF5.PlateA-A12	Unknown	-----	15.672	30996	1417	-----	-----	-----	-----	13.29301	-----	-----	-----	-----	Quant.Range(High)	NA	14.942	16.292	13412.147	11.184	89414.316	0.866	0.883	3.926	1.773	1.264	1.2736	0.6932	0.541	0.854	0.712	0.312	1	*
