SampleID	Well	sampleID	seqID	sampletype	DNA_Plate	concentration_mM	dilution	dilution_material	injection	compound	DataFilename	Ret.Time	Area	Height	PeakStart	PeakEnd	RelativeRetentionTime	r2	slope	intercept	calc_conc	calc_conc_adj.df
HF5.PlateA-A01	A01	d1_198_1	d1_198_1	unknown	HF5.PlateA	NA	0.1	PBS	0.02	propionate	2017-10-05_011.lcd	18.574	402	36	18.442	18.808	1.184	0.99751216601936	8.56168147328109e-05	0.491994733517975	0.526412693040565	5.26412693040565
HF5.PlateA-A01	A01	d1_198_1	d1_198_1	unknown	HF5.PlateA	NA	0.1	PBS	0.02	acetate	2017-10-05_011.lcd	15.689	12003	580	15.075	16.183	1	0.999521989682615	0.000128596369800457	0.211250029531177	1.75479225624606	17.5479225624606
HF5.PlateA-A01	A01	d1_198_1	d1_198_1	unknown	HF5.PlateA	NA	0.1	PBS	0.02	butyrate	2017-10-05_011.lcd	-----	NA	-----	-----	-----	NA	0.998476227008827	6.33885427617889e-05	0.424286550072084	0	0
HF5.PlateA-A01	A01	d1_198_1	d1_198_1	unknown	HF5.PlateA	NA	0.1	PBS	0.02	succinate	2017-10-05_011.lcd	12.346	1960	126	12.075	12.508	0.787	0.999920729368713	3.83589789362778e-05	0.00500256485528477	0.0801861635703893	0.801861635703893
HF5.PlateA-A01	A01	d1_198_1	d1_198_1	unknown	HF5.PlateA	NA	0.1	PBS	0.02	lactate	2017-10-05_011.lcd	12.959	80951	4299	12.508	13.833	0.826	0.999905521078027	5.64120223569515e-05	0.024838356996649	4.59144797881423	45.9144797881423
HF5.PlateA-A02	A02	d1_198_2	d1_198_2	unknown	HF5.PlateA	NA	0.1	PBS	0.02	acetate	2017-10-05_012.lcd	15.68	13694	569	14.908	16.167	1	0.999521989682615	0.000128596369800457	0.211250029531177	1.97224871757863	19.7224871757863
HF5.PlateA-A02	A02	d1_198_2	d1_198_2	unknown	HF5.PlateA	NA	0.1	PBS	0.02	lactate	2017-10-05_012.lcd	12.955	61229	3387	12.517	13.475	0.826	0.999905521078027	5.64120223569515e-05	0.024838356996649	3.47889007389043	34.7889007389043
HF5.PlateA-A02	A02	d1_198_2	d1_198_2	unknown	HF5.PlateA	NA	0.1	PBS	0.02	butyrate	2017-10-05_012.lcd	-----	NA	-----	-----	-----	NA	0.998476227008827	6.33885427617889e-05	0.424286550072084	0	0
HF5.PlateA-A02	A02	d1_198_2	d1_198_2	unknown	HF5.PlateA	NA	0.1	PBS	0.02	succinate	2017-10-05_012.lcd	12.319	1118	89	12.083	12.508	0.786	0.999920729368713	3.83589789362778e-05	0.00500256485528477	0.0478879033060434	0.478879033060434
HF5.PlateA-A02	A02	d1_198_2	d1_198_2	unknown	HF5.PlateA	NA	0.1	PBS	0.02	propionate	2017-10-05_012.lcd	18.572	291	26	18.383	18.808	1.184	0.99751216601936	8.56168147328109e-05	0.491994733517975	0.516909226605223	5.16909226605223
