Well	sampleID	seqID	sampletype	DNA_Plate	concentration_mM	dilution	dilution_material	injection
H08	cd42_1676_1	cd42_1676_1	unknown	HF5.PlateA	NA	0.1	PBS	0.02
H07	cd42_1676_2	cd42_1676_2	unknown	HF5.PlateA	NA	0.1	PBS	0.02
G11	cd42_1677_1	cd42_1677_1	unknown	HF5.PlateA	NA	0.1	PBS	0.02
G02	cd42_1677_2	cd42_1677_2	unknown	HF5.PlateA	NA	0.1	PBS	0.02
F11	cd42_1681_2	cd42_1681_2	unknown	HF5.PlateA	NA	0.1	PBS	0.02
H02	cd42_1681_3	cd42_1681_3	unknown	HF5.PlateA	NA	0.1	PBS	0.02
G12	cd42_198_1	cd42_198_1	unknown	HF5.PlateA	NA	0.1	PBS	0.02
H06	cd42_198_2	cd42_198_2	unknown	HF5.PlateA	NA	0.1	PBS	0.02
H09	cd42_199_2	cd42_199_2	unknown	HF5.PlateA	NA	0.1	PBS	0.02
H10	cd42_199_3	cd42_199_3	unknown	HF5.PlateA	NA	0.1	PBS	0.02
H04	cd42_201_1	cd42_201_1	unknown	HF5.PlateA	NA	0.1	PBS	0.02
H03	cd42_201_2	cd42_201_2	unknown	HF5.PlateA	NA	0.1	PBS	0.02
H05	cd42_201_3	cd42_201_3	unknown	HF5.PlateA	NA	0.1	PBS	0.02
G08	d0_1676_1	d0_1676_1	unknown	HF5.PlateA	NA	0.1	PBS	0.02
G09	d0_1677_1	d0_1677_1	unknown	HF5.PlateA	NA	0.1	PBS	0.02
G10	d0_1681_1	d0_1681_1	unknown	HF5.PlateA	NA	0.1	PBS	0.02
G07	d0_198_1	d0_198_1	unknown	HF5.PlateA	NA	0.1	PBS	0.02
G06	d0_198_2	d0_198_2	unknown	HF5.PlateA	NA	0.1	PBS	0.02
G05	d0_199_1	d0_199_1	unknown	HF5.PlateA	NA	0.1	PBS	0.02
A05	d1_1676_1	d1_1676_1	unknown	HF5.PlateA	NA	0.1	PBS	0.02
A04	d1_1677_1	d1_1677_1	unknown	HF5.PlateA	NA	0.1	PBS	0.02
A06	d1_1681_1	d1_1681_1	unknown	HF5.PlateA	NA	0.1	PBS	0.02
A01	d1_198_1	d1_198_1	unknown	HF5.PlateA	NA	0.1	PBS	0.02
A02	d1_198_2	d1_198_2	unknown	HF5.PlateA	NA	0.1	PBS	0.02
A03	d1_199_1	d1_199_1	unknown	HF5.PlateA	NA	0.1	PBS	0.02
B07	d11_1676_1	d11_1676_1	unknown	HF5.PlateA	NA	0.1	PBS	0.02
B08	d11_1677_1	d11_1677_1	unknown	HF5.PlateA	NA	0.1	PBS	0.02
B10	d11_1681_1	d11_1681_1	unknown	HF5.PlateA	NA	0.1	PBS	0.02
B02	d11_198_1	d11_198_1	unknown	HF5.PlateA	NA	0.1	PBS	0.02
B01	d11_198_2	d11_198_2	unknown	HF5.PlateA	NA	0.1	PBS	0.02
B06	d11_199_1	d11_199_1	unknown	HF5.PlateA	NA	0.1	PBS	0.02
C02	d13_1676_1	d13_1676_1	unknown	HF5.PlateA	NA	0.1	PBS	0.02
C03	d13_1676_2	d13_1676_2	unknown	HF5.PlateA	NA	0.1	PBS	0.02
C04	d13_1677_1	d13_1677_1	unknown	HF5.PlateA	NA	0.1	PBS	0.02
C05	d13_1677_2	d13_1677_2	unknown	HF5.PlateA	NA	0.1	PBS	0.02
C07	d13_1681_1	d13_1681_1	unknown	HF5.PlateA	NA	0.1	PBS	0.02
C06	d13_1681_2	d13_1681_2	unknown	HF5.PlateA	NA	0.1	PBS	0.02
B03	d13_198_1	d13_198_1	unknown	HF5.PlateA	NA	0.1	PBS	0.02
F10	d13_198_2	d13_198_2	unknown	HF5.PlateA	NA	0.1	PBS	0.02
B05	d13_199_1	d13_199_1	unknown	HF5.PlateA	NA	0.1	PBS	0.02
