plateID	compound	DataFilename	SampleName	SampleID	SampleType	Level	Ret.Time	Area	Height	ISTDArea	ISTDHeight	AreaRatio	HeightRatio	Conc.	Std.Conc.	Deviation	%Dev	Accuracy	QCCheckResults	Mark	PeakStart	PeakEnd	T.Plate#	HETP	meter	TailingF.	TailingF(10%)	Resolution	k'	SeparationF.	Area%	Height%	USPWidth	Width(5%)	Width(10%)	Width(50%)	RelativeRetentionTime	Statistic
p1	acetate	2018-06-22_000.lcd	No injection	BLANK	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
p1	acetate	2018-06-22_001.lcd	40 mM Mix	STD-0111	Unknown	NA	15.668	333325	12109	NA	NA	NA	NA	112.61232	NA	NA	NA	NA	Quant.Range(High)	 V 	14.917	17.125	10548.686	14.22	70324.576	--	--	2.225	1.553	1.16	1.6619	1.632	0.61	0	0.886	0.351	1	*
p1	acetate	2018-06-22_002.lcd	20 mM Mix	STD-0112	Unknown	NA	15.678	156151	5948	NA	NA	NA	NA	52.75469	NA	NA	NA	NA	Quant.Range(High)	 V 	14.925	17.133	10635.559	14.104	70903.728	0.920	0.989	2.240	1.582	1.159	1.5558	1.5921	0.608	1.182	0.838	0.35	1	*
p1	acetate	2018-06-22_003.lcd	10 mM Mix	STD-0113	Unknown	NA	15.678	78643	3001	NA	NA	NA	NA	26.56914	NA	NA	NA	NA	Quant.Range(High)	 V 	14.933	17.125	10626.536	14.116	70843.574	0.918	0.987	2.238	1.237	1.18	1.56	1.5965	0.608	1.179	0.837	0.35	1	*
p1	acetate	2018-06-22_004.lcd	5 mM Mix	STD-0114	Unknown	NA	15.673	39860	1528	NA	NA	NA	NA	13.46641	NA	NA	NA	NA	NA	 V 	14.908	17.083	10827.649	13.853	72184.326	0.920	0.986	2.259	1.238	1.18	1.5586	1.5839	0.603	1.171	0.831	0.347	1	*
p1	acetate	2018-06-22_005.lcd	2.5 mM Mix	STD-0115	Unknown	NA	15.678	19101	740	NA	NA	NA	NA	6.45314	NA	NA	NA	NA	NA	 V 	14.908	16.8	10717.952	13.995	71453.011	0.928	0.994	2.249	1.238	1.18	1.5273	1.5743	0.606	1.126	0.821	0.349	1	*
p1	acetate	2018-06-22_006.lcd	1 mM Mix	STD-0116	Unknown	NA	15.679	6443	275	NA	NA	NA	NA	2.17689	NA	NA	NA	NA	NA	NA	15.033	16.442	11351.032	13.215	75673.548	1.015	1.064	2.340	1.238	1.18	1.3591	1.5549	0.589	0.9	0.721	0.339	1	*
p1	acetate	2018-06-22_007.lcd	0.5 mM Mix	STD-0117	Unknown	NA	15.671	3453	155	NA	NA	NA	NA	1.16655	NA	NA	NA	NA	NA	NA	15.192	16.308	11832.607	12.677	78884.047	1.109	1.110	2.439	1.237	1.179	1.2621	1.4585	0.576	0.797	0.669	0.334	1	*
p1	acetate	2018-06-22_008.lcd	0.25 mM Mix	STD-0118	Unknown	NA	15.676	1567	74	NA	NA	NA	NA	0.52948	NA	NA	NA	NA	NA	NA	15.283	16.158	12536.375	11.965	83575.831	1.121	1.118	2.450	1.237	1.179	0.9541	1.2354	0.56	0.71	0.619	0.329	1	*
p1	acetate	2018-06-22_009.lcd	0.1 mM Mix	STD-0119	Unknown	NA	15.657	517	27	NA	NA	NA	NA	0.17464	NA	NA	NA	NA	Quant.Range(Low)	 V 	15.442	16.033	13212.746	11.353	88084.977	--	--	2.588	1.23	1.174	0.7344	1.1238	0.545	0	0	0.319	1	*
p1	acetate	2018-06-22_010.lcd	Water	BLANK	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
p1	acetate	2018-06-22_011.lcd	GF2.PlateA	P1-A01	Unknown	NA	15.341	2623	94	NA	NA	NA	NA	0.88611	NA	NA	NA	NA	NA	NA	14.958	16.15	8016.343	18.712	53442.286	1.567	1.554	--	1.354	1.157	0	0	0.685	1.003	0.902	0.404	1	*
p1	acetate	2018-06-22_012.lcd	GF2.PlateA	P1-A02	Unknown	NA	15.676	87564	3287	NA	NA	NA	NA	29.58299	NA	NA	NA	NA	Quant.Range(High)	TV 	14.725	17.35	10412.423	14.406	69416.154	1.016	1.022	--	1.626	1.11	3.0711	1.7266	0.614	1.098	0.823	0.354	1	*
