compound	SampleID	PlCID	plateID	SampleName	SampleType	Ret.Time	Area	PeakStart	PeakEnd	STDID	minRT	maxRT	PeakQual	sampleID	DNA_Plate	concentration_mM	dilution	r2	slope	intercept	calc_conc	calc_conc_adj
acetate	P1-H01	p1_acetate	p1	GF2.PlateA	Unknown	15.665	10492	14.9	16.542	NA	15.657	15.689	OK	d1_3844	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	1.53054510210668	15.3054510210668
acetate	P2-H05	p2_acetate	p2	GF2.PlateA	Unknown	15.639	23392	14.75	17.108	NA	15.625	15.702	OK	d24_5978	GF2.PlateB	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	3.07331050791333	30.7331050791333
acetate	P1-D01	p1_acetate	p1	GF2.PlateA	Unknown	15.356	2534	14.967	16.242	NA	15.657	15.689	Reject	d0_3830	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	NA	NA
acetate	P3-H05	p3_acetate	p3	GF2.PlateA	Unknown	15.62	26915	14.842	18.058	NA	15.602	15.661	OK	d24_3836	GF2.PlateC	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	3.4946409361813	34.946409361813
acetate	P4-E10	p4_acetate	p4	GF2.PlateA	Unknown	15.542	7052	14.85	16.833	NA	15.563	15.639	OK	d36_2904	GF2.PlateC	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	1.11914099389157	11.1914099389157
acetate	P1-E12	p1_acetate	p1	GF2.PlateA	Unknown	15.68	15562	14.992	16.342	NA	15.657	15.689	OK	d41_5957	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	2.13688778485394	21.3688778485394
acetate	P2-C01	p2_acetate	p2	GF2.PlateA	Unknown	15.383	2647	14.95	16.233	NA	15.625	15.702	Reject	d0_2988	GF2.PlateB	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	NA	NA
acetate	P3-D03	p3_acetate	p3	GF2.PlateA	Unknown	15.622	30480	14.783	17.442	NA	15.602	15.661	OK	d1_1800_2	GF2.plateD	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	3.92099432158446	39.2099432158446
acetate	P4-D06	p4_acetate	p4	GF2.PlateA	Unknown	15.57	17133	14.758	17.167	NA	15.563	15.639	OK	d11_1800_2	GF2.notExtracted	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	2.32477030055334	23.2477030055334
acetate	P4-H08	p4_acetate	p4	GF2.PlateA	Unknown	15.599	6074	14.883	16.692	NA	15.563	15.639	OK	d36_2949	GF2.PlateC	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	1.00217784917228	10.0217784917228
acetate	P4-B06	p4_acetate	p4	GF2.PlateA	Unknown	15.574	11545	14.85	16.25	NA	15.563	15.639	OK	d18_1806_4	GF2.plateD	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	1.6564778131388	16.564778131388
acetate	P3-C03	p3_acetate	p3	GF2.PlateA	Unknown	15.628	50818	14.792	17.242	NA	15.602	15.661	OK	d18_3844	GF2.plateD	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	6.35330151718877	63.5330151718877
acetate	P1-A02	p1_acetate	p1	GF2.PlateA	Unknown	15.676	87564	14.725	17.35	NA	15.657	15.689	OK	GF2_hMb1A_input	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	10.7479106336051	107.479106336051
acetate	P1-F01	p1_acetate	p1	GF2.PlateA	Unknown	15.671	8101	14.933	16.392	NA	15.657	15.689	OK	d1_3827	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	1.24459532805368	12.4459532805368
acetate	P2-D07	p2_acetate	p2	GF2.PlateA	Unknown	15.663	8775	14.908	16.8	NA	15.625	15.702	OK	d25_2904	GF2.PlateB	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	1.32520183065164	13.2520183065164
acetate	P2-A02	p2_acetate	p2	GF2.PlateA	Unknown	15.685	25056	14.883	16.475	NA	15.625	15.702	OK	GF2_hMb2A_input	GF2.PlateB	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	3.27231528584064	32.7231528584064
