WellID	sampleID	DNA_Plate	concentration_mM	dilution
P1-A01	d0_5957	GF2.PlateA	NA	0.1
P1-A02	GF2_hMb1A_input	GF2.PlateA	NA	0.1
P1-A03	d4_4914	GF2.PlateA	NA	0.1
P1-A04	d38_5969	GF2.PlateA	NA	0.1
P1-A05	d21_3739	GF2.PlateA	NA	0.1
P1-A06	d22_2988	GF2.PlateA	NA	0.1
P1-A07	d24_4837	GF2.PlateA	NA	0.1
P1-A08	d25_3827	GF2.PlateA	NA	0.1
P1-A09	d26_3827	GF2.PlateA	NA	0.1
P1-A10	d34_3827	GF2.PlateA	NA	0.1
P1-A11	d36_4914	GF2.PlateA	NA	0.1
P1-A12	d38_4914	GF2.PlateA	NA	0.1
P1-B01	d0_5925	GF2.PlateA	NA	0.1
P1-B02	GF2_hMb1B_input	GF2.PlateA	NA	0.1
P1-B03	d4_4837	GF2.PlateA	NA	0.1
P1-B04	d41_2966	GF2.PlateA	NA	0.1
P1-B05	d22_3765	GF2.PlateA	NA	0.1
P1-B06	d21_2935	GF2.PlateA	NA	0.1
P1-B07	d24_4914	GF2.PlateA	NA	0.1
P1-B08	d25_3830	GF2.PlateA	NA	0.1
P1-B09	d26_3830	GF2.PlateA	NA	0.1
P1-B10	d34_3830	GF2.PlateA	NA	0.1
P1-B11	d36_4837	GF2.PlateA	NA	0.1
P1-B12	d38_4837	GF2.PlateA	NA	0.1
P1-C01	d0_2935	GF2.PlateA	NA	0.1
P1-C02	d1_2904	GF2.PlateA	NA	0.1
P1-C03	d4_5964	GF2.PlateA	NA	0.1
P1-C04	d22_5925	GF2.PlateA	NA	0.1
P1-C05	cecal_d46_2966	GF2.PlateA	NA	0.1
P1-C06	d24_5925	GF2.PlateA	NA	0.1
P1-C07	d25_5957	GF2.PlateA	NA	0.1
P1-C08	d26_5969	GF2.PlateA	NA	0.1
P1-C09	d29_5957	GF2.PlateA	NA	0.1
P1-C10	d34_2956	GF2.PlateA	NA	0.1
P1-C11	d36_5978	GF2.PlateA	NA	0.1
P1-C12	d38_5964	GF2.PlateA	NA	0.1
P1-D01	d0_3830	GF2.PlateA	NA	0.1
P1-D02	d1_2933	GF2.PlateA	NA	0.1
P1-D03	d4_5978	GF2.PlateA	NA	0.1
P1-D04	cecal_d46_3765	GF2.PlateA	NA	0.1
P1-D05	d22_5942	GF2.PlateA	NA	0.1
P1-D06	d24_5942	GF2.PlateA	NA	0.1
P1-D07	d25_5969	GF2.PlateA	NA	0.1
P1-D08	d26_5957	GF2.PlateA	NA	0.1
P1-D09	d29_5969	GF2.PlateA	NA	0.1
P1-D10	d34_2966	GF2.PlateA	NA	0.1
P1-D11	d36_5964	GF2.PlateA	NA	0.1
P1-D12	d38_5978	GF2.PlateA	NA	0.1
