rc	wellkey	PlCID	plateID	compound	SampleName	SampleID	Ret.Time	Area	PeakStart	PeakEnd	DataFileOrigin	SampleType	Exp	minRT	maxRT	PeakQual	sampleID	DNA_Plate	concentration_mM	dilution	intercept	slope	Rsq	calc_conc	calc_conc_adj
HF10.PlateA_acetate	HF10-PlateA-A10	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-A10	15.697	15146	14.867	17.233	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	dn7_1903_1	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	2.354998468	23.54998468
HF10.PlateA_acetate	HF10-PlateA-A02	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-A02	15.694	3921	15.4	16.092	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d4_1901_2	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	0.503895704	5.038957035
HF10.PlateA_acetate	HF10-PlateA-E03	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-E03	15.687	24278	14.858	16.958	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d21_427	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	3.860946838	38.60946838
HF10.PlateA_acetate	HF10-PlateA-C03	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-C03	15.674	6142	15.208	16.267	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d0_1904_1	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	0.870158442	8.701584421
HF10.PlateA_acetate	HF10-PlateA-E04	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-E04	15.679	18813	14.983	16.758	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d21_449	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	2.959719523	29.59719523
HF10.PlateA_acetate	HF10-PlateA-A11	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-A11	15.699	23732	14.825	17.225	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	dn7_1903_2	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	3.770906561	37.70906561
HF10.PlateA_acetate	HF10-PlateA-A03	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-A03	15.682	2429	15.308	16.025	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d1_1902_1	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	0.257851577	2.578515765
HF10.PlateA_acetate	HF10-PlateA-E05	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-E05	15.689	19380	15.108	16.75	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d21_5517	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	3.053222888	30.53222888
HF10.PlateA_acetate	HF10-PlateA-G05	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-G05	15.652	25209	15.075	16.75	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d25_5215	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	4.014477054	40.14477054
HF10.PlateA_acetate	HF10-PlateA-A05	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-A05	15.674	3050	15.275	16.042	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d1_1903_2	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	0.360260023	3.602600235
HF10.PlateA_acetate	HF10-PlateA-E06	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-E06	15.648	1720	15.35	16.017	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d4_1902_1	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	0.140931144	1.409311436
