Well	WellID	sampleID	sampletype	DNA_Plate	concentration_mM	dilution	dilution_material	injection	Column	DataFileOrigin
A01	P1-A01	d4_1901_1	unknown	HF10.PlateA	NA	0.1	PBS	0.02	1	HPLC_HF10_plateA_samplekey.txt
A02	P1-A02	d4_1901_2	unknown	HF10.PlateA	NA	0.1	PBS	0.02	2	HPLC_HF10_plateA_samplekey.txt
A03	P1-A03	d1_1902_1	unknown	HF10.PlateA	NA	0.1	PBS	0.02	3	HPLC_HF10_plateA_samplekey.txt
A04	P1-A04	d1_1903_1	unknown	HF10.PlateA	NA	0.1	PBS	0.02	4	HPLC_HF10_plateA_samplekey.txt
A05	P1-A05	d1_1903_2	unknown	HF10.PlateA	NA	0.1	PBS	0.02	5	HPLC_HF10_plateA_samplekey.txt
A06	P1-A06	d0_1902_1	unknown	HF10.PlateA	NA	0.1	PBS	0.02	6	HPLC_HF10_plateA_samplekey.txt
A07	P1-A07	d0_1903_1	unknown	HF10.PlateA	NA	0.1	PBS	0.02	7	HPLC_HF10_plateA_samplekey.txt
A08	P1-A08	dn0_1903_2	unknown	HF10.PlateA	NA	0.1	PBS	0.02	8	HPLC_HF10_plateA_samplekey.txt
A09	P1-A09	dn7_1902_1	unknown	HF10.PlateA	NA	0.1	PBS	0.02	9	HPLC_HF10_plateA_samplekey.txt
A10	P1-A10	dn7_1903_1	unknown	HF10.PlateA	NA	0.1	PBS	0.02	10	HPLC_HF10_plateA_samplekey.txt
A11	P1-A11	dn7_1903_2	unknown	HF10.PlateA	NA	0.1	PBS	0.02	11	HPLC_HF10_plateA_samplekey.txt
A12	P1-A12	dn7_1904_1	unknown	HF10.PlateA	NA	0.1	PBS	0.02	12	HPLC_HF10_plateA_samplekey.txt
B01	P1-B01	d18_5505	unknown	HF10.PlateA	NA	0.1	PBS	0.02	1	HPLC_HF10_plateA_samplekey.txt
B02	P1-B02	d18_5218	unknown	HF10.PlateA	NA	0.1	PBS	0.02	2	HPLC_HF10_plateA_samplekey.txt
B03	P1-B03	d18_5215	unknown	HF10.PlateA	NA	0.1	PBS	0.02	3	HPLC_HF10_plateA_samplekey.txt
B04	P1-B04	d18_5219	unknown	HF10.PlateA	NA	0.1	PBS	0.02	4	HPLC_HF10_plateA_samplekey.txt
B05	P1-B05	d18_427	unknown	HF10.PlateA	NA	0.1	PBS	0.02	5	HPLC_HF10_plateA_samplekey.txt
B06	P1-B06	d18_449	unknown	HF10.PlateA	NA	0.1	PBS	0.02	6	HPLC_HF10_plateA_samplekey.txt
B07	P1-B07	d18_5517	unknown	HF10.PlateA	NA	0.1	PBS	0.02	7	HPLC_HF10_plateA_samplekey.txt
B08	P1-B08	d21_5218	unknown	HF10.PlateA	NA	0.1	PBS	0.02	8	HPLC_HF10_plateA_samplekey.txt
B09	P1-B09	d21_5505	unknown	HF10.PlateA	NA	0.1	PBS	0.02	9	HPLC_HF10_plateA_samplekey.txt
B10	P1-B10	d4_1906_1	unknown	HF10.PlateA	NA	0.1	PBS	0.02	10	HPLC_HF10_plateA_samplekey.txt
B11	P1-B11	d4_1906_2	unknown	HF10.PlateA	NA	0.1	PBS	0.02	11	HPLC_HF10_plateA_samplekey.txt
B12	P1-B12	d4_1906_3	unknown	HF10.PlateA	NA	0.1	PBS	0.02	12	HPLC_HF10_plateA_samplekey.txt
C01	P1-C01	d1_1905_2	unknown	HF10.PlateA	NA	0.1	PBS	0.02	1	HPLC_HF10_plateA_samplekey.txt
C02	P1-C02	d1_1905_3	unknown	HF10.PlateA	NA	0.1	PBS	0.02	2	HPLC_HF10_plateA_samplekey.txt
C03	P1-C03	d0_1904_1	unknown	HF10.PlateA	NA	0.1	PBS	0.02	3	HPLC_HF10_plateA_samplekey.txt
C04	P1-C04	d0_1904_2	unknown	HF10.PlateA	NA	0.1	PBS	0.02	4	HPLC_HF10_plateA_samplekey.txt
C05	P1-C05	d0_1904_3	unknown	HF10.PlateA	NA	0.1	PBS	0.02	5	HPLC_HF10_plateA_samplekey.txt
C06	P1-C06	d18_429	unknown	HF10.PlateA	NA	0.1	PBS	0.02	6	HPLC_HF10_plateA_samplekey.txt
C07	P1-C07	d18_448	unknown	HF10.PlateA	NA	0.1	PBS	0.02	7	HPLC_HF10_plateA_samplekey.txt
C08	P1-C08	d18_5220	unknown	HF10.PlateA	NA	0.1	PBS	0.02	8	HPLC_HF10_plateA_samplekey.txt
C09	P1-C09	d18_5204	unknown	HF10.PlateA	NA	0.1	PBS	0.02	9	HPLC_HF10_plateA_samplekey.txt
C10	P1-C10	d22_5505	unknown	HF10.PlateA	NA	0.1	PBS	0.02	10	HPLC_HF10_plateA_samplekey.txt
C11	P1-C11	d22_5218	unknown	HF10.PlateA	NA	0.1	PBS	0.02	11	HPLC_HF10_plateA_samplekey.txt
C12	P1-C12	d22_429	unknown	HF10.PlateA	NA	0.1	PBS	0.02	12	HPLC_HF10_plateA_samplekey.txt
D01	P1-D01	dn7_1904_2	unknown	HF10.PlateA	NA	0.1	PBS	0.02	1	HPLC_HF10_plateA_samplekey.txt
D02	P1-D02	dn7_1904_3	unknown	HF10.PlateA	NA	0.1	PBS	0.02	2	HPLC_HF10_plateA_samplekey.txt
D03	P1-D03	d18_5510	unknown	HF10.PlateA	NA	0.1	PBS	0.02	3	HPLC_HF10_plateA_samplekey.txt
D04	P1-D04	d18_5522	unknown	HF10.PlateA	NA	0.1	PBS	0.02	4	HPLC_HF10_plateA_samplekey.txt
D05	P1-D05	d18_5513	unknown	HF10.PlateA	NA	0.1	PBS	0.02	5	HPLC_HF10_plateA_samplekey.txt
D06	P1-D06	d18_5520	unknown	HF10.PlateA	NA	0.1	PBS	0.02	6	HPLC_HF10_plateA_samplekey.txt
D07	P1-D07	dn7_1906_1	unknown	HF10.PlateA	NA	0.1	PBS	0.02	7	HPLC_HF10_plateA_samplekey.txt
D08	P1-D08	dn7_1906_2	unknown	HF10.PlateA	NA	0.1	PBS	0.02	8	HPLC_HF10_plateA_samplekey.txt
D09	P1-D09	dn7_1906_3	unknown	HF10.PlateA	NA	0.1	PBS	0.02	9	HPLC_HF10_plateA_samplekey.txt
D10	P1-D10	d0_1907_1	unknown	HF10.PlateA	NA	0.1	PBS	0.02	10	HPLC_HF10_plateA_samplekey.txt
D11	P1-D11	d0_1907_2	unknown	HF10.PlateA	NA	0.1	PBS	0.02	11	HPLC_HF10_plateA_samplekey.txt
D12	P1-D12	d0_1907_3	unknown	HF10.PlateA	NA	0.1	PBS	0.02	12	HPLC_HF10_plateA_samplekey.txt
E01	P1-E01	d21_5215	unknown	HF10.PlateA	NA	0.1	PBS	0.02	1	HPLC_HF10_plateA_samplekey.txt
E02	P1-E02	d21_5219	unknown	HF10.PlateA	NA	0.1	PBS	0.02	2	HPLC_HF10_plateA_samplekey.txt
E03	P1-E03	d21_427	unknown	HF10.PlateA	NA	0.1	PBS	0.02	3	HPLC_HF10_plateA_samplekey.txt
E04	P1-E04	d21_449	unknown	HF10.PlateA	NA	0.1	PBS	0.02	4	HPLC_HF10_plateA_samplekey.txt
E05	P1-E05	d21_5517	unknown	HF10.PlateA	NA	0.1	PBS	0.02	5	HPLC_HF10_plateA_samplekey.txt
E06	P1-E06	d4_1902_1	unknown	HF10.PlateA	NA	0.1	PBS	0.02	6	HPLC_HF10_plateA_samplekey.txt
E07	P1-E07	d4_1903_1	unknown	HF10.PlateA	NA	0.1	PBS	0.02	7	HPLC_HF10_plateA_samplekey.txt
E08	P1-E08	d4_1903_2	unknown	HF10.PlateA	NA	0.1	PBS	0.02	8	HPLC_HF10_plateA_samplekey.txt
E09	P1-E09	d1_1901_1	unknown	HF10.PlateA	NA	0.1	PBS	0.02	9	HPLC_HF10_plateA_samplekey.txt
E10	P1-E10	d1_1901_3	unknown	HF10.PlateA	NA	0.1	PBS	0.02	10	HPLC_HF10_plateA_samplekey.txt
E11	P1-E11	d1_1901_2	unknown	HF10.PlateA	NA	0.1	PBS	0.02	11	HPLC_HF10_plateA_samplekey.txt
E12	P1-E12	d1_1901_4	unknown	HF10.PlateA	NA	0.1	PBS	0.02	12	HPLC_HF10_plateA_samplekey.txt
F01	P1-F01	d0_1906_3	unknown	HF10.PlateA	NA	0.036	PBS	0.02	1	HPLC_HF10_plateA_samplekey.txt
F02	P1-F02	dn7_1905_1	unknown	HF10.PlateA	NA	0.1	PBS	0.02	2	HPLC_HF10_plateA_samplekey.txt
F03	P1-F03	dn7_1905_2	unknown	HF10.PlateA	NA	0.1	PBS	0.02	3	HPLC_HF10_plateA_samplekey.txt
F04	P1-F04	d21_5220	unknown	HF10.PlateA	NA	0.1	PBS	0.02	4	HPLC_HF10_plateA_samplekey.txt
F05	P1-F05	d21_448	unknown	HF10.PlateA	NA	0.1	PBS	0.02	5	HPLC_HF10_plateA_samplekey.txt
F06	P1-F06	d21_429	unknown	HF10.PlateA	NA	0.1	PBS	0.02	6	HPLC_HF10_plateA_samplekey.txt
F07	P1-F07	d21_5204	unknown	HF10.PlateA	NA	0.1	PBS	0.02	7	HPLC_HF10_plateA_samplekey.txt
F08	P1-F08	d21_5510	unknown	HF10.PlateA	NA	0.1	PBS	0.02	8	HPLC_HF10_plateA_samplekey.txt
F09	P1-F09	d21_5522	unknown	HF10.PlateA	NA	0.1	PBS	0.02	9	HPLC_HF10_plateA_samplekey.txt
F10	P1-F10	d21_5512	unknown	HF10.PlateA	NA	0.1	PBS	0.02	10	HPLC_HF10_plateA_samplekey.txt
F11	P1-F11	d21_5520	unknown	HF10.PlateA	NA	0.1	PBS	0.02	11	HPLC_HF10_plateA_samplekey.txt
F12	P1-F12	d0_1906_2	unknown	HF10.PlateA	NA	0.124	PBS	0.02	12	HPLC_HF10_plateA_samplekey.txt
G01	P1-G01	d22_5220	unknown	HF10.PlateA	NA	0.1	PBS	0.02	1	HPLC_HF10_plateA_samplekey.txt
G02	P1-G02	d23_5505	unknown	HF10.PlateA	NA	0.1	PBS	0.02	2	HPLC_HF10_plateA_samplekey.txt
G03	P1-G03	d24_429	unknown	HF10.PlateA	NA	0.1	PBS	0.02	3	HPLC_HF10_plateA_samplekey.txt
G04	P1-G04	d24_5520	unknown	HF10.PlateA	NA	0.1	PBS	0.02	4	HPLC_HF10_plateA_samplekey.txt
G05	P1-G05	d25_5215	unknown	HF10.PlateA	NA	0.1	PBS	0.02	5	HPLC_HF10_plateA_samplekey.txt
G06	P1-G06	d25_5219	unknown	HF10.PlateA	NA	0.1	PBS	0.02	6	HPLC_HF10_plateA_samplekey.txt
G07	P1-G07	d25_427	unknown	HF10.PlateA	NA	0.1	PBS	0.02	7	HPLC_HF10_plateA_samplekey.txt
G08	P1-G08	d25_449	unknown	HF10.PlateA	NA	0.1	PBS	0.02	8	HPLC_HF10_plateA_samplekey.txt
G09	P1-G09	d4_1904_1	unknown	HF10.PlateA	NA	0.1	PBS	0.02	9	HPLC_HF10_plateA_samplekey.txt
G10	P1-G10	d4_1904_2	unknown	HF10.PlateA	NA	0.1	PBS	0.02	10	HPLC_HF10_plateA_samplekey.txt
G11	P1-G11	d1_1907_1	unknown	HF10.PlateA	NA	0.1	PBS	0.02	11	HPLC_HF10_plateA_samplekey.txt
G12	P1-G12	d0_1905_2	unknown	HF10.PlateA	NA	0.1	PBS	0.02	12	HPLC_HF10_plateA_samplekey.txt
H01	P1-H01	d1_1907_2	unknown	HF10.PlateA	NA	0.1	PBS	0.02	1	HPLC_HF10_plateA_samplekey.txt
H02	P1-H02	d1_1907_3	unknown	HF10.PlateA	NA	0.1	PBS	0.02	2	HPLC_HF10_plateA_samplekey.txt
H03	P1-H03	d0_1905_1	unknown	HF10.PlateA	NA	0.1	PBS	0.02	3	HPLC_HF10_plateA_samplekey.txt
H04	P1-H04	d0_1906_1	unknown	HF10.PlateA	NA	0.196	PBS	0.02	4	HPLC_HF10_plateA_samplekey.txt
H05	P1-H05	dn7_1905_3	unknown	HF10.PlateA	NA	0.1	PBS	0.02	5	HPLC_HF10_plateA_samplekey.txt
H06	P1-H06	dn7_1907_1	unknown	HF10.PlateA	NA	0.1	PBS	0.02	6	HPLC_HF10_plateA_samplekey.txt
H07	P1-H07	dn7_1907_2	unknown	HF10.PlateA	NA	0.1	PBS	0.02	7	HPLC_HF10_plateA_samplekey.txt
H08	P1-H08	d26_5220	unknown	HF10.PlateA	NA	0.1	PBS	0.02	8	HPLC_HF10_plateA_samplekey.txt
H09	P1-H09	d27_5505	unknown	HF10.PlateA	NA	0.1	PBS	0.02	9	HPLC_HF10_plateA_samplekey.txt
H10	P1-H10	d27_5218	unknown	HF10.PlateA	NA	0.1	PBS	0.02	10	HPLC_HF10_plateA_samplekey.txt
H11	P1-H11	GF3_PBS_plateA	unknown	HF10.PlateA	NA	0.1	PBS	0.02	11	HPLC_HF10_plateA_samplekey.txt
A01	P2-A01	dn7_1907_3	unknown	HF10.PlateB	NA	0.1	PBS	0.02	1	HPLC_HF10_plateB_samplekey.txt
A02	P2-A02	dn7_1901_1	unknown	HF10.PlateB	NA	0.1	PBS	0.02	2	HPLC_HF10_plateB_samplekey.txt
A03	P2-A03	dn7_1901_2	unknown	HF10.PlateB	NA	0.1	PBS	0.02	3	HPLC_HF10_plateB_samplekey.txt
A04	P2-A04	d1_1904_1	unknown	HF10.PlateB	NA	0.1	PBS	0.02	4	HPLC_HF10_plateB_samplekey.txt
A05	P2-A05	d1_1904_2	unknown	HF10.PlateB	NA	0.1	PBS	0.02	5	HPLC_HF10_plateB_samplekey.txt
A06	P2-A06	d1_1904_3	unknown	HF10.PlateB	NA	0.1	PBS	0.02	6	HPLC_HF10_plateB_samplekey.txt
A07	P2-A07	d0_1901_1	unknown	HF10.PlateB	NA	0.1	PBS	0.02	7	HPLC_HF10_plateB_samplekey.txt
A08	P2-A08	d0_1901_2	unknown	HF10.PlateB	NA	0.1	PBS	0.02	8	HPLC_HF10_plateB_samplekey.txt
A09	P2-A09	d0_1901_3	unknown	HF10.PlateB	NA	0.1	PBS	0.02	9	HPLC_HF10_plateB_samplekey.txt
A10	P2-A10	d0_1904_4	unknown	HF10.PlateB	NA	0.1	PBS	0.02	10	HPLC_HF10_plateB_samplekey.txt
A11	P2-A11	dn7_1901_3	unknown	HF10.PlateB	NA	0.1	PBS	0.02	11	HPLC_HF10_plateB_samplekey.txt
A12	P2-A12	dn7_1901_4	unknown	HF10.PlateB	NA	0.1	PBS	0.02	12	HPLC_HF10_plateB_samplekey.txt
B01	P2-B01	d4_1905_1	unknown	HF10.PlateB	NA	0.1	PBS	0.02	1	HPLC_HF10_plateB_samplekey.txt
B02	P2-B02	d4_1905_2	unknown	HF10.PlateB	NA	0.1	PBS	0.02	2	HPLC_HF10_plateB_samplekey.txt
B03	P2-B03	d4_1905_3	unknown	HF10.PlateB	NA	0.1	PBS	0.02	3	HPLC_HF10_plateB_samplekey.txt
B04	P2-B04	d23_5218	unknown	HF10.PlateB	NA	0.1	PBS	0.02	4	HPLC_HF10_plateB_samplekey.txt
B05	P2-B05	d23_429	unknown	HF10.PlateB	NA	0.1	PBS	0.02	5	HPLC_HF10_plateB_samplekey.txt
B06	P2-B06	d23_448	unknown	HF10.PlateB	NA	0.1	PBS	0.02	6	HPLC_HF10_plateB_samplekey.txt
B07	P2-B07	GF3_PBS_plateB	unknown	HF10.PlateB	NA	0.1	PBS	0.02	7	HPLC_HF10_plateB_samplekey.txt
B08	P2-B08	d4_1907_2	unknown	HF10.PlateB	NA	0.1	PBS	0.02	8	HPLC_HF10_plateB_samplekey.txt
B09	P2-B09	d4_1907_3	unknown	HF10.PlateB	NA	0.1	PBS	0.02	9	HPLC_HF10_plateB_samplekey.txt
B10	P2-B10	d1_1906_1	unknown	HF10.PlateB	NA	0.1	PBS	0.02	10	HPLC_HF10_plateB_samplekey.txt
B11	P2-B11	d1_1906_2	unknown	HF10.PlateB	NA	0.1	PBS	0.02	11	HPLC_HF10_plateB_samplekey.txt
B12	P2-B12	d1_1905_1	unknown	HF10.PlateB	NA	0.1	PBS	0.02	12	HPLC_HF10_plateB_samplekey.txt
C01	P2-C01	d23_5220	unknown	HF10.PlateB	NA	0.1	PBS	0.02	1	HPLC_HF10_plateB_samplekey.txt
C02	P2-C02	d24_5505	unknown	HF10.PlateB	NA	0.1	PBS	0.02	2	HPLC_HF10_plateB_samplekey.txt
C03	P2-C03	d24_5218	unknown	HF10.PlateB	NA	0.1	PBS	0.02	3	HPLC_HF10_plateB_samplekey.txt
C04	P2-C04	d25_5517	unknown	HF10.PlateB	NA	0.1	PBS	0.02	4	HPLC_HF10_plateB_samplekey.txt
C05	P2-C05	d25_5204	unknown	HF10.PlateB	NA	0.1	PBS	0.02	5	HPLC_HF10_plateB_samplekey.txt
C06	P2-C06	d25_5510	unknown	HF10.PlateB	NA	0.1	PBS	0.02	6	HPLC_HF10_plateB_samplekey.txt
C07	P2-C07	d25_5522	unknown	HF10.PlateB	NA	0.1	PBS	0.02	7	HPLC_HF10_plateB_samplekey.txt
C08	P2-C08	d25_5513	unknown	HF10.PlateB	NA	0.1	PBS	0.02	8	HPLC_HF10_plateB_samplekey.txt
C09	P2-C09	d25_5520	unknown	HF10.PlateB	NA	0.1	PBS	0.02	9	HPLC_HF10_plateB_samplekey.txt
C10	P2-C10	d25_5505	unknown	HF10.PlateB	NA	0.1	PBS	0.02	10	HPLC_HF10_plateB_samplekey.txt
C11	P2-C11	d25_5218	unknown	HF10.PlateB	NA	0.1	PBS	0.02	11	HPLC_HF10_plateB_samplekey.txt
C12	P2-C12	d25_448	unknown	HF10.PlateB	NA	0.1	PBS	0.02	12	HPLC_HF10_plateB_samplekey.txt
D01	P2-D01	d25_5220	unknown	HF10.PlateB	NA	0.1	PBS	0.02	1	HPLC_HF10_plateB_samplekey.txt
D02	P2-D02	d26_5505	unknown	HF10.PlateB	NA	0.1	PBS	0.02	2	HPLC_HF10_plateB_samplekey.txt
D03	P2-D03	d26_5218	unknown	HF10.PlateB	NA	0.1	PBS	0.02	3	HPLC_HF10_plateB_samplekey.txt
D04	P2-D04	d26_429	unknown	HF10.PlateB	NA	0.1	PBS	0.02	4	HPLC_HF10_plateB_samplekey.txt
D05	P2-D05	d27_448	unknown	HF10.PlateB	NA	0.1	PBS	0.02	5	HPLC_HF10_plateB_samplekey.txt
D06	P2-D06	d27_5220	unknown	HF10.PlateB	NA	0.1	PBS	0.02	6	HPLC_HF10_plateB_samplekey.txt
D07	P2-D07	d28_5215	unknown	HF10.PlateB	NA	0.1	PBS	0.02	7	HPLC_HF10_plateB_samplekey.txt
D08	P2-D08	d28_5219	unknown	HF10.PlateB	NA	0.1	PBS	0.02	8	HPLC_HF10_plateB_samplekey.txt
D09	P2-D09	d28_427	unknown	HF10.PlateB	NA	0.1	PBS	0.02	9	HPLC_HF10_plateB_samplekey.txt
D10	P2-D10	d28_449	unknown	HF10.PlateB	NA	0.1	PBS	0.02	10	HPLC_HF10_plateB_samplekey.txt
D11	P2-D11	d28_5517	unknown	HF10.PlateB	NA	0.1	PBS	0.02	11	HPLC_HF10_plateB_samplekey.txt
D12	P2-D12	d28_5204	unknown	HF10.PlateB	NA	0.1	PBS	0.02	12	HPLC_HF10_plateB_samplekey.txt
E01	P2-E01	d28_5510	unknown	HF10.PlateB	NA	0.1	PBS	0.02	1	HPLC_HF10_plateB_samplekey.txt
E02	P2-E02	d28_5522	unknown	HF10.PlateB	NA	0.1	PBS	0.02	2	HPLC_HF10_plateB_samplekey.txt
E03	P2-E03	d28_5513	unknown	HF10.PlateB	NA	0.1	PBS	0.02	3	HPLC_HF10_plateB_samplekey.txt
E04	P2-E04	d28_5520	unknown	HF10.PlateB	NA	0.1	PBS	0.02	4	HPLC_HF10_plateB_samplekey.txt
E05	P2-E05	cecal_d28_5520	unknown	HF10.PlateB	NA	0.1	PBS	0.02	5	HPLC_HF10_plateB_samplekey.txt
E06	P2-E06	cecal_d28_448	unknown	HF10.PlateB	NA	0.1	PBS	0.02	6	HPLC_HF10_plateB_samplekey.txt
E07	P2-E07	cecal_d28_5220	unknown	HF10.PlateB	NA	0.1	PBS	0.02	7	HPLC_HF10_plateB_samplekey.txt
E08	P2-E08	cecal_d28_429	unknown	HF10.PlateB	NA	0.1	PBS	0.02	8	HPLC_HF10_plateB_samplekey.txt
E09	P2-E09	cecal_d28_5505	unknown	HF10.PlateB	NA	0.1	PBS	0.02	9	HPLC_HF10_plateB_samplekey.txt
E10	P2-E10	d28_5505	unknown	HF10.PlateB	NA	0.1	PBS	0.02	10	HPLC_HF10_plateB_samplekey.txt
E11	P2-E11	d28_5218	unknown	HF10.PlateB	NA	0.1	PBS	0.02	11	HPLC_HF10_plateB_samplekey.txt
E12	P2-E12	d28_429	unknown	HF10.PlateB	NA	0.1	PBS	0.02	12	HPLC_HF10_plateB_samplekey.txt
F01	P2-F01	d28_448	unknown	HF10.PlateB	NA	0.1	PBS	0.02	1	HPLC_HF10_plateB_samplekey.txt
F02	P2-F02	d28_5220	unknown	HF10.PlateB	NA	0.1	PBS	0.02	2	HPLC_HF10_plateB_samplekey.txt
F03	P2-F03	GF3_AMS001_inoc1	unknown	HF10.PlateB	NA	0.1	PBS	0.02	3	HPLC_HF10_plateB_samplekey.txt
F04	P2-F04	GF3_AMS001_inoc2	unknown	HF10.PlateB	NA	0.1	PBS	0.02	4	HPLC_HF10_plateB_samplekey.txt
F05	P2-F05	GF3_AMS005_inoc1	unknown	HF10.PlateB	NA	0.1	PBS	0.02	5	HPLC_HF10_plateB_samplekey.txt
F06	P2-F06	GF3_AMS005_inoc2	unknown	HF10.PlateB	NA	0.1	PBS	0.02	6	HPLC_HF10_plateB_samplekey.txt
F07	P2-F07	d1_5505	unknown	HF10.PlateB	NA	0.1	PBS	0.02	7	HPLC_HF10_plateB_samplekey.txt
F08	P2-F08	d1_5218	unknown	HF10.PlateB	NA	0.1	PBS	0.02	8	HPLC_HF10_plateB_samplekey.txt
F09	P2-F09	d1_5219	unknown	HF10.PlateB	NA	0.1	PBS	0.02	9	HPLC_HF10_plateB_samplekey.txt
F10	P2-F10	d1_5215	unknown	HF10.PlateB	NA	0.1	PBS	0.02	10	HPLC_HF10_plateB_samplekey.txt
F11	P2-F11	d1_427	unknown	HF10.PlateB	NA	0.1	PBS	0.02	11	HPLC_HF10_plateB_samplekey.txt
F12	P2-F12	d1_5517	unknown	HF10.PlateB	NA	0.1	PBS	0.02	12	HPLC_HF10_plateB_samplekey.txt
G01	P2-G01	d1_429	unknown	HF10.PlateB	NA	0.1	PBS	0.02	1	HPLC_HF10_plateB_samplekey.txt
G02	P2-G02	d1_448	unknown	HF10.PlateB	NA	0.1	PBS	0.02	2	HPLC_HF10_plateB_samplekey.txt
G03	P2-G03	d1_5220	unknown	HF10.PlateB	NA	0.1	PBS	0.02	3	HPLC_HF10_plateB_samplekey.txt
G04	P2-G04	d1_5510	unknown	HF10.PlateB	NA	0.1	PBS	0.02	4	HPLC_HF10_plateB_samplekey.txt
G05	P2-G05	d1_5522	unknown	HF10.PlateB	NA	0.1	PBS	0.02	5	HPLC_HF10_plateB_samplekey.txt
G06	P2-G06	d1_5513	unknown	HF10.PlateB	NA	0.1	PBS	0.02	6	HPLC_HF10_plateB_samplekey.txt
G07	P2-G07	d1_5520	unknown	HF10.PlateB	NA	0.1	PBS	0.02	7	HPLC_HF10_plateB_samplekey.txt
G08	P2-G08	d0_5505	unknown	HF10.PlateB	NA	0.1	PBS	0.02	8	HPLC_HF10_plateB_samplekey.txt
G09	P2-G09	d0_5218	unknown	HF10.PlateB	NA	0.1	PBS	0.02	9	HPLC_HF10_plateB_samplekey.txt
G10	P2-G10	d0_5215	unknown	HF10.PlateB	NA	0.1	PBS	0.02	10	HPLC_HF10_plateB_samplekey.txt
G11	P2-G11	d0_5219	unknown	HF10.PlateB	NA	0.1	PBS	0.02	11	HPLC_HF10_plateB_samplekey.txt
G12	P2-G12	d0_427	unknown	HF10.PlateB	NA	0.1	PBS	0.02	12	HPLC_HF10_plateB_samplekey.txt
H01	P2-H01	d0_449	unknown	HF10.PlateB	NA	0.1	PBS	0.02	1	HPLC_HF10_plateB_samplekey.txt
H02	P2-H02	d0_5517	unknown	HF10.PlateB	NA	0.1	PBS	0.02	2	HPLC_HF10_plateB_samplekey.txt
H03	P2-H03	d0_429	unknown	HF10.PlateB	NA	0.1	PBS	0.02	3	HPLC_HF10_plateB_samplekey.txt
H04	P2-H04	d0_448	unknown	HF10.PlateB	NA	0.1	PBS	0.02	4	HPLC_HF10_plateB_samplekey.txt
H05	P2-H05	d0_5220	unknown	HF10.PlateB	NA	0.1	PBS	0.02	5	HPLC_HF10_plateB_samplekey.txt
H06	P2-H06	d0_5513	unknown	HF10.PlateB	NA	0.1	PBS	0.02	6	HPLC_HF10_plateB_samplekey.txt
H07	P2-H07	d0_5520	unknown	HF10.PlateB	NA	0.1	PBS	0.02	7	HPLC_HF10_plateB_samplekey.txt
H08	P2-H08	d0_5204	unknown	HF10.PlateB	NA	0.1	PBS	0.02	8	HPLC_HF10_plateB_samplekey.txt
H09	P2-H09	d0_5510	unknown	HF10.PlateB	NA	0.1	PBS	0.02	9	HPLC_HF10_plateB_samplekey.txt
H10	P2-H10	d0_5522	unknown	HF10.PlateB	NA	0.1	PBS	0.02	10	HPLC_HF10_plateB_samplekey.txt
A01	P3-A01	d13_1904_1	unknown	HF10.PlateC	NA	0.1	PBS	0.02	1	HPLC_HF10_plateC_samplekey.txt
