seqID	sampleID	mouse	percent_weight	CageID	Group	CageID_Assigned	BD	ExpStart	sex	Gavaged_fecal_material	Mb_input	FMT	Cdiff_infection	Cdiff_day_infected	ABX	clinda35	FMT_day	Harvest_pi	FMT_input	FMT_type	Model	Experiment	Mouse_genotype	Mouse_status	ExpDay	day	type	CFU	sampleType	simpsoneven	simpson	simpson_lci	simpson_hci	invsimpson	invsimpson_lci	invsimpson_hci	shannon	shannon_lci	shannon_hci	npshannon	sobs	chao	chao_lci	chao_hci	nseqs	propionate	succinate	acetate	butyrate
c21_1835_1	d21_1835_1	1835_1	98.96193772	1835	NA	NA	6/5/2018	8/20/2018	M	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	1290000000	mouse	0.099282	0.075732	0.072715	0.078749	13.204481	12.698542	13.752408	3.209821	3.183653	3.23599	3.229188	133	166.681818	148.224739	207.51457	10018	22.11433698	10.02872375	65.30534034	2.274926851
c21_1835_3	d21_1835_3	1835_3	103.5335689	1835	NA	NA	6/5/2018	8/20/2018	M	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	190000000	mouse	0.098883	0.064827	0.062948	0.066706	15.425688	14.991203	15.88611	3.293301	3.27243	3.314172	3.309706	156	201.12	177.900735	248.956443	14973	17.44559579	9.96029847	47.07456439	1.45069213
c21_1836_2	d21_1836_2	1836_2	98.63636364	1836	NA	NA	6/5/2018	8/20/2018	F	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	730000000	mouse	0.066039	0.107394	0.104725	0.110062	9.311536	9.085789	9.548787	2.86128	2.839271	2.883288	2.876511	141	182.25	160.59776	227.824338	16522	21.20456717	14.79704692	59.05650307	3.324223856
c21_1836_3	d21_1836_3	1836_3	94.24778761	1836	NA	NA	6/5/2018	8/20/2018	F	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	470000000	mouse	0.073826	0.091523	0.089413	0.093632	10.926272	10.680072	11.18409	2.960396	2.940919	2.979873	2.974134	148	221.666667	183.85657	299.34682	19109	19.80935171	10.71757232	67.1509611	2.605067883
c21_1836_4	d21_1836_4	1836_4	103.6866359	1836	NA	NA	6/5/2018	8/20/2018	F	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	1030000000	mouse	0.077847	0.107948	0.104628	0.111268	9.263737	8.987334	9.557681	2.94124	2.914531	2.967949	2.955769	119	161	137.176263	216.049653	12062	23.28739934	9.309236996	51.19396399	3.120773513
c21_1837_1	d21_1837_1	1837_1	99.61832061	1837	NA	NA	6/11/2018	8/20/2018	M	NA	NA	hFMT7	CDI	0	cef	no	11	d21	AMS005	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	1150000000	mouse	0.059138	0.159524	0.157159	0.161889	6.268637	6.17706	6.36297	2.260534	2.242971	2.278097	2.27072	106	141	121.293165	186.101141	21955	16.81910056	11.12301767	34.02709597	0.443873768
c21_1837_2	d21_1837_2	1837_2	98.45559846	1837	NA	NA	6/11/2018	8/20/2018	M	NA	NA	hFMT7	CDI	0	cef	no	11	d21	AMS005	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	350000000	mouse	0.059065	0.161243	0.157903	0.164583	6.201829	6.075964	6.333019	2.439223	2.420096	2.45835	2.44746	105	143.153846	120.743025	197.467362	22261	26.96162351	13.45789007	73.93544571	5.454801241
c21_1837_3	d21_1837_3	1837_3	101.8315018	1837	NA	NA	6/11/2018	8/20/2018	M	NA	NA	hFMT7	CDI	0	cef	no	11	d21	AMS005	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	60000000	mouse	0.049953	0.188855	0.185539	0.192172	5.295059	5.203681	5.389703	2.238277	2.219155	2.257398	2.246766	106	131.375	116.208047	169.07677	22840	16.13733895	13.18199104	18.05797525	3.404429666
c21_1839_1	d21_1839_1	1839_1	93.39622642	1839	NA	NA	6/12/2018	8/20/2018	F	NA	NA	hFMT7	CDI	0	cef	no	11	d21	AMS005	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	1110000000	mouse	0.066891	0.120562	0.118053	0.123072	8.294462	8.125329	8.470785	2.66715	2.642852	2.691448	2.679337	124	145.368421	132.615934	176.995927	14347	16.48558992	10.46481908	73.61809021	6.218316325
c21_1839_2	d21_1839_2	1839_2	97.78761062	1839	NA	NA	6/12/2018	8/20/2018	F	NA	NA	hFMT7	CDI	0	cef	no	11	d21	AMS005	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	350000000	mouse	0.059556	0.11269	0.110644	0.114736	8.87389	8.715626	9.038008	2.683412	2.665626	2.701199	2.697175	149	204.038462	176.695323	258.377035	22546	20.54045872	13.66445528	54.8673656	10.28624986
