"COMP_ID","PATHWAY.SORTORDER","BIOCHEMICAL","SUPERPATHWAY","SUBPATHWAY","PLATFORM","CHEMICAL_ID","RI","MASS","PUBCHEM","CAS","KEGG","HMDB","dir","dir_noFMT","dir_hFMT","dir_healthy"
53,45,"glutamine","Amino Acid","Glutamate Metabolism","LC/MS Pos Early",563,1291,147.0764,"5961","56-85-9","C00064","HMDB0000641","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
54,254,"tryptophan","Amino Acid","Tryptophan Metabolism","LC/MS Pos Early",565,2986,205.0972,"6305","73-22-3","C00078","HMDB0000929","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
57,44,"glutamate","Amino Acid","Glutamate Metabolism","LC/MS Pos Early",561,1500,148.0604,"33032","56-86-0","""C00025,C00217""","HMDB0000148","Up in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
58,1,"glycine","Amino Acid","""Glycine, Serine and Threonine Metabolism""","LC/MS Pos Early",340,1375,76.0393,"750","56-40-6","C00037","HMDB0000123","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
59,70,"histidine","Amino Acid","Histidine Metabolism","LC/MS Neg",355,755.9,154.0622,"6274","5934-29-2","C00135","HMDB0000177","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
60,332,"leucine","Amino Acid","""Leucine, Isoleucine and Valine Metabolism""","LC/MS Pos Early",397,2864,132.1019,"6106","61-90-5","C00123","HMDB0000687","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
63,3191,"cholesterol","Lipid","Sterol","LC/MS Pos Late",266,2707,369.3516,"6432564;11025495;5997","57-88-5","C00187","HMDB0000067","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
64,140,"phenylalanine","Amino Acid","Phenylalanine Metabolism","LC/MS Pos Early",460,2878,166.0863,"6140","63-91-2","C00079","HMDB0000159","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
396,1659,"glutarate (C5-DC)","Lipid","""Fatty Acid, Dicarboxylate""","LC/MS Polar",339,2900,131.035,"743;4418048","110-94-1","C00489","HMDB0000661","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
437,290,"5-hydroxyindoleacetate","Amino Acid","Tryptophan Metabolism","LC/MS Pos Early",71,1893,192.0655,"1826","54-16-0","C05635","HMDB0000763","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
443,36,"aspartate","Amino Acid","Alanine and Aspartate Metabolism","LC/MS Pos Early",234,1165,134.0448,"5960","56-84-8","C00049","HMDB0000191","Up in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
485,545,"spermidine","Amino Acid","Polyamine Metabolism","LC/MS Pos Early",50,3355,146.1652,"1102","124-20-9","C00315","HMDB0001257","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
512,40,"asparagine","Amino Acid","Alanine and Aspartate Metabolism","LC/MS Pos Early",917,1225,133.0608,"6267","70-47-3","C00152","HMDB0000168","Up in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
513,529,"creatinine","Amino Acid","Creatine Metabolism","LC/MS Pos Early",275,2055,114.0662,"588","60-27-5","C00791","HMDB0000562","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
