SampleID	CoreID	CoreName	wet_weight	DCA	HDCA_UDCA	CDCA	aMCA	bMCA	CA	HCA	wMCA	GLCA	GCDCA	GDCA	GHDCA	GUDCA	GCA	GHCA	TLCA	TCDCA	TDCA	THDCA_TUDCA	THCA	TaMCA_TbMCA	TCA
cecal_dn7_1510_1	B1510-1	S00026681	40.3	1.057347607	0	0	0.317147507	1.115816717	0.167126491	0.009264243	1.923605456	0	8.01439e-5	1.8392e-4	1.1439e-5	0	3.02298e-5	0	0.004194311	0.006521942	0.006001452	0.007353824	0	3.787110438	0.035832224
cecal_dn7_1510_2	B1510-2	S00026682	32	0.891380755	0	0	0.194080677	0.530614	0.797119174	0.020942142	1.542957508	0	1.37598e-4	6.88946e-5	5.2765e-5	0	6.52564e-4	0	0.002730962	0.026627199	0.032870002	0.007102004	0	1.484998476	0.126335142
cecal_dn7_1510_3	B1510-3	S00026683	25.9	1.586223178	0	0	1.083639502	1.957438137	0.928243395	0.075238393	3.590365411	0	3.72811e-5	3.59443e-4	1.48218e-4	0	8.0382e-5	0	0.005135119	0.01609273	0.029714857	0.013313979	0	11.20165999	0.590358818
cecal_d0_1512_1	B1512-1	S00026684	52.5	0.008109275	0	0.015787756	0.003406877	0.002320464	0.083372485	0	0.00759719	0	3.79294e-5	0	3.63955e-5	0	1.09538e-4	0	0.001153854	0.007334197	5.61551e-4	0.012108541	0	13.05497405	0.588595062
cecal_d0_1512_2	B1512-2	S00026685	19.1	0.015960671	0	0.038087287	0.009039726	0.009662783	0.693986377	0	0.019042625	0	5.12985e-5	0	4.19954e-4	0	5.1101e-4	0	0.002827583	0.126206009	0	0.123306959	0	63.13575047	4.689625544
cecal_d0_1512_3	B1512-3	S00026686	56.1	0.004465243	0	0.012206989	0.003313957	0.001816464	0.157088401	0	0.004686739	0	2.24784e-5	0	1.75228e-4	0	1.06824e-4	0	5.00826e-4	0.034317087	0	0.036232535	0	17.01533739	1.336979309
cecal_d1_1511_1	B1511-1	S00026687	32	0.007714479	0	0.014359103	0.004800428	0.005044395	0.125685932	0	0.006752752	0	5.71491e-5	7.13487e-6	0	0	0	0	6.7318e-4	0.008707317	0	0.006280378	0	3.950459967	0.396217837
cecal_d1_1511_2	B1511-2	S00026688	24.9	0.010373567	0	0.022029397	0.00832047	0.018270996	0.213983878	0	0.014057681	0	3.99712e-5	0	2.81882e-5	2.85486e-6	0	0	5.24933e-4	0.024781999	0	0.026123958	0	26.21785246	1.948151683
cecal_d1_1511_3	B1511-3	S00026689	63.8	0.002997428	0	0.004142978	8.7165e-4	0.001700081	0.032471463	0	0.002259922	0	1.59319e-5	0	9.47002e-6	0	3.34825e-5	0	9.94598e-5	0.00390387	0	0.004609227	0	4.507522884	0.301360667
cecal_d4_975_1	B975-1	S00026690	9.4	1.28955134	0	0	0.017553996	0.42967653	1.538691656	0	0.270822186	NA	2.61069e-4	3.81431e-4	8.43505e-5	0	0.002109591	0	0.001943338	0.351683143	0.030390345	0.277441139	0	101.2703837	6.991822002
cecal_d4_907_1	B907-1	S00026691	4	3.266647023	0	0	0.18281959	2.458327735	3.685330649	0	0.115976035	0	2.51459e-4	3.73403e-4	1.51413e-4	0	0.007560494	0	0.004052539	0.007300864	0.009836012	0.024720612	0	28.76720392	2.67347073
cecal_d4_908_1	B908-1	S00026692	13.3	0.043125143	0	0.090327371	0.136172195	2.812461932	3.346243029	0	1.448770985	0	5.66284e-5	0	5.17542e-5	0	0.001799203	0	8.14712e-4	0.006331277	3.21612e-4	0.004454249	0	8.226671026	0.056002884
