seqID	sampleID	mouse	percent_weight	CageID	Group	CageID_Assigned	BD	ExpStart	sex	Gavaged_fecal_material	Mb_input	FMT	Cdiff_infection	Cdiff_day_infected	ABX	clinda35	FMT_day	Harvest_pi	FMT_input	FMT_type	Model	Experiment	Mouse_genotype	Mouse_status	ExpDay	day	type	CFU	sampleType	simpsoneven	simpson	simpson_lci	simpson_hci	invsimpson	invsimpson_lci	invsimpson_hci	shannon	shannon_lci	shannon_hci	npshannon	sobs	chao	chao_lci	chao_hci	nseqs	DCA	HDCA_UDCA	CDCA	aMCA	bMCA	CA	HCA	wMCA	GLCA	GCDCA	GDCA	GHDCA	GUDCA	GCA	GHCA	TLCA	TCDCA	TDCA	THDCA_TUDCA	THCA	TaMCA_TbMCA	TCA	Acetate_nmol	Propionate_nmol	Butyrate_nmol	Isovalerate_nmol	Valerate_nmol	Hexanoate_nmol	Heptanoate_nmol	Octanoate_nmol	group
cecal_1191_2	d42_1191_2	1191_2	NA	1191	NA	NA	8/21/15	10/5/15	F	NA	NA	mFMT1	CDI	0	cef	yes	11	d42	yWT	mFMT	Rc	HF3	BL6	SPF-Young	42	42	cecal	0	mouse	0.030932	0.163276	0.158635	0.167917	6.124605	5.95533	6.303784	2.847035	2.817364	2.876705	2.864174	198	222.375	209.120482	251.427595	16044	1.774098706	0	0	0.509733508	1.795345189	0.942174506	0.011569917	3.701837949	0	3.53038e-4	2.03883e-4	0.001000901	0	0.004005172	0	0.001755228	0.013472299	0.014151158	0.016061864	0	5.595114645	0.016675487	64.82560774	4.672385979	15.89135734	0.204999955	0.719043443	0.057347558	0.009490219	0.094655315	mFMT
cecal_1275_1	d42_1275_1	1275_1	NA	1275	NA	NA	8/21/15	10/5/15	F	NA	NA	mFMT1	CDI	0	cef	yes	11	d42	yWT	mFMT	Rc	HF3	BL6	SPF-Young	42	42	cecal	0	mouse	0.075572	0.070762	0.068981	0.072542	14.131966	13.785034	14.496812	3.224041	3.19777	3.250312	3.243594	187	230.24	207.852414	276.663365	12304	1.977835693	0	0	1.328661545	2.721384944	0.62823133900000006	0.124528622	5.15167738	0	0	0.005238782	9.7676e-4	0	1.63986e-4	0	0.00600979	0.073948188	0.07256903	0.015252207	0	3.524284686	0.021731865	36.23470581	3.985118977	9.215453259	0.100486137	0.456947871	0.014505394	0.001492298	0.030038417	mFMT
cecal_1275_2	d42_1275_2	1275_2	NA	1275	NA	NA	8/21/15	10/5/15	F	NA	NA	mFMT1	CDI	0	cef	yes	11	d42	yWT	mFMT	Rc	HF3	BL6	SPF-Young	42	42	cecal	0	mouse	0.090723	0.055113	0.053676	0.05655	18.14467	17.683612	18.630414	3.491384	3.464701	3.518068	3.511301	200	220.676471	209.220254	246.367098	11770	1.887447307	0	0	0.679155231	2.748269667	0.736253375	0.023578627	3.737209518	0	1.38175e-4	0.00167957	9.97795e-4	0	5.25796e-4	0	0.026299913	0.004839272	0.030336282	0.011908625	0	5.705275634	0.019454151	71.61165102	7.119070415	22.51153318	0.086866978	0.694364708	0.049427277	0.01404055	0.067075468	mFMT
cecal_1294_1	d42_1294_1	1294_1	NA	1294	NA	NA	9/29/2015	11/2/2015	F	NA	NA	none	CDI	0	cef	yes	11	d42	none	noFMT	Rc	HF4	BL6	SPF-Young	42	42	cecal	NA	mouse	0.192925	0.157071	0.153525	0.160617	6.366533	6.225976	6.513582	2.211059	2.189683	2.232436	2.216347	33	66	41.281529	164.497459	9919	0.007782459	0	0.158972761	0.175330784	1.257048715	0.753980548	0.020355332	0.652415351	0	2.16587e-5	0	7.34513e-5	7.44415e-6	5.43864e-4	0	6.75166e-4	0.004991222	0	0.002465471	0	1.620054435	0.012804353	12.91547069	0.216428126	3.434795284	0.086367413	0.021686369	0.012834961	0.001684653	0.02734577	noFMT
cecal_d21_1199_3	d21_1199_3	1199_3	104.7337278	1199	NA	NA	5/7/2015	6/11/2015	F	NA	NA	hFMT1	CDI	0	cef	no	11	d21	D2_A	hFMT	Rc	HF1	BL6	SPF-Young	21	21	cecal	49000000	mouse	0.059554	0.134331	0.131965	0.136698	7.444294	7.315417	7.577793	2.527851	2.508871	2.54683	2.538769	125	152.391304	137.037488	187.328916	21344	1.043760842	0	0	0.108122742	1.679642608	0.936124166	0.006802741	0.173695048	0	9.84786e-5	3.73661e-5	2.3158e-4	0	0.001521713	0	0.001342306	8.40989e-4	0.004720975	0.002951662	0	0.996194048	0.011845216	35.53165655	10.03728319	5.533230332	0.175186353	0.14028936	0.024476296	0.003351411	0.059506263	hFMT
cecal_d21_1199_4	d21_1199_4	1199_4	104.9723757	1199	NA	NA	5/7/2015	6/11/2015	F	NA	NA	hFMT1	CDI	0	cef	no	11	d21	D2_A	hFMT	Rc	HF1	BL6	SPF-Young	21	21	cecal	14000000	mouse	0.082979	0.091994	0.090216	0.093773	10.870219	10.664085	11.08448	2.848536	2.828463	2.868608	2.860394	131	157.4	142.210705	193.169151	16758	0.10063851	0	0	0.022907788	0.474572549	0.404977342	0	0.119279574	0	5.48225e-5	0	2.24982e-4	0	0.001218995	0	3.9757e-4	4.23651e-4	3.02422e-4	0.001024211	0	0.377917342	0.004673463	63.50902937	19.03663391	12.17845916	0.192031216	0.217267216	0.039147592	0.006006465	0.093503226	hFMT
cecal_d21_1200_1	d21_1200_1	1200_1	108.3798883	1200	NA	NA	5/3/2015	6/11/2015	M	NA	NA	hFMT1	CDI	0	cef	no	11	d21	D2_A	hFMT	Rc	HF1	BL6	SPF-Young	21	21	cecal	2000000	mouse	0.049592	0.127623	0.125808	0.129438	7.835554	7.725683	7.948595	2.598322	2.581194	2.61545	2.608802	158	216.333333	186.416219	277.747734	28493	2.182930669	0	0	0.744157669	2.793458063	0.035232471	0	0.824234604	0	1.00393e-4	9.61025e-4	3.25461e-5	0	0	0	0.002238016	0	0.020628657	0.001814184	0	0.823884288	0.006472195	44.3441338	12.66428755	8.937526292	0.32141165	0.12765058	0.030219791	0.004412629	0.08491365	hFMT
cecal_d21_1200_2	d21_1200_2	1200_2	107.3684211	1200	NA	NA	5/3/2015	6/11/2015	M	NA	NA	hFMT1	CDI	0	cef	no	11	d21	D2_A	hFMT	Rc	HF1	BL6	SPF-Young	21	21	cecal	846501.1287	mouse	0.060264	0.11604	0.114078	0.118002	8.617717	8.474412	8.765951	2.713402	2.694676	2.732128	2.723881	143	182.047619	160.923216	228.069364	23385	1.595777879	0	0	0.261755516	2.28737963	0.076841623	0.01420889	0.568162802	0	6.12233e-5	0.001414874	1.05819e-4	0	0	0	0.002043687	0	0.020953439	0.003174543	0	0.859257465	0.006209151	23.27258064	6.529941288	6.983725036	0.259082349	0.294129577	0.099665285	0.038077343	0.090702875	hFMT
cecal_d21_1203_2	d21_1203_2	1203_2	98.30508475	1203	NA	NA	5/3/2015	6/11/2015	F	NA	NA	none	CDI	0	cef	no	11	d21	none	noFMT	Rc	HF1	BL6	SPF-Young	21	21	cecal	30300000	mouse	0.057033	0.236943	0.234295	0.239591	4.220425	4.173784	4.268121	1.777539	1.765153	1.789925	1.784349	74	105	86.937378	148.280895	32339	0.016887333	0	0.029945245	0.434800871	2.122189608	1.233770213	0.022550339	0	0	9.25851e-5	0	3.51441e-5	0	0.001096414	0	0.002075327	0.001136746	8.71735e-4	0.002269475	0	1.589108962	0.25772476	24.71466812	3.240365434	1.178160252	0.195205744	0.028744641	0.019576053	0.002985444	0.047040476	noFMT
cecal_d21_1203_3	d21_1203_3	1203_3	97.25274725	1203	NA	NA	5/3/2015	6/11/2015	F	NA	NA	none	CDI	0	cef	no	11	d21	none	noFMT	Rc	HF1	BL6	SPF-Young	21	21	cecal	38400000	mouse	0.072191	0.266388	0.262784	0.269991	3.753928	3.703825	3.805406	1.664174	1.649738	1.678609	1.670157	52	107.2	70.811199	213.980105	23764	0.010406368	0	0.011832747	0.139452418	1.298311953	0.623829638	0.012266754	0	NA	4.23328e-5	0	3.54565e-5	0	5.57973e-4	0	7.54657e-4	4.15452e-4	0	8.61825e-4	0	0.405100247	0.159014866	32.07661732	4.914033421	2.369953369	0.399362459	0.05084143	0.025971205	0.002946492	0.054111125	noFMT
