CoreName	CoreID...2	Coreweight_mg	SampleID	Acetate_nmol	Propionate_nmol	Butyrate_nmol	Isovalerate_nmol	Valerate_nmol	Hexanoate_nmol	Heptanoate_nmol	Octanoate_nmol	CoreID...13
S00026731	1_A1510-1	17.3	cecal_dn7_1510_1	381.573227	55.72588162	109.0208305	0.486212802	4.074725057	0.044088377	0.006261925	0.061275699	A1510-1
S00026732	2_A1510-2	17.6	cecal_dn7_1510_2	212.5877391	34.03044285	95.91140722	0.345301462	3.291306782	0.055254066	0.007432799	0.066500002	A1510-2
S00026733	3_A1510-3	22.8	cecal_dn7_1510_3	136.2115366	19.08521715	48.48344977	0.186700428	1.879138345	0.047982093	0.012823578	0.058774019	A1510-3
S00026734	4_A1512-1	24.2	cecal_d0_1512_1	6.71825473	0.07848405	0.067433144	0.006501222	0.011766563	0.018451019	0.005055796	0.04890991	A1512-1
S00026735	5_A1512-2	35	cecal_d0_1512_2	3.043785115	0.090299675	0.051092317	0.006693861	0.012522592	0.013570429	0.004112044	0.031920359	A1512-2
S00026736	6_A1512-3	43.1	cecal_d0_1512_3	4.809302186	0.03468167	0.040267888	0.002245859	0.003898595	0.00857683	0.002711778	0.02861713	A1512-3
S00026737	7_A1511-1	24.2	cecal_d1_1511_1	16.60218121	0.110829896	0.458845738	0.010386883	0.016624255	0.014050026	0.003868004	0.047735251	A1511-1
S00026738	8_A1511-2	31.1	cecal_d1_1511_2	6.968069973	0.121802508	0.225332125	0.012941705	0.021690331	0.013145143	0.003830197	0.036935172	A1511-2
S00026739	9_A1511-3	36.4	cecal_d1_1511_3	13.39741123	0.092920201	0.341401043	0.022128059	0.018770596	0.012455526	0.003017626	0.032492644	A1511-3
S00026740	10_A975-1	18.5	cecal_d4_975_1	6.877180682	0.141136876	1.035266732	0.014620793	0.022487159	0.017682758	0.004437899	0.052552788	A975-1
S00026741	11_A907-1	15.8	cecal_d4_907_1	5.982543956	0.24932528	1.286422292	0.01605635	0.022264662	0.024012363	0.006131187	0.062101483	A907-1
S00026742	12_A908-1	14.2	cecal_d4_908_1	16.82822673	0.295405801	4.259268953	0.023363393	0.060591524	0.025249525	0.005484831	0.060592084	A908-1
S00026743	13_A907-4	16.7	cecal_d9_907_4	8.634550421	0.953361212	0.118093562	0.009177405	0.019311534	0.022030769	0.006055454	0.06812671	A907-4
S00026744	14_A908-3	15.2	cecal_d9_908_3	10.23340669	1.186157468	0.169997845	0.023023503	0.042250241	0.027639884	0.01019032	0.061897884	A908-3
S00026745	15_A908-4	26.2	cecal_d9_908_4	7.558701089	0.903134695	0.20044428	0.025644999	0.051330822	0.026191082	0.009185979	0.042083643	A908-4
S00026746	16_A1211-1	13.3	cecal_d19_1211_1	10.45495178	0.30080003	1.467874764	0.006181824	0.010964171	0.025667043	0.006293387	0.069338688	A1211-1
S00026747	17_A1211-2	20.8	cecal_d19_1211_2	7.456520907	0.636681716	0.429163253	0.010092811	0.018659795	0.02087538	0.005923591	0.048939658	A1211-2
S00026748	18_A1211-3	34.2	cecal_d19_1211_3	7.741901268	0.370405494	0.057793037	0.004169118	0.007541256	0.011433062	0.003173836	0.031482381	A1211-3
S00026749	19_A1210-1	16.5	cecal_d19_1210_1	38.63644875	12.83564894	5.392649226	0.705318663	0.152953041	0.047957063	0.015816696	0.077575188	A1210-1
S00026750	20_A1210-2	24.7	cecal_d19_1210_2	14.97873308	3.774670415	1.250619019	0.1684532	0.022864041	0.012237672	0.003003432	0.035434038	A1210-2
S00026751	21_A1212-1	10.1	cecal_d19_1212_1	14.68005928	3.958752306	0.719899977	0.146065252	0.043948306	0.022367219	0.00656734	0.163547545	A1212-1
S00026752	22_A1212-2	13.3	cecal_d19_1212_2	27.85001211	5.19189869	1.832597468	0.427404659	0.041841909	0.035282842	0.008534363	0.079044341	A1212-2
S00026753	23_A1206-1	23.4	cecal_d19_1206_1	69.85783394	10.60501082	22.51654256	0.089685976	0.201596018	0.027630583	0.002822397	0.042347306	A1206-1
S00026754	24_A1206-2	11.6	cecal_d19_1206_2	35.57470435	7.598608602	8.284048108	0.127828269	0.182025356	0.068923501	0.018799699	0.092508679	A1206-2
S00026755	25_A1208-1	14.1	cecal_d19_1208_1	47.59193881	8.885317203	9.133471942	0.181262908	0.541690966	0.029776542	0.004728115	0.091394105	A1208-1
S00026756	26_A1208-2	13.7	cecal_d19_1208_2	99.04814242	11.55471411	20.49399394	0.168302388	0.955781901	0.031560734	0.00464264	0.077556158	A1208-2
S00026757	27_A1199-3	14.2	cecal_d21_1199_3	35.53165655	10.03728319	5.533230332	0.175186353	0.14028936	0.024476296	0.003351411	0.059506263	A1199-3
S00026758	28_A1199-4	11.1	cecal_d21_1199_4	63.50902937	19.03663391	12.17845916	0.192031216	0.217267216	0.039147592	0.006006465	0.093503226	A1199-4
S00026759	29_A1200-1	15.7	cecal_d21_1200_1	44.3441338	12.66428755	8.937526292	0.32141165	0.12765058	0.030219791	0.004412629	0.08491365	A1200-1
S00026760	30_A1200-2	24.8	cecal_d21_1200_2	23.27258064	6.529941288	6.983725036	0.259082349	0.294129577	0.099665285	0.038077343	0.090702875	A1200-2
S00026761	31_A1205-2	14.8	cecal_d21_1205_2	58.936034479999996	8.903062935	15.68345722	0.193996967	0.135470055	0.052268464	0.012544563	0.085015403	A1205-2
S00026762	32_A1205-4	14.2	cecal_d21_1205_4	87.03203635	10.26597941	24.21528577	0.143739263	0.793404532	0.034189826	0.0040546	0.08478131	A1205-4
S00026763	33_A1209-1	18.1	cecal_d21_1209_1	30.33382342	4.203401945	7.191450763	0.081426542	0.258335919	0.019141907	0.001997397	0.036109027	A1209-1
S00026764	34_A1209-2	32.7	cecal_d21_1209_2	31.18917844	5.116508176	5.922181352	0.09869963	0.398723083	0.013203256	0.002171524	0.029118625	A1209-2
S00026765	35_A1203-2	21.7	cecal_d21_1203_2	24.71466812	3.240365434	1.178160252	0.195205744	0.028744641	0.019576053	0.002985444	0.047040476	A1203-2
S00026766	36_A1203-3	16.5	cecal_d21_1203_3	32.07661732	4.914033421	2.369953369	0.399362459	0.05084143	0.025971205	0.002946492	0.054111125	A1203-3
S00026767	37_A1207-1	21	cecal_d21_1207_1	17.3706316	3.082445783	2.369033468	0.19761563	0.07515918	0.022811754	0.004991609	0.051353044	A1207-1
S00026768	38_A1207-3	14	cecal_d21_1207_3	35.97354722	5.752083024	4.76634038	0.330870903	0.088501259	0.038530165	0.006492156	0.088668344	A1207-3
S00026769	39_A1223-4	18.6	cecal_d42_1223_4	19.16946862	5.474152624	0.907462835	0.242285468	0.123429725	0.055737401	0.017229563	0.067346347	A1223-4
S00026770	40_A1223-5	22.3	cecal_d42_1223_5	19.16635208	5.387757307	0.879675802	0.260855852	0.025593697	0.02182224	0.003952561	0.043177711	A1223-5
S00026771	41_A1225-1	39.9	cecal_d42_1225_1	15.29028318	3.735041142	0.532383703	0.106118261	0.01573562	0.011737235	0.002094499	0.026353359	A1225-1
S00026772	42_A1225-2	20.8	cecal_d42_1225_2	32.01312907	7.501003251	1.284963469	0.297469699	0.047337651	0.028525959	0.006289717	0.068581149	A1225-2
S00026773	43_A1191-2	11.8	cecal_d42_1191_2	64.82560774	4.672385979	15.89135734	0.204999955	0.719043443	0.057347558	0.009490219	0.094655315	A1191-2
S00026774	44_A1270-4	11	cecal_d42_1270_4	44.68442971	6.11920411	11.8336425	0.184319642	0.711997922	0.046606757	0.006711086	0.098937714	A1270-4
S00026775	45_A1275-1	37.7	cecal_d42_1275_1	36.23470581	3.985118977	9.215453259	0.100486137	0.456947871	0.014505394	0.001492298	0.030038417	A1275-1
S00026776	46_A1275-2	21.8	cecal_d42_1275_2	71.61165102	7.119070415	22.51153318	0.086866978	0.694364708	0.049427277	0.01404055	0.067075468	A1275-2
S00026777	47_A1216-1	20.1	cecal_d42_1216_1	16.10320789	1.17637036	0.498966585	0.089875949	0.01558597	0.021000235	0.003070435	0.060142285	A1216-1
S00026778	48_A1216-2	16.5	cecal_d42_1216_2	20.21918595	2.389252987	0.78520966	0.175514893	0.017863159	0.014347361	0.003114575	0.026235136	A1216-2
S00026779	49_A1217-2	38.9	cecal_d42_1217_2	6.013548589	1.042327741	1.209826497	0.034747783	0.077342559	0.013860711	0.002111016	0.025578507	A1217-2
S00026780	50_A1294-1	42	cecal_d42_1294_1	12.91547069	0.216428126	3.434795284	0.086367413	0.021686369	0.012834961	0.001684653	0.02734577	A1294-1
