description	category
PWY-6502	8-Oxo-GTP-Detoxification // Metabolic-Clusters
PWY-8061	8-Oxo-GTP-Detoxification // Metabolic-Clusters
PWY-8480	Acetate-Degradation
PWY0-1299	Acid-Resistance
PWY0-1601	Acid-Resistance
PWY-7685	Acid-Resistance 
PWY-4441	Activation
PWY-7895	Activation
PWY-1822	Activation
PWY-1921	Activation
PWY-7896	Activation
PWY3O-246	Alcohol-Degradation
PWY-6388	Alcohol-Degradation
CYCLOHEXANOL-OXIDATION-PWY	Alcohol-Degradation
ETOH-ACETYLCOA-ANA-PWY	Alcohol-Degradation
PWY66-21	Alcohol-Degradation
PWY66-161	Alcohol-Degradation
PWY66-162	Alcohol-Degradation
PWY0-1280	Alcohol-Degradation
PWY66-389	Alcohol-Degradation
PWY-6464	Alcohol-Degradation
PWY-7616	Alcohol-Degradation
PWY-7862	Carbohydrates-Degradation
DARABITOLUTIL-PWY	Carbohydrates-Degradation
PWY-8392	Carbohydrates-Degradation
PWY-4101	Carbohydrates-Degradation
SORBDEG-PWY	Carbohydrates-Degradation
PWY-7786	Carbohydrates-Degradation
PWY-7789	Carbohydrates-Degradation
PWY-7788	Carbohydrates-Degradation
GALACTITOLCAT-PWY	Carbohydrates-Degradation
PWY-4261	Carbohydrates-Degradation
PWY-6131	Carbohydrates-Degradation
GLYCEROLMETAB-PWY	Carbohydrates-Degradation
PWY-6952	Carbohydrates-Degradation
PWY-7787	Carbohydrates-Degradation
PWY-6531	Carbohydrates-Degradation
MANNIDEG-PWY	Carbohydrates-Degradation
PWY-3861	Carbohydrates-Degradation
RIBITOLUTIL-PWY	Carbohydrates-Degradation
PWY-8394	Carbohydrates-Degradation
LARABITOLUTIL-PWY	Carbohydrates-Degradation
PWY-8393	Carbohydrates-Degradation
PWY0-381	Carbohydrates-Degradation
GOLPDLCAT-PWY	Carbohydrates-Degradation
HEXITOLDEGSUPER-PWY	Carbohydrates-Degradation
PWY-5257	Carbohydrates-Degradation
PWY0-1317	Aldehyde-Degradation
PWY0-1315	Aldehyde-Degradation
METHGLYUT-PWY	Aldehyde-Degradation
PWY-6535	Amine-Degradation
PWY-6537	Amine-Degradation
PWY-6536	Amine-Degradation
PWY-6473	Amine-Degradation
PWY-5697	Amine-Degradation
PWY-5698	Amine-Degradation
PWY-7431	Amine-Degradation
CHOLINE-BETAINE-ANA-PWY	Amine-Degradation
PWY-3721	Amine-Degradation
PWY-7167	Amine-Degradation
CRNFORCAT-PWY	Amine-Degradation
PWY-4722	Amine-Degradation
PWY-4741	Amine-Degradation
PWY-7471	Amine-Degradation
PWY-7472	Amine-Degradation
PWY6666-2	Amine-Degradation
PWY-7855	Amine-Degradation
PWY0-1477	Amine-Degradation
PWY-8337	Amine-Degradation
PWY-3621	Amine-Degradation
PWY-8339	Amine-Degradation
PWY-3661	Amine-Degradation
PWY-3661-1	Amine-Degradation
PWY-8325	Amine-Degradation
PWY-8108	Amine-Degradation
PWY-6181	Amine-Degradation
PWY-5736	Amine-Degradation
PWY-3641	Amine-Degradation
PWY-3602	Amine-Degradation
PWY-8307	Amine-Degradation
PWY-6967	Amine-Degradation
PWY-6965	Amine-Degradation
P561-PWY	Amine-Degradation
PWY-8109	Amine-Degradation
PUTDEG-PWY	Amine-Degradation
PWY0-1221	Amine-Degradation
PWY-0	Amine-Degradation
PWY-2	Amine-Degradation
PWY-3	Amine-Degradation
PWY-6117	Amine-Degradation
PWY-6440	Amine-Degradation
PWY-6441	Amine-Degradation
PWY-7085	Amine-Degradation
PWY-6968	Amine-Degradation
PWY-5703	Amine-Degradation
PWY-5704	Amine-Degradation
PWY0-41	Amine-Degradation
PWY-5694	Amine-Degradation
PWY-5692	Amine-Degradation
PWY-5705	Amine-Degradation
PWY-7494	Amine-Degradation
P542-PWY	Amine-Degradation
4AMINOBUTMETAB-PWY	Amine-Degradation
URDEGR-PWY	Amine-Degradation
ALLANTOINDEG-PWY	Amine-Degradation
GLCMANNANAUT-PWY	Amine-Degradation
ORNDEG-PWY	Amine-Degradation
PWY-6962	Amine-Degradation
2PHENDEG-PWY	Amine-Degradation
PWY-6534	Amine-Degradation
PWY-6071	Amine-Degradation
PWY-5022	Amine-Degradation
CARNMET-PWY	Amine-Degradation
PWY-8441	Amino-Acid-Biosynthesis
PWY-5029	Amino-Acid-Biosynthesis
PWY-7648	Amino-Acid-Biosynthesis
PWY-7649	Amino-Acid-Biosynthesis
PWY-8353	Amino-Acid-Biosynthesis
PWY-7701	Amino-Acid-Biosynthesis
PWY-8072	Amino-Acid-Biosynthesis
PWY-3981	Amino-Acid-Biosynthesis
PWY-3941	Amino-Acid-Biosynthesis
PWY-5155	Amino-Acid-Biosynthesis
PWY-5760	Amino-Acid-Biosynthesis
PWY-6482	Amino-Acid-Biosynthesis
PWY-7546	Amino-Acid-Biosynthesis
GLYSYN-PWY	Amino-Acid-Biosynthesis
GLYCINE-SYN2-PWY	Amino-Acid-Biosynthesis
GLYSYN-ALA-PWY	Amino-Acid-Biosynthesis
GLYSYN-THR-PWY	Amino-Acid-Biosynthesis
PWY-5905	Amino-Acid-Biosynthesis
ALANINE-VALINESYN-PWY	Amino-Acid-Biosynthesis
ALANINE-SYN2-PWY	Amino-Acid-Biosynthesis
PWY0-1021	Amino-Acid-Biosynthesis
ARGSYNBSUB-PWY	Amino-Acid-Biosynthesis
PWY-5154	Amino-Acid-Biosynthesis
PWY-7400	Amino-Acid-Biosynthesis
ASPARAGINE-BIOSYNTHESIS	Amino-Acid-Biosynthesis
ASPARAGINESYN-PWY	Amino-Acid-Biosynthesis
ASPARTATESYN-PWY	Amino-Acid-Biosynthesis
CITRULBIO-PWY	Amino-Acid-Biosynthesis
CYSTSYN-PWY	Amino-Acid-Biosynthesis
PWY-8010	Amino-Acid-Biosynthesis
PWY-7289	Amino-Acid-Biosynthesis
PWY-7870	Amino-Acid-Biosynthesis
PWY-8009	Amino-Acid-Biosynthesis
GLUTSYN-PWY	Amino-Acid-Biosynthesis
GLUTAMATE-SYN2-PWY	Amino-Acid-Biosynthesis
GLUTSYNIII-PWY	Amino-Acid-Biosynthesis
GLUGLNSYN-PWY	Amino-Acid-Biosynthesis
PWY-4341	Amino-Acid-Biosynthesis
HISTSYN-PWY	Amino-Acid-Biosynthesis
PWY-5344	Amino-Acid-Biosynthesis
PWY-1186	Amino-Acid-Biosynthesis
PWY-7275	Amino-Acid-Biosynthesis
HOMOSERSYN-PWY	Amino-Acid-Biosynthesis
ILEUSYN-PWY	Amino-Acid-Biosynthesis
PWY-5101	Amino-Acid-Biosynthesis
PWY-5103	Amino-Acid-Biosynthesis
PWY-5104	Amino-Acid-Biosynthesis
PWY-5108	Amino-Acid-Biosynthesis
LEUSYN-PWY	Amino-Acid-Biosynthesis
DAPLYSINESYN-PWY	Amino-Acid-Biosynthesis
PWY-2941	Amino-Acid-Biosynthesis
PWY-2942	Amino-Acid-Biosynthesis
LYSINE-AMINOAD-PWY	Amino-Acid-Biosynthesis
PWY-3081	Amino-Acid-Biosynthesis
PWY-5097	Amino-Acid-Biosynthesis
HOMOSER-METSYN-PWY	Amino-Acid-Biosynthesis
PWY-702	Amino-Acid-Biosynthesis
PWY-7977	Amino-Acid-Biosynthesis
ADENOSYLHOMOCYSCAT-PWY	Amino-Acid-Biosynthesis
PWY-6922	Amino-Acid-Biosynthesis
GLUTORN-PWY	Amino-Acid-Biosynthesis
ARGININE-SYN4-PWY	Amino-Acid-Biosynthesis
PHESYN	Amino-Acid-Biosynthesis
PWY-3462	Amino-Acid-Biosynthesis
PWY-7432	Amino-Acid-Biosynthesis
PROSYN-PWY	Amino-Acid-Biosynthesis
PWY-4981	Amino-Acid-Biosynthesis
PWY-3341	Amino-Acid-Biosynthesis
PWY-4281	Amino-Acid-Biosynthesis
