Gene	UnirefID	definition	GF2_hFMT2A_S44	GF2_mjMb2B_input_S53	GF2_myFMT1_S56	GF3_AMS001_inoc1_S36	HF10_hFMT1_S68	HF9_hFMT2_S42	Healthy_cecalSeekatz26_S2	c21_1835_3_S30	c21_1836_2_S31	c21_1836_3_S110	c21_1837_1_S114	c21_1837_2_S143	c21_1837_3_S138	c21_1839_1_S139	c21_1839_2_S115	c21_1841_1_S137	c21_1901_3_S29	c21_1907_1_S69	cecal_1191_2_S134	cecal_1275_1_S135	cecal_1275_2_S136	cecal_19_1210_1_S77	cecal_19_1210_3_S80	cecal_19_1212_3_S84	cecal_d21_1199_2_S99	cecal_d21_1199_3_S100	cecal_d21_1200_1_S90	cecal_d21_1200_3_S94	cecal_d21_1200_4_S133	cecal_d21_1203_1_S89	cecal_d21_1203_4_S103	cecal_d21_1205_2_S88	cecal_d21_1205_4_S93	cecal_d21_1207_2_S97	cecal_d21_1207_3_S95	cecal_d21_1207_4_S102	cecal_d21_1209_3_S96	cecal_d25_2935_S59	cecal_d25_3739_S45	cecal_d25_5925_S43	cecal_d25_5942_S46	cecal_d28_429_S66	cecal_d28_448_S65	cecal_d28_5505_S67	cecal_d28_5520_S64	cecal_d42_1216_1_S92	cecal_d42_1216_2_S87	cecal_d42_1217_2_S91	cecal_d42_1223_5_S101	cecal_d42_1225_1_S98	cecal_d42_1225_2_S132	cecal_d46_2933_S48	cecal_d46_2949_S47	cecal_d46_2956_S58	cecal_d46_2966_S38	cecal_d46_3755_S49	cecal_d46_3765_S39	cecal_d46_3827_S57	cecal_d46_3_C18_C23836_S51	cecal_d46_4837_S52	cecal_d46_4914_S54	cecal_d46_5957_S50	cecal_d46_5964_S55	d0_1840_2_S112	d11_1203_1_S72	d11_1205_2_S75	d11_1840_1_S21	d11_1840_2_S24	d11_1840_3_S27	d11_1901Seekatz24_S1	d18_1835_1_S25	d18_1835_3_S22	d18_1836_2_S111	d18_1836_3_S105	d18_1836_4_S116	d18_1837_1_S142	d18_1837_2_S113	d18_1839_1_S108	d18_1839_2_S34	d18_1839_3_S109	d18_1840Seekatz18_S3	d18_1901_3_S26	d18_1907_1_S71	d19_1199_2_S79	d19_1199_3_S81	d19_1200_1_S83	d19_1200_2_S78	d19_1203Seekatz34_S6	d19_1203_1_S35	d19_1203_3_S32	d19_1205_2_S82	d19_1207_1_S85	d19_1207_4_S33	d21_2935_S37	d21_3739_S36	d21_429_S63	d21_448_S62	d21_5220_S61	d21_5505_S60	d21_5925_S40	d21_5942_S41	d4_1203_2_S131	d4_1205_2_S73	d4_1840_1_S140	d4_1840_2_S141	dGF2_hFMT1B_S117	dn7_1203_1_S74	dn7_1205_1_S76	dn7_1835_1_S23	dn7_1840_2_S106	dn7_1840_3_S107	healthy_cecal_1913_1_S28	healthy_cecal_1913_2_S70	humanDonor_exp2_S86	mouseFMT_exp1_S130
baiA	UniRef90_A0A1C5SDU7	3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase	0	0	0	0	0	0.0514886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
baiA	UniRef90_C8WMP0	3-alpha-hydroxycholanate dehydrogenase (nad(+))	0.929253	0	0	0.0681091	0.348037	0.135942	0	0.107833	0.308078	0.201969	0.196452	0.131931	0.240345	0.529811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01384	0.153985	0.346399	0	0.795131	0.227918	1.24143	0	0	0	0	0	0	0	0	0	0	0	0	0.0881096	0	0	0.242328	0.185546	0.210437	0.245834	0	0	0	0	0	0	0	0.11509	0	0	0	0.0972627	0.170162	0.618538	0	0.170083	0	0	0	0.143428	0	0	0	0.0913773	0	0	0	0	0	0	0.257812	0.246184	0.0733287	0.172405	0.571278	1.83862	0.11633	0.466048	0	0	0	0	0.320469	0	0	0.0916564	0	0.195996	0	0	0.183762	0
baiA	UniRef90_A7B3K3	3-alpha-hydroxycholanate dehydrogenase (nadp(+))	2.34553	0.936533	0.419741	0.063106	0	0	0.481938	0	0	0	7.73749	5.42805	2.22521	0.119746	0	0	0.759131	0	0.810941	0	0.815545	0	0	0.712291	0	0	0	0	0	0	0	0.523716	0.471253	0	0	0	0	0	0	0	0	0	0.901363	0	0.143801	0	0	0	0.215506	0	0	0.407649	0	0	0	0	0	0	1.03914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.096	2.97594	0.155425	0.178447	0.210169	0.267392	1.00563	0	0	0	0	0	0	0	0	0	0	0	0	0	0.181522	0	0.477248	0	0	0	0	0	0	0	2.38175	0.32786	0.399049	0.746642	0.57855	0.832159	0.0390618	0.699868	0.130123	0.894355
3b-HSDH	UniRef90_C8WJW0	3-beta-hydroxycholanate 3-dehydrogenase (nad(+)) 1	0.223901	0	0	0	0	0	0	0	0	0	0.077785000000000007	0.149572	0.101442	0	0	0.291898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.552978	0.087118	0	0	0.0851589	0.180603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.178835	0.292258	0	0	0	0	0	0	0	0.228155	0	0	0	0	0.295152	0.414899	0	0.136247	0.176749	0	0	0	0	0.0661454	0	0	0	0	0	0	0	0	0	0	0	0	0	0.178467	0	0.147741	0	0	0	0	0.112447	0	0	0	0	0	0	0	0.101272	0
3b-HSDH	UniRef90_C8WGQ3	3-beta-hydroxycholanate 3-dehydrogenase (nad(+)) 2	0.610271	0	0	0.194019	0.249918	0.388038	0	0.118052	0.306327	0.109645	0.156368	0	0.136678	0.754396	0	0.171061	0	0	0	0	0	0	0	0	0	0.141458	0	0	0	0	0	0	0	0	0	0	0	0.779991	0.21414	0.370376	0	1.00467	0.340205	0.886219	0.258034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115228	0.195736	0	0	0	0	0	0	0	0.160313	0.251554	0.406737	0	0.217482	0.169557	0.357124	0	0.0769863	0	0	0	0.304171	0	0	0	0	0	0	0	0	0	0	0.384871	0.163431	0.145924	0	0.255981	1.51612	0.458537	0.212034	0	0	0	0	0.772062	0	0	0	0	0.0866513	0	0	0.324567	0
3b-HSDH	UniRef90_A7AZH2	3-beta-hydroxycholanate 3-dehydrogenase (nadp(+))	2.49564	0	0	0	0	0	0	0	0	0	8.57546	5.67546	2.29203	0	0	0	0	0	0	0	0	0	0	0.72254	0	0	0	0	0	0	0	0	0	0	0	0	0	0.448948	0.084049	0	0	0	0.687757	0	0.386352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.63167	2.61266	0.33586	0.110204	0.132438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163303	0.596201	0.590304	0	0	0	0	0	0	0	1.98911	0	0	0	0	0.665587	0	0	0	0
3b-HSDH	UniRef90_A0A174GG33	3-beta-hydroxysteroid dehydrogenase	0	0	0	0.129676	0	0	2.94279	0.660801	0.15778	0.18358	1.73723	0.505646	1.98232	0.594728	2.47024	0.970676	3.20494	0	0	0	0	0.304395	0	1.21205	0.176071	0.176057	0.0958217	0	0	0	0	0	0	0	0	0	0	0.50211	0.253777	0.172762	0.163509	0.295829	4.62432	0.274176	4.08159	0	0	0	0.201857	0.346208	0.307073	0	0	0	0	0	0	0	0	0.181447	0.187287	0.266368	0.168271	0	0	0	0	0	0	0	0.327281	0.305832	0.113922	0	0.140011	0.223299	0.0722692	0	0	0	1.20642	4.70783	0.118274	0.412872	0.373774	0	0.14423	0	0	0	0	0	0	0.191749	0	0.591427	1.40563	1.92131	0.153546	0.20272	0	0	0	0	0	0	0	0	5.39787	0	3.34305	0	0	0	0
3b-HSDH	UniRef90_A0A2S1ETD7	3-beta-hydroxysteroid dehydrogenase	0	0	4.17042	0	0	0	0	0	0	0	0	0	0	0	0	0	0.361032	0	0	0	0	0	0	0	0	0.206703	0.0302289	0	0	0	0.0341215	0	0	0	0	0.244482	0.147063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.697978	0	0	0	0	0	0	0	0	0	0	0.373838	0.337162	0	0	0	0	0.142351	0	0	0	0	0.131558	0.48734	0	0.0490932	0.207441	0	0.374643	0	0	0	0	0	0.33906	0.0815962	0.0567815	0	0.126441	0.0933325	0	0	0	0	0	0	0	0	0	0.158585	0	0	0	1.01643	0	0	0	0	0.181136	0	0	0.820212
baiA	UniRef90_P19337	3alpha-hydroxy bile acid-coa-ester 3-dehydrogenase 2	0	0	0	0.251295	0.162364	0.248943	0	0.0876086	0.262561	0.209055	0	0	0	0	0	4.15333	0	0.177523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0566874	0	0.566408	0.82706	0.632507	0	0.443158	0	0	0	0	0.0545892	0	0	0	0	0	0	0	0	0	0	1.1009	2.23608	1.31227	0.912429	0	0	0	0	0	0	0	0.74749	0.411703	0.510148	0.324385	0.897249	0	0	0	0	0	0	0	1.14919	0	0.292794	0.260152	0.103006	0	0	0	0	0	0	0	0	0	0	0	0.959127	1.92529	0.907594	0	0	0	0	0.0684359	0	0	0	0	0	0	0	0.0737913	0
baiA	UniRef90_A0A1M4UG93	3alpha(or 20beta)-hydroxysteroid dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.458664	0	0	0	0	0	0	0
