description	category	color
HCAMHPDEG-PWY	AROMATIC-COMPOUNDS-DEGRADATION	#0079A7
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	AROMATIC-COMPOUNDS-DEGRADATION	#0079A7
PWY-6185	AROMATIC-COMPOUNDS-DEGRADATION	#0079A7
PWY-6690	AROMATIC-COMPOUNDS-DEGRADATION	#0079A7
PWY-5055	AROMATIC-COMPOUNDS-DEGRADATION	#0079A7
PWY0-321	AROMATIC-COMPOUNDS-DEGRADATION	#0079A7
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	AROMATIC-COMPOUNDS-DEGRADATION	#0079A7
PWY0-1277	AROMATIC-COMPOUNDS-DEGRADATION	#0079A7
PWY-5415	AROMATIC-COMPOUNDS-DEGRADATION	#0079A7
PWY-5724	AROMATIC-COMPOUNDS-DEGRADATION	#0079A7
PWY-5180	AROMATIC-COMPOUNDS-DEGRADATION	#0079A7
PWY66-389	Alcohol-Degradation	grey50
PWY-7616	Alcohol-Degradation	grey50
METHGLYUT-PWY	Aldehyde-Degradation	grey50
CRNFORCAT-PWY	Amine-Degradation	#2C7FE0
PWY6666-2	Amine-Degradation	#2C7FE0
PWY0-1477	Amine-Degradation	#2C7FE0
PWY0-1221	Amine-Degradation	#2C7FE0
PWY-6117	Amine-Degradation	#2C7FE0
PWY0-41	Amine-Degradation	#2C7FE0
PWY-5692	Amine-Degradation	#2C7FE0
PWY-5705	Amine-Degradation	#2C7FE0
URDEGR-PWY	Amine-Degradation	#2C7FE0
ALLANTOINDEG-PWY	Amine-Degradation	#2C7FE0
GLCMANNANAUT-PWY	Amine-Degradation	#2C7FE0
ORNDEG-PWY	Amine-Degradation	#2C7FE0
PWY-6071	Amine-Degradation	#2C7FE0
PWY-5022	Amine-Degradation	#2C7FE0
CARNMET-PWY	Amine-Degradation	#2C7FE0
ARGSYNBSUB-PWY	Amino-Acid-Biosynthesis	#009AD1
PWY-5154	Amino-Acid-Biosynthesis	#009AD1
PWY-7400	Amino-Acid-Biosynthesis	#009AD1
CITRULBIO-PWY	Amino-Acid-Biosynthesis	#009AD1
HISTSYN-PWY	Amino-Acid-Biosynthesis	#009AD1
ILEUSYN-PWY	Amino-Acid-Biosynthesis	#009AD1
PWY-5101	Amino-Acid-Biosynthesis	#009AD1
PWY-5103	Amino-Acid-Biosynthesis	#009AD1
PWY-5104	Amino-Acid-Biosynthesis	#009AD1
DAPLYSINESYN-PWY	Amino-Acid-Biosynthesis	#009AD1
PWY-2941	Amino-Acid-Biosynthesis	#009AD1
PWY-2942	Amino-Acid-Biosynthesis	#009AD1
PWY-5097	Amino-Acid-Biosynthesis	#009AD1
HOMOSER-METSYN-PWY	Amino-Acid-Biosynthesis	#009AD1
PWY-702	Amino-Acid-Biosynthesis	#009AD1
PWY-7977	Amino-Acid-Biosynthesis	#009AD1
PWY-6922	Amino-Acid-Biosynthesis	#009AD1
GLUTORN-PWY	Amino-Acid-Biosynthesis	#009AD1
ARGININE-SYN4-PWY	Amino-Acid-Biosynthesis	#009AD1
VALSYN-PWY	Amino-Acid-Biosynthesis	#009AD1
PWY-6936	Amino-Acid-Biosynthesis	#009AD1
PWY-5505	Amino-Acid-Biosynthesis	#009AD1
ARGSYN-PWY	Amino-Acid-Biosynthesis	#009AD1
PWY-I9	Amino-Acid-Biosynthesis	#009AD1
HSERMETANA-PWY	Amino-Acid-Biosynthesis	#009AD1
COMPLETE-ARO-PWY	Amino-Acid-Biosynthesis	#009AD1
BRANCHED-CHAIN-AA-SYN-PWY	Amino-Acid-Biosynthesis	#009AD1
PWY0-1061	Amino-Acid-Biosynthesis	#009AD1
ASPASN-PWY	Amino-Acid-Biosynthesis	#009AD1
PWY-5004	Amino-Acid-Biosynthesis	#009AD1
PWY-6293	Amino-Acid-Biosynthesis	#009AD1
PWY-6292	Amino-Acid-Biosynthesis	#009AD1
METSYN-PWY	Amino-Acid-Biosynthesis	#009AD1
PWY-3001	Amino-Acid-Biosynthesis	#009AD1
P4-PWY	Amino-Acid-Biosynthesis	#009AD1
PWY-724	Amino-Acid-Biosynthesis	#009AD1
PWY-5345	Amino-Acid-Biosynthesis	#009AD1
PWY-5347	Amino-Acid-Biosynthesis	#009AD1
PWY-6628	Amino-Acid-Biosynthesis	#009AD1
SER-GLYSYN-PWY	Amino-Acid-Biosynthesis	#009AD1
THRESYN-PWY	Amino-Acid-Biosynthesis	#009AD1
PWY-6630	Amino-Acid-Biosynthesis	#009AD1
PWY-821	Amino-Acid-Biosynthesis	#009AD1
PWY0-781	Amino-Acid-Biosynthesis	#009AD1
PWY-6519	Amino-Acid-Biosynthesis	#009AD1
GLUDEG-I-PWY	Amino-Acid-Degradation	#00BBFA
AST-PWY	Amino-Acid-Degradation	#00BBFA
HISDEG-PWY	Amino-Acid-Degradation	#00BBFA
PWY-5028	Amino-Acid-Degradation	#00BBFA
