description	pathway	GF2_hFMT2A_S44	GF2_mjMb2B_input_S53	GF2_myFMT1_S56	GF3_AMS001_inoc1_S36	HF10_hFMT1_S68	HF9_hFMT2_S42	Healthy_cecalSeekatz26_S2	c21_1835_3_S30	c21_1836_2_S31	c21_1836_3_S110	c21_1837_1_S114	c21_1837_2_S143	c21_1837_3_S138	c21_1839_1_S139	c21_1839_2_S115	c21_1841_1_S137	c21_1901_3_S29	c21_1907_1_S69	cecal_1191_2_S134	cecal_1275_1_S135	cecal_1275_2_S136	cecal_19_1210_1_S77	cecal_19_1210_3_S80	cecal_19_1212_3_S84	cecal_d21_1199_2_S99	cecal_d21_1199_3_S100	cecal_d21_1200_1_S90	cecal_d21_1200_3_S94	cecal_d21_1200_4_S133	cecal_d21_1203_1_S89	cecal_d21_1203_4_S103	cecal_d21_1205_2_S88	cecal_d21_1205_4_S93	cecal_d21_1207_2_S97	cecal_d21_1207_3_S95	cecal_d21_1207_4_S102	cecal_d21_1209_3_S96	cecal_d25_2935_S59	cecal_d25_3739_S45	cecal_d25_5925_S43	cecal_d25_5942_S46	cecal_d28_429_S66	cecal_d28_448_S65	cecal_d28_5505_S67	cecal_d28_5520_S64	cecal_d42_1216_1_S92	cecal_d42_1216_2_S87	cecal_d42_1217_2_S91	cecal_d42_1223_5_S101	cecal_d42_1225_1_S98	cecal_d42_1225_2_S132	cecal_d46_2933_S48	cecal_d46_2949_S47	cecal_d46_2956_S58	cecal_d46_2966_S38	cecal_d46_3755_S49	cecal_d46_3765_S39	cecal_d46_3827_S57	cecal_d46_3_C18_C23836_S51	cecal_d46_4837_S52	cecal_d46_4914_S54	cecal_d46_5957_S50	cecal_d46_5964_S55	d0_1840_2_S112	d11_1203_1_S72	d11_1205_2_S75	d11_1840_1_S21	d11_1840_2_S24	d11_1840_3_S27	d11_1901Seekatz24_S1	d18_1835_1_S25	d18_1835_3_S22	d18_1836_2_S111	d18_1836_3_S105	d18_1836_4_S116	d18_1837_1_S142	d18_1837_2_S113	d18_1839_1_S108	d18_1839_2_S34	d18_1839_3_S109	d18_1840Seekatz18_S3	d18_1901_3_S26	d18_1907_1_S71	d19_1199_2_S79	d19_1199_3_S81	d19_1200_1_S83	d19_1200_2_S78	d19_1203Seekatz34_S6	d19_1203_1_S35	d19_1203_3_S32	d19_1205_2_S82	d19_1207_1_S85	d19_1207_4_S33	d21_2935_S37	d21_3739_S36	d21_429_S63	d21_448_S62	d21_5220_S61	d21_5505_S60	d21_5925_S40	d21_5942_S41	d4_1203_2_S131	d4_1205_2_S73	d4_1840_1_S140	d4_1840_2_S141	dGF2_hFMT1B_S117	dn7_1203_1_S74	dn7_1205_1_S76	dn7_1835_1_S23	dn7_1840_2_S106	dn7_1840_3_S107	healthy_cecal_1913_1_S28	healthy_cecal_1913_2_S70	humanDonor_exp2_S86	mouseFMT_exp1_S130
1CMET2-PWY	folate transformations III (E. coli)	531.946	229.707	338.126	447.953	507.48	466.281	236.825	392.276	416.027	420.306	583.586	599.001	595.76	500.128	486.732	380.314	316.336	422.702	480.781	252.993	346.744	465.206	418.692	484.189	354.078	385.052	381.612	315.03	380.95	471.685	566.726	309.799	286.22	415.593	415.432	455.199	455.546	398.564	469.283	386.761	381.927	404.741	459.543	394.08	454.85	379.497	389.441	396.164	436.704	364.071	417.116	308.699	334.528	385.795	454.575	319.29	518.75	353.135	304.004	360.034	367.919	324.99	360.952	1.60967	341.137	467.623	454.168	460.58	473.685	0	389.166	379.85	415.13	370.638	402.677	538.029	510.387	502.809	490.525	521.41	280.541	343.286	370.523	443.9	379.233	372.782	409.233	407.23	388.222	352.682	487.906	419.854	466.752	453.695	448.583	500.855	450.137	459.599	407.129	404.691	415.785	339.908	686.403	442.208	396.702	521.687	182.644	339.582	353.047	224.284	278.382	237.49	247.622	398.885	343.511
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	0	0	0	0	0	0	0	0	0.400077	0	0	0	0	0	0	1.8312	0	0	0	0	0	4.74813	9.05431	8.50892	0	3.73831	0	0	0	13.6007	12.5335	0	0	8.38725	5.96508	10.9951	0	0	0	0	0	0.423017	0	0	0	54.3943	73.4933	88.2404	1.7328	0	0	0	0	34.2435	0	0	0	0	0	1.46783	2.12991	0	0	0	68.0793	43.9116	55.4346	49.9842	54.2614	0	0	0.228806	0.279461	0	0	0	0	0	0.215351	0	0	0	0	0	6.14297	0	0	26.8035	50.3847	42.4	0	14.2194	8.13949	0	0	0	0	0	1.11759	0	0	46.1045	0	30.7332	41.8778	0	0	0	0.235313	0	0	0	0	10.7459	0
AEROBACTINSYN-PWY	aerobactin biosynthesis	0	0	0	0	0	0	0	0	2.40287	1.19788	0	0	0	0	0	0	0	0.907488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.18534	0	0.47394	0	0	0	0	0	0	0	0	0	0	0	0	0	0.238414	0	0.37627	1.08097	1.83191	0	0	0	0	0	0	0	2.1931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALLANTOINDEG-PWY	allantoin degradation	0	3.16476	0	2.19262	1.24419	2.07894	5.87244	2.13525	0	0	0	0	0	1.43209	0	5.23783	9.52506	0	2.85404	0	3.4151	0	0.52072	0	9.04979	12.1836	3.63913	7.92693	15.0336	0	0	5.97944	6.52242	0.608312	1.75102	0	0	3.85636	0	4.091	5.66179	3.92648	0	2.78191	0	0	0	0	0.491333	0	0.590695	1.5725	0	0	3.05839	4.76906	5.42541	4.01696	0.578715	7.26959	0.544896	13.4188	3.5299	0	0	0	0	0	0	0	7.36509	6.1094	0	0	4.63663	0	1.52302	23.5163	16.2364	1.44447	7.88863	11.2734	7.64502	0.66684	5.4594	0.488827	0.670121	0	0	0	1.58143	0	0.182446	0	0	0.44633	0	0	5.18179	0	5.04478	22.2512	0	0	0	0	0.810663	2.05831	7.16223	6.38138	11.2208	3.81044	6.8974	2.06734	1.50104
ANAEROFRUCAT-PWY	homolactic fermentation	290.683	177.335	282.037	291.458	377.957	323.09	169.462	187.549	151.527	200.007	141.365	151.325	143.898	322.813	215.354	229.05	228.433	187.687	324.771	78.5317	237.998	275.11	300.107	228.974	198.723	214.969	154.268	181.596	244.407	306.531	279.151	224.259	218.105	241.761	176.436	285.832	119.051	310.182	230.389	216.716	191.78	212.123	170.572	218.537	154.912	333.125	383.137	413.123	156.151	85.3268	127.631	241.86	202.159	302.56	325.502	143.053	266.265	292.375	247.189	294.921	327.786	281.843	245.526	1.26078	336.6	292.464	357.742	356.964	368.979	0	208.855	242.849	261.177	200.894	284.856	150.777	171.698	366.828	338.629	348.436	163.838	202.074	317.597	233.722	223.679	134.499	132.892	298.626	334.131	330.895	148.724	203.537	199.57	267.251	276.437	239.552	216.993	216.972	224.911	257.291	246.24	324.583	168.235	335.349	341.911	253.495	196.728	265.501	235.219	158.707	231.635	89.7412	196.129	263.824	232.12
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	663.454	307.221	482.154	635.504	671.765	653.226	307.237	413.29	415.188	448.74	468.59	485.433	477.125	436.592	426.966	400.222	425.63	432.33	538.259	342	510.972	410.387	409.012	426.218	383.238	392.956	393.823	339.084	419.807	505.896	438.987	390.538	330.068	495.238	422.899	498.057	340.873	460.91	433.361	436.77	416.101	460.839	471.012	452.551	455.781	433.481	466.705	488.921	442.833	273.299	361.501	379.226	316.638	364.034	469.187	423.009	468.493	389.653	389.157	448.391	475.756	405.459	455.407	3.29505	418.163	384.032	415.899	417.577	421.552	0	407.642	425.287	451.554	408.831	447.664	445.881	432.801	528.853	530.835	499.801	291.09	466.139	428.588	457.505	424.822	377.397	401.45	407.583	418.213	397.9	484.461	322.495	418.782	470.4	425.314	497.775	495.093	483.333	458.956	455.712	452.583	467.52	252.964	425.535	429.867	647.1	278.865	434.45	440.809	347.557	353.313	284.187	379.448	452.535	424.866
ARG+POLYAMINE-SYN	polyamine biosynthesis	57.1162	2.49378	0	42.786	24.9533	44.7447	5.1569	30.512	37.1158	24.6972	4.55065	0	0	0	3.72181	53.499	15.857	36.9761	5.15927	0	14.4345	46.9991	59.9144	53.7445	6.9281	40.2238	7.88972	4.22787	0	65.3414	56.8338	12.6725	8.17866	48.5967	42.9257	64.1984	0	21.8783	18.2077	12.8932	11.1088	15.0142	56.5075	17.273	39.9806	234.833	263.81	290.435	27.5129	7.76666	8.00162	8.26838	0	145.553	28.1835	0	33.0168	7.28954	4.51314	28.0905	31.7647	5.9441	10.8059	0	234.858	179.189	181.695	173.976	191.765	0	45.4135	43.4353	60.5369	33.0226	48.1701	8.46566	8.44777	9.84412	9.40952	4.17942	5.62395	12.8066	79.7064	18.9638	59.9939	3.06275	2.64749	105.587	160.048	141.237	11.1606	68.283	33.0881	14.1129	11.1228	15.399	30.298	20.8012	36.8748	17.636	17.1605	166.666	0	125.564	162.256	55.964	8.74589	13.1905	16.732	7.34283	78.0305	4.43228	4.31422	73.0417	11.9825
ARGDEG-PWY	L-arginine, putrescine, and 4-aminobutanoate degradation	0	0	0	0	0	0	0	0	1.26635	1.3274	0	0	0	0	0	0.875372	0.861481	0	0	0	0	9.96181	13.1122	12.2111	0	3.85548	0	0	0	9.04556	8.60279	0.724359	0	6.43281	5.39208	11.2053	0	0	0	0	0	0	0	0	0	36.6573	44.4551	54.6729	2.9007	0	0	0	0	35.0308	0	0	0	0	0	0.656083	0.547808	0	0	0	49.5161	37.6316	33.8829	34.2264	35.1872	0	1.35618	0	0	0	1.59761	0	0	0	0.724685	0	0	0	0	0	12.3597	0	0	18.3446	34.8393	31.2645	0.92601	15.3087	13.2417	0	0	0	0	0	0	0	0	30.3906	0	21.0993	26.6826	0	0	0	0	0	1.53122	0	0	12.9916	0
ARGININE-SYN4-PWY	L-ornithine biosynthesis II	2.62292	21.3938	50.2014	38.0827	18.2598	55.0994	35.6525	294.253	266.049	297.442	428.901	472.297	455.688	370.485	384.143	263.066	31.2952	396.66	310.227	0	40.5359	391.873	375.945	441.597	309.04	281.338	362.986	310.939	326.171	315.28	462.792	75.9441	76.8131	304.969	319.994	319.149	75.8397	247.47	359.649	297.847	290.513	300.097	320.784	319.848	350.992	136.092	161.139	185.697	377.166	373.896	403.917	156.434	120.122	105.364	438.318	271.513	374.476	286.553	96.4455	282.61	271.123	228.213	285.347	0.729456	155.217	116.208	145.873	139.644	141.018	0	252.666	278.922	289.977	278.028	275.691	366.765	359.587	287.377	276.887	334.663	37.9203	57.0273	286.952	339.809	299.771	366.742	421.366	304.761	238.372	210.192	192.697	357.91	449.11	345.887	365.244	428.021	366.042	371.218	274.03	269.823	297.059	111.336	744.861	322.561	275.676	1.93798	46.7749	68.1074	36.9972	33.8226	51.6042	14.2442	33.5446	307.754	65.0118
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	652.078	314.783	235.874	605.222	657.035	609.044	187.47	154.032	206.349	189.911	215.076	130.571	163.229	265.443	252.619	156.997	366.185	71.2374	255.002	258.693	315.14	157.127	148.713	139.866	148.149	240.177	161.84	122.537	205.985	246.056	200.879	307.555	272.086	257.593	232.136	265.094	162.294	332.895	190.719	184.019	186.609	200.283	264.918	183.049	213.454	389.788	408.103	426.069	140.608	85.6272	136.037	202.73	172.457	320.646	162.008	274.111	199.561	213.427	278.749	191.426	227.303	225.172	180.2	0	312.434	426.034	398.036	397.266	418.476	0	197.165	178.975	217.437	155.778	220.716	221.716	214.373	329.19	336.707	308.778	369.854	365.657	192.384	244.367	231.038	118.832	95.0919	208.734	285.495	254.903	77.4861	170.89	119.007	264.154	190.203	205.811	246.483	244.094	256.451	266.342	237.655	276.993	46.8127	264.586	251.736	628.787	167.036	240.596	332.497	252.701	284.2	321.208	293.259	228.952	247.96
