clade_name	relative_abundance	mgID
k__Bacteria	100	c21_1835_3_S30
k__Bacteria|p__Bacteroidetes	69.5115	c21_1835_3_S30
k__Bacteria|p__Firmicutes	26.54527	c21_1835_3_S30
k__Bacteria|p__Actinobacteria	2.55375	c21_1835_3_S30
k__Bacteria|p__Proteobacteria	1.31862	c21_1835_3_S30
k__Bacteria|p__Verrucomicrobia	0.07	c21_1835_3_S30
k__Bacteria|p__Bacteria_unclassified	8.5e-4	c21_1835_3_S30
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	69.5115	c21_1835_3_S30
k__Bacteria|p__Firmicutes|c__Clostridia	24.66087	c21_1835_3_S30
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	1.45293	c21_1835_3_S30
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1.2134	c21_1835_3_S30
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.75373	c21_1835_3_S30
k__Bacteria|p__Firmicutes|c__Bacilli	0.3584	c21_1835_3_S30
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.10262	c21_1835_3_S30
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.07	c21_1835_3_S30
k__Bacteria|p__Firmicutes|c__CFGB1292	0.062	c21_1835_3_S30
k__Bacteria|p__Actinobacteria|c__Actinomycetia	0.04004	c21_1835_3_S30
k__Bacteria|p__Firmicutes|c__Tissierellia	0.00618	c21_1835_3_S30
k__Bacteria|p__Firmicutes|c__CFGB76539	0.00427	c21_1835_3_S30
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.0026	c21_1835_3_S30
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	8.5e-4	c21_1835_3_S30
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	69.5115	c21_1835_3_S30
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	24.2723	c21_1835_3_S30
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	1.45293	c21_1835_3_S30
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	1.2134	c21_1835_3_S30
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	0.45132	c21_1835_3_S30
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.38807	c21_1835_3_S30
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.35601	c21_1835_3_S30
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	0.30241	c21_1835_3_S30
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.07	c21_1835_3_S30
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	0.06892	c21_1835_3_S30
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	0.062	c21_1835_3_S30
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	0.04004	c21_1835_3_S30
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	0.03371	c21_1835_3_S30
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	0.00618	c21_1835_3_S30
k__Bacteria|p__Firmicutes|c__CFGB76539|o__OFGB76539	0.00427	c21_1835_3_S30
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.0026	c21_1835_3_S30
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.0024	c21_1835_3_S30
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	8.5e-4	c21_1835_3_S30
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	5e-4	c21_1835_3_S30
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	62.01697	c21_1835_3_S30
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	13.27132	c21_1835_3_S30
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	8.9017	c21_1835_3_S30
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	3.12647	c21_1835_3_S30
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2.77827	c21_1835_3_S30
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	1.47065	c21_1835_3_S30
