clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	54.80955	
k__Bacteria|p__Bacteroidetes	2|976	28.16208	
k__Bacteria|p__Proteobacteria	2|1224	9.74438	
k__Bacteria|p__Bacteria_unclassified	2|	2.45822	
k__Bacteria|p__Actinobacteria	2|201174	2.4101	
k__Bacteria|p__Tenericutes	2|544448	2.20941	
k__Bacteria|p__Verrucomicrobia	2|74201	0.20627	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	45.13272	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	19.05918	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	9.74438	
k__Bacteria|p__Bacteroidetes|c__CFGB76111	2|976|	9.10291	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.38294	
k__Bacteria|p__Bacteroidetes|c__CFGB1791	2|976|	2.20941	
k__Bacteria|p__Firmicutes|c__CFGB28980	2|1239|	1.64526	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	1.4281	
k__Bacteria|p__Firmicutes|c__CFGB76293	2|1239|	1.12055	
k__Bacteria|p__Firmicutes|c__CFGB76539	2|1239|	0.9692	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064	2||	0.83267	
k__Bacteria|p__Firmicutes|c__CFGB76077	2|1239|	0.57199	
k__Bacteria|p__Firmicutes|c__CFGB6645	2|1239|	0.53747	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.46292	
k__Bacteria|p__Firmicutes|c__CFGB9827	2|1239|	0.43747	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.35903	
k__Bacteria|p__Firmicutes|c__CFGB76355	2|1239|	0.23109	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.20627	
k__Bacteria|p__Firmicutes|c__CFGB76790	2|1239|	0.16623	
k__Bacteria|p__Firmicutes|c__CFGB10349	2|1239|	0.16166	
k__Bacteria|p__Firmicutes|c__CFGB28439	2|1239|	0.14625	
k__Bacteria|p__Firmicutes|c__CFGB76351	2|1239|	0.14212	
k__Bacteria|p__Firmicutes|c__CFGB10344	2|1239|	0.13854	
k__Bacteria|p__Firmicutes|c__CFGB76322	2|1239|	0.13197	
k__Bacteria|p__Firmicutes|c__CFGB37314	2|1239|	0.1311	
k__Bacteria|p__Firmicutes|c__CFGB76576	2|1239|	0.12143	
k__Bacteria|p__Firmicutes|c__CFGB76310	2|1239|	0.10899	
k__Bacteria|p__Firmicutes|c__CFGB76235	2|1239|	0.10561	
k__Bacteria|p__Firmicutes|c__CFGB28310	2|1239|	0.10543	
k__Bacteria|p__Firmicutes|c__CFGB9633	2|1239|	0.10004	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76313	2||	0.08821	
k__Bacteria|p__Firmicutes|c__CFGB76170	2|1239|	0.08678	
k__Bacteria|p__Firmicutes|c__CFGB76074	2|1239|	0.07793	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.07754	
k__Bacteria|p__Firmicutes|c__CFGB49426	2|1239|	0.07222	
k__Bacteria|p__Firmicutes|c__CFGB75925	2|1239|	0.05957	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.05069	
k__Bacteria|p__Firmicutes|c__CFGB76536	2|1239|	0.04598	
k__Bacteria|p__Firmicutes|c__CFGB9589	2|1239|	0.03817	
k__Bacteria|p__Firmicutes|c__CFGB9644	2|1239|	0.02902	
k__Bacteria|p__Firmicutes|c__CFGB9517	2|1239|	0.0273	
k__Bacteria|p__Firmicutes|c__CFGB8152	2|1239|	0.02696	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.02051	
k__Bacteria|p__Firmicutes|c__CFGB1494	2|1239|	0.01955	
k__Bacteria|p__Firmicutes|c__CFGB10253	2|1239|	0.01028	
k__Bacteria|p__Firmicutes|c__CFGB9479	2|1239|	0.00987	
k__Bacteria|p__Firmicutes|c__CFGB73904	2|1239|	0.00919	
k__Bacteria|p__Firmicutes|c__CFGB10289	2|1239|	0.00887	
k__Bacteria|p__Firmicutes|c__CFGB76081	2|1239|	0.00795	
k__Bacteria|p__Firmicutes|c__CFGB76226	2|1239|	0.0069	
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	2|201174|84992	0.00665	
k__Bacteria|p__Firmicutes|c__CFGB28820	2|1239|	0.00466	
k__Bacteria|p__Firmicutes|c__CFGB72709	2|1239|	0.00404	
k__Bacteria|p__Firmicutes|c__CFGB10667	2|1239|	0.00373	
k__Bacteria|p__Firmicutes|c__CFGB28879	2|1239|	0.00345	
k__Bacteria|p__Firmicutes|c__CFGB9506	2|1239|	0.00201	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76138	2||	0.00109	
k__Bacteria|p__Firmicutes|c__CFGB76565	2|1239|	0.00031	
k__Bacteria|p__Firmicutes|c__CFGB9659	2|1239|	0.00031	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	45.05454	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	19.05918	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified	2|1224|28216|	9.44531	
k__Bacteria|p__Bacteroidetes|c__CFGB76111|o__OFGB76111	2|976||	9.10291	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	2.38294	
k__Bacteria|p__Bacteroidetes|c__CFGB1791|o__OFGB1791	2|976||	2.20941	
k__Bacteria|p__Firmicutes|c__CFGB28980|o__OFGB28980	2|1239||	1.64526	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|||	1.4281	
k__Bacteria|p__Firmicutes|c__CFGB76293|o__OFGB76293	2|1239||	1.12055	
k__Bacteria|p__Firmicutes|c__CFGB76539|o__OFGB76539	2|1239||	0.9692	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064|o__OFGB76064	2|||	0.83267	
k__Bacteria|p__Firmicutes|c__CFGB76077|o__OFGB76077	2|1239||	0.57199	
k__Bacteria|p__Firmicutes|c__CFGB6645|o__OFGB6645	2|1239||	0.53747	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.46292	
k__Bacteria|p__Firmicutes|c__CFGB9827|o__OFGB9827	2|1239||	0.43747	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.34272	
k__Bacteria|p__Firmicutes|c__CFGB76355|o__OFGB76355	2|1239||	0.23109	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.20627	
k__Bacteria|p__Firmicutes|c__CFGB76790|o__OFGB76790	2|1239||	0.16623	
k__Bacteria|p__Firmicutes|c__CFGB10349|o__OFGB10349	2|1239||	0.16166	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.15088	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	2|1224|28216|206389	0.14818	
k__Bacteria|p__Firmicutes|c__CFGB28439|o__OFGB28439	2|1239||	0.14625	
k__Bacteria|p__Firmicutes|c__CFGB76351|o__OFGB76351	2|1239||	0.14212	
k__Bacteria|p__Firmicutes|c__CFGB10344|o__OFGB10344	2|1239||	0.13854	
k__Bacteria|p__Firmicutes|c__CFGB76322|o__OFGB76322	2|1239||	0.13197	
k__Bacteria|p__Firmicutes|c__CFGB37314|o__OFGB37314	2|1239||	0.1311	
k__Bacteria|p__Firmicutes|c__CFGB76576|o__OFGB76576	2|1239||	0.12143	
k__Bacteria|p__Firmicutes|c__CFGB76310|o__OFGB76310	2|1239||	0.10899	
k__Bacteria|p__Firmicutes|c__CFGB76235|o__OFGB76235	2|1239||	0.10561	
k__Bacteria|p__Firmicutes|c__CFGB28310|o__OFGB28310	2|1239||	0.10543	
k__Bacteria|p__Firmicutes|c__CFGB9633|o__OFGB9633	2|1239||	0.10004	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76313|o__OFGB76313	2|||	0.08821	
k__Bacteria|p__Firmicutes|c__CFGB76170|o__OFGB76170	2|1239||	0.08678	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.07819	
k__Bacteria|p__Firmicutes|c__CFGB76074|o__OFGB76074	2|1239||	0.07793	
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	0.07754	
k__Bacteria|p__Firmicutes|c__CFGB49426|o__OFGB49426	2|1239||	0.07222	
k__Bacteria|p__Firmicutes|c__CFGB75925|o__OFGB75925	2|1239||	0.05957	
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2|1239|1737404|1737405	0.05069	
k__Bacteria|p__Firmicutes|c__CFGB76536|o__OFGB76536	2|1239||	0.04598	
k__Bacteria|p__Firmicutes|c__CFGB9589|o__OFGB9589	2|1239||	0.03817	
k__Bacteria|p__Firmicutes|c__CFGB9644|o__OFGB9644	2|1239||	0.02902	
k__Bacteria|p__Firmicutes|c__CFGB9517|o__OFGB9517	2|1239||	0.0273	
k__Bacteria|p__Firmicutes|c__CFGB8152|o__OFGB8152	2|1239||	0.02696	
k__Bacteria|p__Firmicutes|c__CFGB1494|o__OFGB1494	2|1239||	0.01955	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.01631	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	0.01231	
k__Bacteria|p__Firmicutes|c__CFGB10253|o__OFGB10253	2|1239||	0.01028	
k__Bacteria|p__Firmicutes|c__CFGB9479|o__OFGB9479	2|1239||	0.00987	
k__Bacteria|p__Firmicutes|c__CFGB73904|o__OFGB73904	2|1239||	0.00919	
k__Bacteria|p__Firmicutes|c__CFGB10289|o__OFGB10289	2|1239||	0.00887	
k__Bacteria|p__Firmicutes|c__CFGB76081|o__OFGB76081	2|1239||	0.00795	
k__Bacteria|p__Firmicutes|c__CFGB76226|o__OFGB76226	2|1239||	0.0069	
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	2|201174|84992|84993	0.00665	
k__Bacteria|p__Firmicutes|c__CFGB28820|o__OFGB28820	2|1239||	0.00466	
