clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	50.57572	
k__Bacteria|p__Bacteroidetes	2|976	37.39649	
k__Bacteria|p__Proteobacteria	2|1224	4.49797	
k__Bacteria|p__Actinobacteria	2|201174	4.26651	
k__Bacteria|p__Bacteria_unclassified	2|	2.88945	
k__Bacteria|p__Verrucomicrobia	2|74201	0.20511	
k__Bacteria|p__Tenericutes	2|544448	0.16875	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	29.14972	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	16.51655	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	10.63091	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	10.39251	
k__Bacteria|p__Bacteroidetes|c__CFGB635	2|976|	6.48395	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	5.73013	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	4.4561	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.44089	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	1.74089	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.4384	
k__Bacteria|p__Firmicutes|c__CFGB28980	2|1239|	1.02463	
k__Bacteria|p__Bacteroidetes|c__CFGB76111	2|976|	0.86547	
k__Bacteria|p__Firmicutes|c__CFGB76077	2|1239|	0.83612	
k__Bacteria|p__Firmicutes|c__CFGB6645	2|1239|	0.68318	
k__Bacteria|p__Firmicutes|c__CFGB72926	2|1239|	0.62439	
k__Bacteria|p__Bacteroidetes|c__CFGB9397	2|976|	0.57064	
k__Bacteria|p__Firmicutes|c__CFGB9659	2|1239|	0.41054	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB8157	2|95818|	0.40039	
k__Bacteria|p__Firmicutes|c__CFGB10289	2|1239|	0.38749	
k__Bacteria|p__Bacteria_unclassified|c__CFGB73496	2||	0.36958	
k__Bacteria|p__Firmicutes|c__CFGB76539	2|1239|	0.31374	
k__Bacteria|p__Firmicutes|c__CFGB9479	2|1239|	0.27638	
k__Bacteria|p__Firmicutes|c__CFGB76074	2|1239|	0.23789	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.20511	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064	2||	0.20482	
k__Bacteria|p__Firmicutes|c__CFGB76310	2|1239|	0.17597	
k__Bacteria|p__Bacteroidetes|c__CFGB1791	2|976|	0.16875	
k__Bacteria|p__Firmicutes|c__CFGB9827	2|1239|	0.16317	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.12086	
k__Bacteria|p__Firmicutes|c__CFGB10667	2|1239|	0.09467	
k__Bacteria|p__Firmicutes|c__CFGB76322	2|1239|	0.06684	
k__Bacteria|p__Firmicutes|c__CFGB9644	2|1239|	0.06304	
k__Bacteria|p__Firmicutes|c__CFGB49426	2|1239|	0.06004	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.04187	
k__Bacteria|p__Firmicutes|c__CFGB10344	2|1239|	0.02951	
k__Bacteria|p__Firmicutes|c__CFGB8152	2|1239|	0.02199	
k__Bacteria|p__Firmicutes|c__CFGB1494	2|1239|	0.02112	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76313	2||	0.02094	
k__Bacteria|p__Firmicutes|c__CFGB75984	2|1239|	0.01925	
k__Bacteria|p__Firmicutes|c__CFGB28439	2|1239|	0.01853	
k__Bacteria|p__Firmicutes|c__CFGB76355	2|1239|	0.01792	
k__Bacteria|p__Firmicutes|c__CFGB76293	2|1239|	0.01584	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76138	2||	0.0135	
k__Bacteria|p__Firmicutes|c__CFGB9633	2|1239|	0.01174	
k__Bacteria|p__Firmicutes|c__CFGB76081	2|1239|	0.01086	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76244	2||	0.0091	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76311	2||	0.00715	
k__Bacteria|p__Firmicutes|c__CFGB76308	2|1239|	0.00511	
k__Bacteria|p__Firmicutes|c__CFGB76790	2|1239|	0.00196	
k__Bacteria|p__Firmicutes|c__CFGB28941	2|1239|	0.00084	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	29.14972	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	15.92098	
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2|1239|1737404|1737405	10.63091	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	10.0837	
k__Bacteria|p__Bacteroidetes|c__CFGB635|o__OFGB635	2|976||	6.48395	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	5.73013	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	4.4561	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|||	1.74089	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.63678	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	1.4384	
k__Bacteria|p__Firmicutes|c__CFGB28980|o__OFGB28980	2|1239||	1.02463	
k__Bacteria|p__Bacteroidetes|c__CFGB76111|o__OFGB76111	2|976||	0.86547	
k__Bacteria|p__Firmicutes|c__CFGB76077|o__OFGB76077	2|1239||	0.83612	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.8041	
k__Bacteria|p__Firmicutes|c__CFGB6645|o__OFGB6645	2|1239||	0.68318	
