clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	47.66948	
k__Bacteria|p__Bacteroidetes	2|976	34.50379	
k__Bacteria|p__Proteobacteria	2|1224	8.49825	
k__Bacteria|p__Bacteria_unclassified	2|	6.7835	
k__Bacteria|p__Actinobacteria	2|201174	1.59868	
k__Bacteria|p__Verrucomicrobia	2|74201	0.84199	
k__Bacteria|p__Tenericutes	2|544448	0.10432	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	26.70954	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	19.34744	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	8.05886	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	7.81671	
k__Bacteria|p__Bacteroidetes|c__CFGB635	2|976|	4.92712	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	4.30417	
k__Bacteria|p__Firmicutes|c__CFGB76539	2|1239|	2.82189	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB8157	2|95818|	2.76721	
k__Bacteria|p__Bacteroidetes|c__CFGB76111	2|976|	2.24986	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	1.68868	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.34609	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.15802	
k__Bacteria|p__Firmicutes|c__CFGB76074	2|1239|	1.10076	
k__Bacteria|p__Firmicutes|c__CFGB76322	2|1239|	0.98669	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.84199	
k__Bacteria|p__Firmicutes|c__CFGB76077	2|1239|	0.81123	
k__Bacteria|p__Firmicutes|c__CFGB8152	2|1239|	0.79342	
k__Bacteria|p__Firmicutes|c__CFGB72926	2|1239|	0.76494	
k__Bacteria|p__Firmicutes|c__CFGB76293	2|1239|	0.75423	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.62793	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064	2||	0.60309	
k__Bacteria|p__Bacteroidetes|c__CFGB9397	2|976|	0.59336	
k__Bacteria|p__Firmicutes|c__CFGB9644	2|1239|	0.5713	
k__Bacteria|p__Firmicutes|c__CFGB76354	2|1239|	0.54442	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76311	2||	0.50056	
k__Bacteria|p__Firmicutes|c__CFGB9479	2|1239|	0.49169	
k__Bacteria|p__Firmicutes|c__CFGB9827	2|1239|	0.47334	
k__Bacteria|p__Firmicutes|c__CFGB49426	2|1239|	0.26471	
k__Bacteria|p__Firmicutes|c__CFGB28439	2|1239|	0.24653	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76313	2||	0.21908	
k__Bacteria|p__Firmicutes|c__CFGB1494	2|1239|	0.17344	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76138	2||	0.15568	
k__Bacteria|p__Firmicutes|c__CFGB76308	2|1239|	0.13186	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.1077	
k__Bacteria|p__Firmicutes|c__CFGB9506	2|1239|	0.10643	
k__Bacteria|p__Bacteroidetes|c__CFGB1791	2|976|	0.10432	
k__Bacteria|p__Firmicutes|c__CFGB76576	2|1239|	0.08641	
k__Bacteria|p__Firmicutes|c__CFGB76081	2|1239|	0.08041	
k__Bacteria|p__Firmicutes|c__CFGB6645	2|1239|	0.06337	
k__Bacteria|p__Firmicutes|c__CFGB48875	2|1239|	0.04979	
k__Bacteria|p__Firmicutes|c__CFGB76351	2|1239|	0.04543	
k__Bacteria|p__Firmicutes|c__CFGB9960	2|1239|	0.03577	
k__Bacteria|p__Proteobacteria|c__CFGB76404	2|1224|	0.03535	
k__Bacteria|p__Firmicutes|c__CFGB76355	2|1239|	0.03318	
k__Bacteria|p__Firmicutes|c__CFGB76565	2|1239|	0.03316	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.02536	
k__Bacteria|p__Firmicutes|c__CFGB76310	2|1239|	0.02004	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.01826	
k__Bacteria|p__Firmicutes|c__CFGB1814	2|1239|	0.01369	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76244	2||	0.0132	
k__Bacteria|p__Firmicutes|c__CFGB9633	2|1239|	0.01	
k__Bacteria|p__Firmicutes|c__CFGB76071	2|1239|	0.00793	
k__Bacteria|p__Firmicutes|c__CFGB76790	2|1239|	0.00732	
k__Bacteria|p__Firmicutes|c__CFGB10667	2|1239|	0.00262	
k__Bacteria|p__Firmicutes|c__CFGB75984	2|1239|	0.00169	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	26.70954	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	18.22186	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	7.81671	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	6.38489	
k__Bacteria|p__Bacteroidetes|c__CFGB635|o__OFGB635	2|976||	4.92712	
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2|1239|1737404|1737405	4.30417	
k__Bacteria|p__Firmicutes|c__CFGB76539|o__OFGB76539	2|1239||	2.82189	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB8157|o__OFGB8157	2|95818||	2.76721	
k__Bacteria|p__Bacteroidetes|c__CFGB76111|o__OFGB76111	2|976||	2.24986	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|||	1.68868	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	1.67397	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.34609	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	1.12558	
k__Bacteria|p__Firmicutes|c__CFGB76074|o__OFGB76074	2|1239||	1.10076	
k__Bacteria|p__Firmicutes|c__CFGB76322|o__OFGB76322	2|1239||	0.98669	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.84199	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.81957	
k__Bacteria|p__Firmicutes|c__CFGB76077|o__OFGB76077	2|1239||	0.81123	
k__Bacteria|p__Firmicutes|c__CFGB8152|o__OFGB8152	2|1239||	0.79342	
k__Bacteria|p__Firmicutes|c__CFGB72926|o__OFGB72926	2|1239||	0.76494	
k__Bacteria|p__Firmicutes|c__CFGB76293|o__OFGB76293	2|1239||	0.75423	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064|o__OFGB76064	2|||	0.60309	
k__Bacteria|p__Bacteroidetes|c__CFGB9397|o__OFGB9397	2|976||	0.59336	
k__Bacteria|p__Firmicutes|c__CFGB9644|o__OFGB9644	2|1239||	0.5713	
k__Bacteria|p__Firmicutes|c__CFGB76354|o__OFGB76354	2|1239||	0.54442	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.5301	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76311|o__OFGB76311	2|||	0.50056	
k__Bacteria|p__Firmicutes|c__CFGB9479|o__OFGB9479	2|1239||	0.49169	
k__Bacteria|p__Firmicutes|c__CFGB9827|o__OFGB9827	2|1239||	0.47334	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.33845	
k__Bacteria|p__Firmicutes|c__CFGB49426|o__OFGB49426	2|1239||	0.26471	
k__Bacteria|p__Firmicutes|c__CFGB28439|o__OFGB28439	2|1239||	0.24653	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76313|o__OFGB76313	2|||	0.21908	
k__Bacteria|p__Firmicutes|c__CFGB1494|o__OFGB1494	2|1239||	0.17344	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76138|o__OFGB76138	2|||	0.15568	
k__Bacteria|p__Firmicutes|c__CFGB76308|o__OFGB76308	2|1239||	0.13186	
k__Bacteria|p__Firmicutes|c__CFGB9506|o__OFGB9506	2|1239||	0.10643	
k__Bacteria|p__Bacteroidetes|c__CFGB1791|o__OFGB1791	2|976||	0.10432	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	2|1224|28216|206389	0.09783	
k__Bacteria|p__Firmicutes|c__CFGB76576|o__OFGB76576	2|1239||	0.08641	
k__Bacteria|p__Firmicutes|c__CFGB76081|o__OFGB76081	2|1239||	0.08041	
k__Bacteria|p__Firmicutes|c__CFGB6645|o__OFGB6645	2|1239||	0.06337	
k__Bacteria|p__Firmicutes|c__CFGB48875|o__OFGB48875	2|1239||	0.04979	
k__Bacteria|p__Firmicutes|c__CFGB76351|o__OFGB76351	2|1239||	0.04543	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	0.04392	
k__Bacteria|p__Firmicutes|c__CFGB9960|o__OFGB9960	2|1239||	0.03577	
k__Bacteria|p__Proteobacteria|c__CFGB76404|o__OFGB76404	2|1224||	0.03535	
k__Bacteria|p__Firmicutes|c__CFGB76355|o__OFGB76355	2|1239||	0.03318	
k__Bacteria|p__Firmicutes|c__CFGB76565|o__OFGB76565	2|1239||	0.03316	
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	0.02536	
k__Bacteria|p__Firmicutes|c__CFGB76310|o__OFGB76310	2|1239||	0.02004	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.01826	
k__Bacteria|p__Firmicutes|c__CFGB1814|o__OFGB1814	2|1239||	0.01369	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76244|o__OFGB76244	2|||	0.0132	
k__Bacteria|p__Firmicutes|c__CFGB9633|o__OFGB9633	2|1239||	0.01	
k__Bacteria|p__Firmicutes|c__CFGB76071|o__OFGB76071	2|1239||	0.00793	
k__Bacteria|p__Firmicutes|c__CFGB76790|o__OFGB76790	2|1239||	0.00732	
k__Bacteria|p__Firmicutes|c__CFGB10667|o__OFGB10667	2|1239||	0.00262	
k__Bacteria|p__Firmicutes|c__CFGB75984|o__OFGB75984	2|1239||	0.00169	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	2|976|200643|171549|2005473	20.35183	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	9.68755	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	2|1224|28221|213115|194924	7.81671	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	6.38489	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified	2|976|200643|171549|	5.3578	
k__Bacteria|p__Bacteroidetes|c__CFGB635|o__OFGB635|f__FGB635	2|976|||	4.92712	
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae	2|1239|1737404|1737405|1570339	4.30417	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	4.21173	
k__Bacteria|p__Firmicutes|c__CFGB76539|o__OFGB76539|f__FGB76539	2|1239|||	2.82189	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB8157|o__OFGB8157|f__FGB8157	2|95818|||	2.76721	
k__Bacteria|p__Bacteroidetes|c__CFGB76111|o__OFGB76111|f__FGB76111	2|976|||	2.24986	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified	2||||	1.68868	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	2|1239|91061|1385|90964	1.67397	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	1.57297	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	1.32832	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified	2|1239|186801||	1.12558	
k__Bacteria|p__Firmicutes|c__CFGB76074|o__OFGB76074|f__FGB76074	2|1239|||	1.10076	
