clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	50.79469	
k__Bacteria|p__Bacteroidetes	2|976	40.45051	
k__Bacteria|p__Bacteria_unclassified	2|	4.81922	
k__Bacteria|p__Verrucomicrobia	2|74201	1.83346	
k__Bacteria|p__Proteobacteria	2|1224	1.56975	
k__Bacteria|p__Actinobacteria	2|201174	0.46281	
k__Bacteria|p__Tenericutes	2|544448	0.06955	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	40.41732	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	24.70722	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	15.81917	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	6.66041	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064	2||	2.10407	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	1.83346	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.55779	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	1.37541	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.24086	
k__Bacteria|p__Firmicutes|c__CFGB9644	2|1239|	0.59921	
k__Bacteria|p__Firmicutes|c__CFGB6645	2|1239|	0.46451	
k__Bacteria|p__Firmicutes|c__CFGB9659	2|1239|	0.28437	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.23609	
k__Bacteria|p__Firmicutes|c__CFGB49426	2|1239|	0.22732	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76311	2||	0.21459	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.19138	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76313	2||	0.16718	
k__Bacteria|p__Firmicutes|c__CFGB76293	2|1239|	0.15998	
k__Bacteria|p__Firmicutes|c__CFGB76170	2|1239|	0.15686	
k__Bacteria|p__Firmicutes|c__CFGB8152	2|1239|	0.14222	
k__Bacteria|p__Firmicutes|c__CFGB76074	2|1239|	0.13746	
k__Bacteria|p__Firmicutes|c__CFGB76539	2|1239|	0.11703	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76138	2||	0.08609	
k__Bacteria|p__Firmicutes|c__CFGB76077	2|1239|	0.0748	
k__Bacteria|p__Bacteroidetes|c__CFGB1791	2|976|	0.06955	
k__Bacteria|p__Firmicutes|c__CFGB9479	2|1239|	0.06004	
k__Bacteria|p__Firmicutes|c__CFGB9827	2|1239|	0.05725	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB8157	2|95818|	0.04487	
k__Bacteria|p__Bacteroidetes|c__CFGB76111	2|976|	0.03319	
k__Bacteria|p__Firmicutes|c__CFGB28941	2|1239|	0.02505	
k__Bacteria|p__Firmicutes|c__CFGB76355	2|1239|	0.02352	
k__Bacteria|p__Firmicutes|c__CFGB75984	2|1239|	0.02225	
k__Bacteria|p__Firmicutes|c__CFGB28439	2|1239|	0.02149	
k__Bacteria|p__Firmicutes|c__CFGB76144	2|1239|	0.02139	
k__Bacteria|p__Firmicutes|c__CFGB9507	2|1239|	0.01995	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.01991	
k__Bacteria|p__Firmicutes|c__CFGB76310	2|1239|	0.01675	
k__Bacteria|p__Firmicutes|c__CFGB76790	2|1239|	0.01596	
k__Bacteria|p__Firmicutes|c__CFGB48875	2|1239|	0.01528	
k__Bacteria|p__Firmicutes|c__CFGB76322	2|1239|	0.01366	
k__Bacteria|p__Firmicutes|c__CFGB76235	2|1239|	0.01223	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.01181	
k__Bacteria|p__Firmicutes|c__CFGB28980	2|1239|	0.00065	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76244	2||	0.00048	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.00015	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	40.41732	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	24.52194	
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2|1239|1737404|1737405	15.81917	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	6.66041	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064|o__OFGB76064	2|||	2.10407	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	1.83346	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	1.54697	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|||	1.37541	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.20624	
k__Bacteria|p__Firmicutes|c__CFGB9644|o__OFGB9644	2|1239||	0.59921	
k__Bacteria|p__Firmicutes|c__CFGB6645|o__OFGB6645	2|1239||	0.46451	
k__Bacteria|p__Firmicutes|c__CFGB9659|o__OFGB9659	2|1239||	0.28437	
k__Bacteria|p__Firmicutes|c__CFGB49426|o__OFGB49426	2|1239||	0.22732	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	0.22598	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76311|o__OFGB76311	2|||	0.21459	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.18528	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76313|o__OFGB76313	2|||	0.16718	
k__Bacteria|p__Firmicutes|c__CFGB76293|o__OFGB76293	2|1239||	0.15998	
k__Bacteria|p__Firmicutes|c__CFGB76170|o__OFGB76170	2|1239||	0.15686	
k__Bacteria|p__Firmicutes|c__CFGB8152|o__OFGB8152	2|1239||	0.14222	
k__Bacteria|p__Firmicutes|c__CFGB76074|o__OFGB76074	2|1239||	0.13746	
