clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Bacteroidetes	2|976	66.80023	
k__Bacteria|p__Firmicutes	2|1239	17.3698	
k__Bacteria|p__Verrucomicrobia	2|74201	10.5057	
k__Bacteria|p__Synergistetes	2|508458	3.04091	
k__Bacteria|p__Proteobacteria	2|1224	2.09997	
k__Bacteria|p__Actinobacteria	2|201174	0.18178	
k__Bacteria|p__Bacteria_unclassified	2|	0.00161	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	66.80023	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	11.25772	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	10.5057	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	3.04697	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	3.04091	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	2.09997	
k__Bacteria|p__Firmicutes|c__CFGB76355	2|1239|	0.88081	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.18178	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.17883	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.17494	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.05684	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.04223	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.01423	
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	0.01024	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.00161	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	66.80023	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	10.5057	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	8.02455	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	3.04697	
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2|508458|649775|649776	3.04091	
