clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	47.64181	
k__Bacteria|p__Bacteroidetes	2|976	47.15776	
k__Bacteria|p__Bacteria_unclassified	2|	2.55292	
k__Bacteria|p__Actinobacteria	2|201174	2.41277	
k__Bacteria|p__Proteobacteria	2|1224	0.22343	
k__Bacteria|p__Verrucomicrobia	2|74201	0.0113	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	42.68574	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	36.10995	
k__Bacteria|p__Bacteroidetes|c__CFGB76111	2|976|	11.04781	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.41277	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	1.61009	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.10298	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.74115	
k__Bacteria|p__Firmicutes|c__CFGB76293	2|1239|	0.52714	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064	2||	0.34454	
k__Bacteria|p__Firmicutes|c__CFGB49426	2|1239|	0.32257	
k__Bacteria|p__Firmicutes|c__CFGB76077	2|1239|	0.30448	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76313	2||	0.2324	
k__Bacteria|p__Firmicutes|c__CFGB76790	2|1239|	0.22607	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.22304	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.14858	
k__Bacteria|p__Firmicutes|c__CFGB9827	2|1239|	0.11764	
k__Bacteria|p__Firmicutes|c__CFGB76355	2|1239|	0.10896	
k__Bacteria|p__Firmicutes|c__CFGB28877	2|1239|	0.07278	
k__Bacteria|p__Firmicutes|c__CFGB9479	2|1239|	0.04926	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76138	2||	0.04333	
k__Bacteria|p__Firmicutes|c__CFGB8152	2|1239|	0.04301	
k__Bacteria|p__Firmicutes|c__CFGB76322	2|1239|	0.02487	
k__Bacteria|p__Firmicutes|c__CFGB1494	2|1239|	0.02143	
k__Bacteria|p__Firmicutes|c__CFGB9517	2|1239|	0.01673	
k__Bacteria|p__Firmicutes|c__CFGB10253	2|1239|	0.01173	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.0113	
k__Bacteria|p__Firmicutes|c__CFGB76351	2|1239|	0.00965	
k__Bacteria|p__Firmicutes|c__CFGB28879	2|1239|	0.00361	
k__Bacteria|p__Firmicutes|c__CFGB9506	2|1239|	0.00066	
k__Bacteria|p__Firmicutes|c__CFGB76565	2|1239|	0.00054	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.00039	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.00017	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	42.58796	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	36.10995	
k__Bacteria|p__Bacteroidetes|c__CFGB76111|o__OFGB76111	2|976||	11.04781	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	2.41277	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|||	1.61009	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.10298	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.74115	
k__Bacteria|p__Firmicutes|c__CFGB76293|o__OFGB76293	2|1239||	0.52714	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064|o__OFGB76064	2|||	0.34454	
