clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Verrucomicrobia	2|74201	46.49767	
k__Bacteria|p__Firmicutes	2|1239	43.20031	
k__Bacteria|p__Proteobacteria	2|1224	10.17805	
k__Bacteria|p__Bacteroidetes	2|976	0.11582	
k__Bacteria|p__Actinobacteria	2|201174	0.00815	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	46.49767	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	43.13817	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	10.17568	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.11546	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	0.06038	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.00578	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.00236	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.00176	
k__Bacteria|p__Bacteroidetes|c__CFGB76111	2|976|	0.00036	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	46.49767	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	43.13817	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	10.17568	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.11546	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	0.06038	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	0.00578	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.00236	
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2|1239|1737404|1737405	0.00176	
k__Bacteria|p__Bacteroidetes|c__CFGB76111|o__OFGB76111	2|976||	0.00036	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	2|74201|203494|48461|1647988	46.49767	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	43.13817	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	10.17568	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	0.10631	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	0.04753	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	0.00966	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	0.00578	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	0.00371	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	2|976|200643|171549|2005473	0.00336	
