clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.99483	
k__Archaea	2157	0.00517	
k__Bacteria|p__Firmicutes	2|1239	48.53508	
k__Bacteria|p__Bacteroidetes	2|976	31.63169	
k__Bacteria|p__Proteobacteria	2|1224	9.34025	
k__Bacteria|p__Bacteria_unclassified	2|	6.87532	
k__Bacteria|p__Actinobacteria	2|201174	1.96295	
k__Bacteria|p__Tenericutes	2|544448	0.91737	
k__Bacteria|p__Verrucomicrobia	2|74201	0.73217	
k__Archaea|p__Thaumarchaeota	2157|651137	0.00517	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	25.07331	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	22.43393	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	8.63145	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	5.98078	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	4.46655	
k__Bacteria|p__Bacteroidetes|c__CFGB76111	2|976|	4.2419	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.69024	
k__Bacteria|p__Firmicutes|c__CFGB76539	2|1239|	3.15749	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.93556	
k__Bacteria|p__Bacteroidetes|c__CFGB635	2|976|	1.83576	
k__Bacteria|p__Firmicutes|c__CFGB28980	2|1239|	1.45039	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.14669	
k__Bacteria|p__Bacteroidetes|c__CFGB1791	2|976|	0.91737	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064	2||	0.75873	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.73217	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.70709	
k__Bacteria|p__Firmicutes|c__CFGB6645	2|1239|	0.65187	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.57125	
