clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	60.48612	
k__Bacteria|p__Bacteroidetes	2|976	26.58018	
k__Bacteria|p__Bacteria_unclassified	2|	6.64094	
k__Bacteria|p__Proteobacteria	2|1224	3.72761	
k__Bacteria|p__Actinobacteria	2|201174	1.894	
k__Bacteria|p__Tenericutes	2|544448	0.37894	
k__Bacteria|p__Verrucomicrobia	2|74201	0.29221	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	21.02937	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	21.00461	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	9.9991	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	8.41612	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	3.69389	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	3.49345	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	3.47585	
k__Bacteria|p__Bacteroidetes|c__CFGB635	2|976|	2.26164	
k__Bacteria|p__Bacteroidetes|c__CFGB76111	2|976|	1.94951	
k__Bacteria|p__Firmicutes|c__CFGB76293	2|1239|	1.66225	
k__Bacteria|p__Firmicutes|c__CFGB76539	2|1239|	1.56088	
k__Bacteria|p__Firmicutes|c__CFGB6645	2|1239|	1.2596	
k__Bacteria|p__Firmicutes|c__CFGB1494	2|1239|	1.18702	
k__Bacteria|p__Firmicutes|c__CFGB76077	2|1239|	1.00826	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064	2||	0.99775	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.9769	
k__Bacteria|p__Firmicutes|c__CFGB8152	2|1239|	0.96653	
k__Bacteria|p__Bacteroidetes|c__CFGB9397	2|976|	0.91964	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB8157	2|95818|	0.87247	
k__Bacteria|p__Firmicutes|c__CFGB9659	2|1239|	0.83507	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.54703	
k__Bacteria|p__Firmicutes|c__CFGB28980	2|1239|	0.50041	
k__Bacteria|p__Firmicutes|c__CFGB9479	2|1239|	0.48558	
k__Bacteria|p__Firmicutes|c__CFGB72926	2|1239|	0.47812	
k__Bacteria|p__Bacteroidetes|c__CFGB1791	2|976|	0.37894	
k__Bacteria|p__Firmicutes|c__CFGB76322	2|1239|	0.37581	
k__Bacteria|p__Firmicutes|c__CFGB49426	2|1239|	0.35431	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76311	2||	0.32268	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.29221	
k__Bacteria|p__Firmicutes|c__CFGB9827	2|1239|	0.25966	
k__Bacteria|p__Firmicutes|c__CFGB76074	2|1239|	0.23734	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76313	2||	0.22599	
k__Bacteria|p__Firmicutes|c__CFGB76790	2|1239|	0.20102	
k__Bacteria|p__Firmicutes|c__CFGB9633	2|1239|	0.19453	
k__Bacteria|p__Firmicutes|c__CFGB10667	2|1239|	0.16773	
k__Bacteria|p__Firmicutes|c__CFGB76308	2|1239|	0.13837	
k__Bacteria|p__Firmicutes|c__CFGB76576	2|1239|	0.13799	
k__Bacteria|p__Bacteria_unclassified|c__CFGB73496	2||	0.13219	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76138	2||	0.1307	
k__Bacteria|p__Firmicutes|c__CFGB9644	2|1239|	0.11166	
k__Bacteria|p__Firmicutes|c__CFGB76081	2|1239|	0.0938	
k__Bacteria|p__Firmicutes|c__CFGB76310	2|1239|	0.08267	
k__Bacteria|p__Firmicutes|c__CFGB28439	2|1239|	0.08142	
k__Bacteria|p__Firmicutes|c__CFGB9506	2|1239|	0.0635	
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	2|201174|84992	0.05813	
k__Bacteria|p__Firmicutes|c__CFGB76354	2|1239|	0.05278	
k__Bacteria|p__Firmicutes|c__CFGB76565	2|1239|	0.04934	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.03925	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.03373	
k__Bacteria|p__Firmicutes|c__CFGB76355	2|1239|	0.02549	
k__Bacteria|p__Firmicutes|c__CFGB48875	2|1239|	0.02479	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76244	2||	0.01735	
k__Bacteria|p__Firmicutes|c__CFGB76071	2|1239|	0.01513	
k__Bacteria|p__Firmicutes|c__CFGB1814	2|1239|	0.01131	
k__Bacteria|p__Firmicutes|c__CFGB9960	2|1239|	0.01015	
k__Bacteria|p__Firmicutes|c__CFGB75984	2|1239|	0.00941	
k__Bacteria|p__Firmicutes|c__CFGB76351	2|1239|	0.00076	
k__Bacteria|p__Firmicutes|c__CFGB76430	2|1239|	0.00032	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	21.02937	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	20.74184	
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2|1239|1737404|1737405	9.9991	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	7.44608	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	3.69389	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	3.49345	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|||	3.47585	
k__Bacteria|p__Bacteroidetes|c__CFGB635|o__OFGB635	2|976||	2.26164	
k__Bacteria|p__Bacteroidetes|c__CFGB76111|o__OFGB76111	2|976||	1.94951	
k__Bacteria|p__Firmicutes|c__CFGB76293|o__OFGB76293	2|1239||	1.66225	
k__Bacteria|p__Firmicutes|c__CFGB76539|o__OFGB76539	2|1239||	1.56088	
k__Bacteria|p__Firmicutes|c__CFGB6645|o__OFGB6645	2|1239||	1.2596	
k__Bacteria|p__Firmicutes|c__CFGB1494|o__OFGB1494	2|1239||	1.18702	
k__Bacteria|p__Firmicutes|c__CFGB76077|o__OFGB76077	2|1239||	1.00826	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064|o__OFGB76064	2|||	0.99775	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.97005	
k__Bacteria|p__Firmicutes|c__CFGB8152|o__OFGB8152	2|1239||	0.96653	
k__Bacteria|p__Bacteroidetes|c__CFGB9397|o__OFGB9397	2|976||	0.91964	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB8157|o__OFGB8157	2|95818||	0.87247	
k__Bacteria|p__Firmicutes|c__CFGB9659|o__OFGB9659	2|1239||	0.83507	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.66972	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	0.53609	
k__Bacteria|p__Firmicutes|c__CFGB28980|o__OFGB28980	2|1239||	0.50041	
k__Bacteria|p__Firmicutes|c__CFGB9479|o__OFGB9479	2|1239||	0.48558	
k__Bacteria|p__Firmicutes|c__CFGB72926|o__OFGB72926	2|1239||	0.47812	
