clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	58.48962	
k__Bacteria|p__Bacteroidetes	2|976	26.1729	
k__Bacteria|p__Proteobacteria	2|1224	10.0389	
k__Bacteria|p__Bacteria_unclassified	2|	3.14616	
k__Bacteria|p__Tenericutes	2|544448	1.20853	
k__Bacteria|p__Actinobacteria	2|201174	0.8729	
k__Bacteria|p__Verrucomicrobia	2|74201	0.05352	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.01747	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	25.60239	
k__Bacteria|p__Firmicutes|c__CFGB76539	2|1239|	18.80544	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	13.01527	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	10.02359	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	6.95987	
k__Bacteria|p__Firmicutes|c__CFGB76355	2|1239|	3.86445	
k__Bacteria|p__Firmicutes|c__CFGB76170	2|1239|	2.94036	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.55514	
k__Bacteria|p__Firmicutes|c__CFGB28439	2|1239|	2.39656	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	2.11028	
k__Bacteria|p__Bacteroidetes|c__CFGB1791	2|976|	1.20853	
k__Bacteria|p__Firmicutes|c__CFGB76351	2|1239|	1.01761	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.72083	
k__Bacteria|p__Firmicutes|c__CFGB1494	2|1239|	0.64814	
k__Bacteria|p__Firmicutes|c__CFGB76293	2|1239|	0.44215	
k__Bacteria|p__Firmicutes|c__CFGB6645	2|1239|	0.39263	
k__Bacteria|p__Bacteroidetes|c__CFGB9397	2|976|	0.36441	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.3554	
k__Bacteria|p__Firmicutes|c__CFGB76077	2|1239|	0.28465	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064	2||	0.28365	
