phylum	phyl_color	genus	gen_color
Verrucomicrobia	hotpink	Akkermansia	hotpink
Actinobacteria	brown	GGB37167	#D2B48C
Actinobacteria	brown	Adlercreutzia	#BD9674
Actinobacteria	brown	Collinsella	#A9785C
Actinobacteria	brown	Gordonibacter	#955A44
Actinobacteria	brown	Bifidobacterium	#8E4736
Actinobacteria	brown	Eggerthella	#963D32
Actinobacteria	brown	GGB45432	#9D332E
Actinobacteria	brown	Coriobacteriaceae_unclassified	#A52A2A
Actinobacteria	brown	Enterorhabdus	#9D281E
Actinobacteria	brown	Atopobiaceae_unclassified	#962712
Actinobacteria	brown	Raoultibacter	#8E2506
Actinobacteria	brown	Cutibacterium	#8B1F00
Actinobacteria	brown	GGB80032	#8B1500
Actinobacteria	brown	GGB30301	#8B0A00
Actinobacteria	brown	GGB28818	#8B0000
Proteobacteria	orange2	GGB6574	#FFFF00
Proteobacteria	orange2	Escherichia	#F4F400
Proteobacteria	orange2	Rheinheimera	#F2E800
Proteobacteria	orange2	Desulfovibrio	#FCD900
Proteobacteria	orange2	Enterobacter	#E6B605
Proteobacteria	orange2	Parasutterella	#D1980E
Proteobacteria	orange2	Zoogloea	#E5AC1C
Proteobacteria	orange2	GGB30667	#EEAA15
Proteobacteria	orange2	Klebsiella	#EE9A00
Firmicutes	lightskyblue3	Flavonifractor	#191970
Firmicutes	lightskyblue3	Anaerostipes	#1A1C72
Firmicutes	lightskyblue3	Ruthenibacterium	#1B2075
Firmicutes	lightskyblue3	Enterocloster	#1D2477
Firmicutes	lightskyblue3	Sporofaciens	#1E287A
Firmicutes	lightskyblue3	Lachnoclostridium	#1F2C7D
Firmicutes	lightskyblue3	Blautia	#212F7F
Firmicutes	lightskyblue3	Gemmiger	#223382
Firmicutes	lightskyblue3	Dysosmobacter	#233785
Firmicutes	lightskyblue3	Turicibacter	#253B87
Firmicutes	lightskyblue3	Clostridium	#263F8A
Firmicutes	lightskyblue3	Coprobacillus	#25418B
Firmicutes	lightskyblue3	Eubacteriales_unclassified	#22428B
Firmicutes	lightskyblue3	Lawsonibacter	#20438B
Firmicutes	lightskyblue3	Mediterraneibacter	#1E458B
Firmicutes	lightskyblue3	Ligilactobacillus	#1C468B
Firmicutes	lightskyblue3	Faecalicatena	#19478B
Firmicutes	lightskyblue3	Erysipelatoclostridium	#17498B
Firmicutes	lightskyblue3	Limosilactobacillus	#154A8B
Firmicutes	lightskyblue3	Holdemania	#134C8B
Firmicutes	lightskyblue3	GGB3109	#104D8B
Firmicutes	lightskyblue3	Bittarella	#0F4F8B
Firmicutes	lightskyblue3	Lachnospiraceae_unclassified	#0D528B
Firmicutes	lightskyblue3	Clostridioides	#0B548B
Firmicutes	lightskyblue3	Oscillospiraceae_unclassified	#0A578B
Firmicutes	lightskyblue3	GGB27905	#08598B
Firmicutes	lightskyblue3	GGB28404	#075C8B
Firmicutes	lightskyblue3	Fusicatenibacter	#055E8B
Firmicutes	lightskyblue3	Streptococcus	#04618B
Firmicutes	lightskyblue3	GGB58233	#02638B
Firmicutes	lightskyblue3	GGB28967	#00668B
Firmicutes	lightskyblue3	Candidatus_Alloruminococcus	#02678B
Firmicutes	lightskyblue3	Hungatella	#07678B
Firmicutes	lightskyblue3	Sellimonas	#0C678B
Firmicutes	lightskyblue3	Dielma	#11668B
Firmicutes	lightskyblue3	Lactonifactor	#17668B
Firmicutes	lightskyblue3	Intestinimonas	#1C658B
Firmicutes	lightskyblue3	GGB28791	#21658B
Firmicutes	lightskyblue3	GGB28422	#27658B
Firmicutes	lightskyblue3	GGB27860	#2C648B
Firmicutes	lightskyblue3	Cuneatibacter	#31648B
Firmicutes	lightskyblue3	GGB9719	#35628B
Firmicutes	lightskyblue3	GGB52130	#315A8E
Firmicutes	lightskyblue3	Lachnotalea	#2E5292
Firmicutes	lightskyblue3	Christensenellaceae_unclassified	#2A4995
Firmicutes	lightskyblue3	GGB33586	#274198
Firmicutes	lightskyblue3	Hydrogeniiclostidium	#23399B
Firmicutes	lightskyblue3	Erysipelotrichaceae_unclassified	#20319F
Firmicutes	lightskyblue3	Clostridiaceae_unclassified	#1C29A2
Firmicutes	lightskyblue3	Schaedlerella	#1921A5
Firmicutes	lightskyblue3	Evtepia	#1519A8
Firmicutes	lightskyblue3	Monoglobus	#1211AC
Firmicutes	lightskyblue3	Clostridia_unclassified	#100FAF
Firmicutes	lightskyblue3	Massiliimalia	#0E0DB2
Firmicutes	lightskyblue3	GGB9474	#0C0CB5
Firmicutes	lightskyblue3	Niameybacter	#0A0AB8
Firmicutes	lightskyblue3	Massilioclostridium	#0908BC
Firmicutes	lightskyblue3	Lactobacillus	#0707BF
Firmicutes	lightskyblue3	GGB27876	#0505C2
Firmicutes	lightskyblue3	GGB27929	#0303C5
Firmicutes	lightskyblue3	GGB28846	#0202C9
Firmicutes	lightskyblue3	Faecalibaculum	#0000CC
Firmicutes	lightskyblue3	GGB28793	#080DCD
Firmicutes	lightskyblue3	GGB28934	#131DCD
Firmicutes	lightskyblue3	GGB28949	#1D2DCD
Firmicutes	lightskyblue3	GGB28851	#283DCD
Firmicutes	lightskyblue3	GGB3661	#324ECD
Firmicutes	lightskyblue3	GGB28958	#3D5ECD
Firmicutes	lightskyblue3	GGB28864	#476ECD
Firmicutes	lightskyblue3	GGB30457	#527ECD
Firmicutes	lightskyblue3	GGB28836	#5D8FCD
Firmicutes	lightskyblue3	GGB28381	#679FCD
Firmicutes	lightskyblue3	GGB30454	#66A4CA
Firmicutes	lightskyblue3	GGB28330	#5DA2C7
Firmicutes	lightskyblue3	GGB29531	#55A0C4
Firmicutes	lightskyblue3	GGB28782	#4C9EC0
Firmicutes	lightskyblue3	GGB28875	#439CBD
Firmicutes	lightskyblue3	GGB27873	#3A9AB9
Firmicutes	lightskyblue3	GGB45514	#3198B6
Firmicutes	lightskyblue3	GGB80168	#2896B2
Firmicutes	lightskyblue3	GGB30461	#2094AF
Firmicutes	lightskyblue3	GGB30414	#1792AC
Firmicutes	lightskyblue3	GGB25041	#1693AC
Firmicutes	lightskyblue3	GGB28439	#2299B2
Firmicutes	lightskyblue3	Oscillibacter	#2D9FB9
Firmicutes	lightskyblue3	GGB30455	#39A5BF
Firmicutes	lightskyblue3	GGB28879	#44ABC6
Firmicutes	lightskyblue3	GGB79760	#4FB1CC
Firmicutes	lightskyblue3	GGB62427	#5BB7D2
Firmicutes	lightskyblue3	GGB28956	#66BDD9
Firmicutes	lightskyblue3	GGB75064	#72C3DF
Firmicutes	lightskyblue3	GGB28632	#7DC9E5
Firmicutes	lightskyblue3	GGB75053	#87CDEA
Firmicutes	lightskyblue3	GGB30408	#87CBE7
Firmicutes	lightskyblue3	GGB70737	#88C8E4
Firmicutes	lightskyblue3	GGB28790	#88C6E1
Firmicutes	lightskyblue3	GGB5207	#89C4DE
Firmicutes	lightskyblue3	GGB28881	#8AC1DB
Firmicutes	lightskyblue3	GGB28384	#8ABFD8
Firmicutes	lightskyblue3	GGB74395	#8BBDD5
Firmicutes	lightskyblue3	GGB28870	#8BBAD2
Firmicutes	lightskyblue3	GGB45536	#8CB8CF
Firmicutes	lightskyblue3	GGB28948	#8DB6CD
Firmicutes	lightskyblue3	GGB30463	#7FB6D1
Firmicutes	lightskyblue3	GGB28869	#71B7D6
Firmicutes	lightskyblue3	GGB42344	#63B8DB
Firmicutes	lightskyblue3	GGB29546	#55B9E0
Firmicutes	lightskyblue3	GGB30297	#47BAE5
Firmicutes	lightskyblue3	GGB74408	#3ABBEA
Firmicutes	lightskyblue3	GGB31851	#2CBCEF
Firmicutes	lightskyblue3	GGB28433	#1EBDF4
Firmicutes	lightskyblue3	GGB45977	#10BDF9
Firmicutes	lightskyblue3	GGB28437	#02BEFE
Firmicutes	lightskyblue3	GGB29006	#02BBFF
Firmicutes	lightskyblue3	GGB28989	#05B6FF
Firmicutes	lightskyblue3	GGB79926	#08B2FF
Firmicutes	lightskyblue3	GGB28828	#0BADFF
Firmicutes	lightskyblue3	GGB28844	#0EA8FF
Firmicutes	lightskyblue3	GGB30466	#11A4FF
Firmicutes	lightskyblue3	Neglectibacter	#139FFF
Firmicutes	lightskyblue3	GGB28776	#169BFF
Firmicutes	lightskyblue3	Candidatus_Metalachnospira	#1996FF
Firmicutes	lightskyblue3	GGB28430	#1C91FF
Firmicutes	lightskyblue3	Acetatifactor	#2292FF
Firmicutes	lightskyblue3	Anaerotruncus	#2896FF
Firmicutes	lightskyblue3	GGB30141	#2F9AFF
Firmicutes	lightskyblue3	GGB28766	#369EFF
Firmicutes	lightskyblue3	GGB79680	#3DA2FF
Firmicutes	lightskyblue3	GGB30142	#43A5FF
Firmicutes	lightskyblue3	GGB42328	#4AA9FF
Firmicutes	lightskyblue3	GGB28849	#51ADFF
Firmicutes	lightskyblue3	Emergencia	#58B1FF
Firmicutes	lightskyblue3	GGB28933	#5EB5FF
Firmicutes	lightskyblue3	GGB31184	#61B5FF
Firmicutes	lightskyblue3	GGB28769	#5FAEFF
Firmicutes	lightskyblue3	GGB75036	#5CA8FF
Firmicutes	lightskyblue3	GGB28386	#5AA2FF
Firmicutes	lightskyblue3	GGB75314	#579BFF
Firmicutes	lightskyblue3	GGB80167	#5495FF
Firmicutes	lightskyblue3	GGB3171	#528EFF
Firmicutes	lightskyblue3	GGB75109	#4F88FF
Firmicutes	lightskyblue3	GGB28394	#4C81FF
Firmicutes	lightskyblue3	GGB30861	#4A7BFF
Firmicutes	lightskyblue3	GGB75055	#4874FE
Firmicutes	lightskyblue3	GGB75900	#486AFC
Firmicutes	lightskyblue3	GGB28883	#4860FA
Firmicutes	lightskyblue3	GGB28854	#4856F8
Firmicutes	lightskyblue3	GGB28926	#484CF6
Firmicutes	lightskyblue3	GGB30302	#4842F4
Firmicutes	lightskyblue3	GGB28996	#4838F2
Firmicutes	lightskyblue3	GGB28398	#482EF0
Firmicutes	lightskyblue3	GGB75106	#4824EE
Firmicutes	lightskyblue3	GGB79776	#481AEC
Firmicutes	lightskyblue3	GGB28853	#4911EA
Firmicutes	lightskyblue3	GGB28988	#4911E3
Firmicutes	lightskyblue3	GGB28981	#4911DD
Firmicutes	lightskyblue3	GGB45564	#4911D7
Firmicutes	lightskyblue3	GGB27476	#4911D0
Firmicutes	lightskyblue3	Longicatena	#4911CA
Firmicutes	lightskyblue3	GGB29003	#4911C4
Firmicutes	lightskyblue3	GGB28991	#4911BE
Firmicutes	lightskyblue3	GGB28392	#4911B7
Firmicutes	lightskyblue3	GGB30473	#4911B1
Firmicutes	lightskyblue3	GGB79989	#4911AB
Firmicutes	lightskyblue3	GGB75095	#4C11AA
Firmicutes	lightskyblue3	GGB28382	#5111AA
Firmicutes	lightskyblue3	GGB28842	#5611AA
Firmicutes	lightskyblue3	GGB42619	#5A11AA
Firmicutes	lightskyblue3	GGB28645	#5F11AA
Firmicutes	lightskyblue3	GGB30449	#6411AA
Firmicutes	lightskyblue3	GGB75085	#6811AA
Firmicutes	lightskyblue3	GGB28380	#6D11AA
Firmicutes	lightskyblue3	GGB25052	#7211AA
Firmicutes	lightskyblue3	GGB79698	#7711AA
Firmicutes	lightskyblue3	GGB28980	#7911AA
Firmicutes	lightskyblue3	GGB28786	#7B11AA
Firmicutes	lightskyblue3	GGB3819	#7D11AA
Firmicutes	lightskyblue3	GGB28411	#7E11AA
Firmicutes	lightskyblue3	Anaerofustis	#8011AA
Firmicutes	lightskyblue3	Murimonas	#8111AA
Firmicutes	lightskyblue3	GGB9524	#8311AA
Firmicutes	lightskyblue3	Candidatus_Schneewindia	#8411AA
Firmicutes	lightskyblue3	GGB3005	#8611AA
Firmicutes	lightskyblue3	GGB28420	#8811AA
Firmicutes	lightskyblue3	GGB70023	#8812A9
Firmicutes	lightskyblue3	GGB30303	#8616A8
Firmicutes	lightskyblue3	GGB45624	#851AA7
Firmicutes	lightskyblue3	GGB28784	#831EA6
Firmicutes	lightskyblue3	GGB28778	#8222A5
