phylum	phyl_color	genus	gen_color
Verrucomicrobia	hotpink	Akkermansia	hotpink
Actinobacteria	brown	Adlercreutzia	#D2B48C
Actinobacteria	brown	Collinsella	#C5A17D
Actinobacteria	brown	Gordonibacter	#B98F6F
Actinobacteria	brown	Bifidobacterium	#AC7D60
Actinobacteria	brown	GGB37167	#A06B52
Actinobacteria	brown	Eggerthella	#945943
Actinobacteria	brown	GGB45432	#8C4A38
Actinobacteria	brown	Enterorhabdus	#904435
Actinobacteria	brown	Atopobiaceae_unclassified	#953E33
Actinobacteria	brown	Coriobacteriaceae_unclassified	#993830
Actinobacteria	brown	Cutibacterium	#9E322D
Actinobacteria	brown	Raoultibacter	#A22C2B
Actinobacteria	brown	GGB30301	#A22926
Actinobacteria	brown	GGB80032	#9E281F
Actinobacteria	brown	Actinomyces	#992717
Actinobacteria	brown	Schaalia	#952610
Actinobacteria	brown	Corynebacterium	#902609
Actinobacteria	brown	Propionibacterium	#8C2501
Actinobacteria	brown	Senegalimassilia	#8B2000
Actinobacteria	brown	GGB28818	#8B1900
Actinobacteria	brown	Rothia	#8B1300
Actinobacteria	brown	Isoptericola	#8B0C00
Actinobacteria	brown	Sanguibacter	#8B0600
Actinobacteria	brown	Lancefieldella	#8B0000
Proteobacteria	orange2	Escherichia	#FFFF00
Proteobacteria	orange2	GGB6574	#F6F600
Proteobacteria	orange2	Rheinheimera	#EEEE00
Proteobacteria	orange2	Desulfovibrio	#F6E200
Proteobacteria	orange2	Enterobacter	#FFD700
Proteobacteria	orange2	GGB30667	#E6B605
Proteobacteria	orange2	Parasutterella	#CD950C
Proteobacteria	orange2	Zoogloea	#DDA417
Proteobacteria	orange2	Klebsiella	#EEB422
Proteobacteria	orange2	Haemophilus	#EEA711
Proteobacteria	orange2	Bilophila	#EE9A00
Firmicutes	lightskyblue3	GGB3109	#191970
Firmicutes	lightskyblue3	Lawsonibacter	#1A1B72
Firmicutes	lightskyblue3	Mediterraneibacter	#1B1E74
Firmicutes	lightskyblue3	Lachnoclostridium	#1C2176
Firmicutes	lightskyblue3	Faecalicatena	#1D2478
Firmicutes	lightskyblue3	Erysipelatoclostridium	#1E277A
Firmicutes	lightskyblue3	Dysosmobacter	#1F2A7C
Firmicutes	lightskyblue3	Oscillospiraceae_unclassified	#202D7E
Firmicutes	lightskyblue3	Blautia	#213080
Firmicutes	lightskyblue3	Anaerostipes	#223382
Firmicutes	lightskyblue3	Ruthenibacterium	#233684
Firmicutes	lightskyblue3	Enterocloster	#243986
Firmicutes	lightskyblue3	Coprobacillus	#253C88
Firmicutes	lightskyblue3	Eubacteriales_unclassified	#263F8A
Firmicutes	lightskyblue3	GGB28967	#25408B
Firmicutes	lightskyblue3	Candidatus_Alloruminococcus	#23428B
Firmicutes	lightskyblue3	Flavonifractor	#21438B
Firmicutes	lightskyblue3	Bittarella	#20448B
Firmicutes	lightskyblue3	Limosilactobacillus	#1E458B
Firmicutes	lightskyblue3	Holdemania	#1C468B
Firmicutes	lightskyblue3	Fusicatenibacter	#1A478B
Firmicutes	lightskyblue3	GGB27905	#19488B
Firmicutes	lightskyblue3	GGB28404	#17498B
Firmicutes	lightskyblue3	Gemmiger	#154A8B
Firmicutes	lightskyblue3	Turicibacter	#134B8B
Firmicutes	lightskyblue3	Ligilactobacillus	#124C8B
Firmicutes	lightskyblue3	Sporofaciens	#104D8B
Firmicutes	lightskyblue3	Clostridioides	#0F4F8B
Firmicutes	lightskyblue3	Lachnospiraceae_unclassified	#0D518B
Firmicutes	lightskyblue3	Clostridium	#0C538B
Firmicutes	lightskyblue3	GGB58233	#0B558B
Firmicutes	lightskyblue3	Streptococcus	#0A578B
Firmicutes	lightskyblue3	GGB28791	#08598B
Firmicutes	lightskyblue3	Intestinimonas	#075B8B
Firmicutes	lightskyblue3	Lactonifactor	#065D8B
Firmicutes	lightskyblue3	Sellimonas	#055F8B
Firmicutes	lightskyblue3	Hungatella	#04618B
Firmicutes	lightskyblue3	GGB28422	#02638B
Firmicutes	lightskyblue3	GGB27860	#01658B
Firmicutes	lightskyblue3	Dielma	#00678B
Firmicutes	lightskyblue3	GGB52130	#02678B
Firmicutes	lightskyblue3	Christensenellaceae_unclassified	#07678B
